####### NEWEST ENTRIES
e_albion;Albion;Albion;Albion;;Albion;;;;;;;;;x
e_albion_adj;Albionian;;albioner;;;;;;;;;;;x
warp_khorne;§RKhorne§!;;;;;;;;;;;;;x
warp_khorne_desc;Khorne, the Blood God, sits resplendent in his rage upon his brass throne, resting atop a mountain of bloody skulls, built from the countless heads of great champions his followers have slain over an immeasurable number of eons. No mortal man would be able to lay their eyes upon Khorne and survive, but various heretical writers have suggested that the Blood God looks somewhat like one of his mighty Bloodthirster greater daemons, only infinitely more terrifying. Khorne sits upon his throne, encased in his brass armour, capable of deflecting any blow, clutching his colossal sword that could carve continents into pieces, his eyes burning with endless fury in the centre of his dog-like face. Khorne is said to have mighty forges and armouries that run for leagues, belching sooty filth into the lightning-cracked air, yet he will forever favour this single combination of arms. His mighty throne room, built atop of his great brass tower, is supported by eight gigantic brass pillars in honour of the sacred number of the Blood God. \n\n His lands in the Realm of Chaos are barren, cracked and dry save for the ceaseless rivers of blood fuelled by endless combat. Throughout his realm, legions of warriors fling themselves into combat purely for the sake of battle. Khorne cares not from where blood flows and skulls are sacrificed so long as it is done in his name. It is not uncommon to see the warriors and champions of Khorne fighting amongst themselves, duelling and battling to prove their skill in combat and rise higher in the eyes of their Lord. Khorne disdains magic; to him, only bloodletting through physical combat is acceptable. None of his followers are permitted to be sorcerers, although some will carry magic-imbued weapons or armour in order to augment their killing ability.;;;;;;;;;;;;;x
warp_slaanesh;§PSlaanesh§!;;;;;;;;;;;;;x
warp_slaanesh_desc;Slaanesh, called among other things the Prince of Chaos and the Dark Prince, is the youngest of the Ruinous Powers. His is the domain of decadence and excess, but only a fool believes that Slaanesh is concerned only with the idle pleasures of the flesh. Rather, Slaanesh is fuelled by extremes of sensation, experience, and emotion. The Dark Prince of Chaos grants the power to excel in all things, pushing those who serve him far beyond the normal limits of human passion, desire, and obsession. None have dreamed until they have dreamed of the power Slaanesh can grant, their horizons expanding infinitely in the very instant their soul is forfeited. \n\n The territory of the Dark Prince of Chaos can be imagined as a peninsular of spirit-matter, a spit of land which, while nowhere near as expansive as that claimed by other gods, is supremely defensible, and utterly under the sway of Slaanesh. Unlike the other Ruinous Powers, especially Khorne, Slaanesh does not maintain a fortress or stronghold as such. Instead, his court is found inside a vast, shimmering pavilion where the every excess contrived by humanity is practised to the utmost degree. It is said that this terrible place heaves with such extremes of emotion and experience that it radiates into the dreams and desires of mortals, stoking hidden flames and nurturing secret desires.;;;;;;;;;;;;;x
warp_nurgle;§GNurgle§!;;;;;;;;;;;;;x
warp_nurgle_desc;Nurgle’s worshippers can be said to be the most joyous of mortals, but it is the insane glee of those who have resigned themselves to damnation. Nurgle is depicted as an immense monster whose scabrous flab is the hue of decomposing flesh. His paunch, swollen with corpse-gas, spills stinking organs, and a legion of daemonic mites play among his entrails and suckle the discharge streaming from his sores. Fat flies hum around his antlered head. His blubbery, pustulated face wears an amiable smile of contentment. His sacred number is seven, and his symbol incorporates a triangle of three circles representing the unending cycle of birth, suffering, and death. Mythology represents the Lord of Decay dwelling within a dilapidated fortress-mansion located in the Realm of Chaos, the infernal abode of the Ruinous Powers that exists beyond mortal concepts of time and physical matter. \n\n Within the crumbling walls of his workshop, beneath a mildewed ceiling sagging with damp, Nurgle toils before a steaming cauldron. He beams with excitement as he mixes strains of pox and fever to create a poisonous stew of pestilence, for although every known disease infects his monstrous body, he is obsessed with creating new ailments. When he is satisfied by his efforts, he pours the concoction into the grate below, and chortles with happiness as he watches the nauseating plagues rain down upon the world. He is most generous in bequeathing his diseases to mortals, all of whom he regards with great affection, and he ensures that rich and poor alike share the rotten fruits of his labour. Nurgle is not a god of destruction – he cherishes all life. The spluttering of the newborn babe is as dear to him as the slithering of the maggot hatched in its gut. It is simply unfortunate that the most prevalent forms of life – the unseen worms, viruses, and bacteria – are so inimical to all the others.;;;;;;;;;;;;;x
warp_tzeentch;§BTzeentch§!;;;;;;;;;;;;;x
warp_tzeentch_desc;The Chaos god Tzeentch holds the keys to such terrible knowledge. His price, however, is steep – his worshippers become pawns in his incessant game to undermine civilisation and to outflank his fellow Ruinous Powers. Tzeentch rewards his followers with mutation and insanity, and when they die, he claims their souls as his playthings. Tzeentch is known by a thousand epithets. He is the Weaver of All Fates, who spins a tangled web to achieve his incomprehensible ends. He is the Great Conspirator, whispering evil counsel in the ears of monarchs, and nurturing murderous ambition and rebellion among their subjects. He plucks the strings of jealousy and resentment to make evil-minded men and women dance like marionettes at his command. \n\n Tzeentch’s worshippers believe that he reigns from an Impossible Fortress deep in the Realm of Chaos. At its heart, protected by a crystal labyrinth of inconceivable geometry, is the Hidden Library, a hall of eternal dimensions that stores all the knowledge of the universe. Tzeentch stares for eons into the Well of Eternity for clues from the past and the future that will help him fulfil his schemes. When Tzeentch stirs from his reverie, treachery, insanity, mutation, and strife afflict the world.;;;;;;;;;;;;;x
