###ÄNSI
#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#############
# ARTIFACTS #
#############
###Slots
cloak;Cloak;;;;;;;;;;;;;x
egg;Egg;;;;;;;;;;;;;x
#Skaven Artifacts
warpstone_dust;Warpstone Dust;;;;;;;;;x
warpstone_shard;Warpstone Shard;;;;;;;;;x
warpstone_cluster;Warpstone Cluster;;;;;;;;;x
#Clan Skryre
skryre_goggles;Skryre Goggles;;;;;;;;;;;;;x
skryre_goggles_desc;The goggles from the factories of the Skryre Clan can have differing functions, such as night or heat vision. However, some are just binoculars.;;;;;;;;;;;;;x
doomwheel_mount;Doomwheel;;;;;;;;;;;;;x
doomwheel_mount_desc;The Doomwheel is one of Clan Skryre's greatest inventions! A circular vehicle which is a wildly incalculable asset, as it can move at extreme speeds or barely crawl ahead, demolish entire enemy formations with its warpstone weapons or blow itself up!;;;;;;;;;;;;;x
doomflayer_mount;Doomflayer;;;;;;;;;;;;;x
doomflayer_mount_desc;The Doomflayer is a sturdier, more stable variant of the Doomwheel with upgraded weaponry, so that no one can stand against the great Clan Skryre!;;;;;;;;;;;;;x
warpstone_glaive;Warpstone Glaive;;;;;;;;;;;;;x
warpstone_glaive_desc;A common weapon for any Clan Skryre leader, this weapon is a Glaive that was enhanced by the infusion of warpstone as well as a foul mix of technology and warp magic by the Warlock Engineers that make this weapon truly terrifying.;;;;;;;;;;;;;x
warplock_pistol;Warplock Pistol;;;;;;;;;;;;;x
warplock_pistol_desc;A Warplock Pistol is a common weapon for high ranking Skryre officials. Although it loses a lot of its effectiveness on medium to long ranges, it can be absolutely devastating in close range. It can shoot either normal gunpowder ammunition or toxic warpstone.;;;;;;;;;;;;;x
warpfire_thrower;Warpfire Thrower;;;;;;;;;;;;;x
warpfire_thrower_desc;A dangerous Clan Skryre weapon not just for the enemy but also the wearer. This weapon shoots a mix of chemicals and powdered warpstone, dousing its enemy in a layer of burning warpfire that can hardly be doused and will stick to whatever surface it was aimed at.;;;;;;;;;;;;;x
warplock_jezzail;Warplock Jezzail;;;;;;;;;;;;;x
