# LAST EDIT: 2020/09/16 - MITSU
############
# BEASTMAN #
############
###ÄNSI
#
# BEASTMAN TRAITS
#
creature_beastman;Beastman;;;;;;;;;;;;;x
creature_beastman_desc;Beastmen are feral humanoids, cursed with twisted half-animal forms by the winds of Chaos. They are without exception cunning, cruel, and utterly devoted to their Dark Gods, these horned and stinking warrior-beasts can be found infesting many of the dark forests and trackless wastes that cover much of the world.;;;;;;;;;;;;;x
horns_none;No Horns;;;;;;;;;;;;;
horns_small;Small Horns;;;;;;;;;;;;;
horns_average;Average Horns;;;;;;;;;;;;;
horns_big;Big Horns;;;;;;;;;;;;;
horns_none_desc;A Beastman without horns is usually low on the social ladder, ridiculed and despised by his betters.;;;;;;;;;;;;;
horns_small_desc;This Beastman has shamelessly small horns an unfortunate condition within a Herd.;;;;;;;;;;;;;
horns_average_desc;Beastmen value their leaders for the shape and size of their horns. Usually the Gors with the biggest horns tend to cut their way to leadership.;;;;;;;;;;;;;
horns_big_desc;This Beastman has been blessed by the Gods with an impressive pair of horns, which gives him a good and enviable standing within the herd.;;;;;;;;;;;;;
bray_shaman;Bray Shaman;;;;;;;;;;;;;;
bray_shaman_desc;Bray Shamans are born into magic and wield it with an instinctive ease. A palpable miasma of fell sorcery surrounds them, and when their wrath is roused, reality itself is distorted and maimed.;;;;;;;;;;;;;;
mut_crown_of_horns;Crown of Horns;;;;;;;;;;;;;;
mut_crown_of_horns_desc;A Beastman that sprouts an excessively sharp, large or twisted set of horns is often acknowledged as the warherd's chief without a challenge: so obvious are the Dark God's blessings.;;;;;;;;;;;;;;
mut_gnarled_hide;Gnarled Hide;;;;;;;;;;;;;;
mut_gnarled_hide_desc;This Beastman's skin has encysted, forming a layer of crusty natural armour as tough as chainmail.;;;;;;;;;;;;;;
mut_gouge_tusks;Gouge-Tusks;;;;;;;;;;;;;;
mut_gouge_tusks_desc;This Beastman's lower incisors have grown into sharp or excessively large tusks.;;;;;;;;;;;;;;
mut_many_limbed_fiend;Many-Limbed Fiend;;;;;;;;;;;;;;
mut_many_limbed_fiend_desc;This Beastman has sprouted additional arms, allowing him to unleash yet more carnage upon the battlefield.;;;;;;;;;;;;;;
mut_rune_of_beast;Rune of the True Beast;;;;;;;;;;;;;;
mut_rune_of_beast_desc;This Beastman was born with a rare and potent rune marked on his flesh, a sigil of pure savagery that marks the individual out as nothing more than a ravenous mass of muscle and fangs. Even the strongest beast will cower before the unbridled ferocity of this raging predator.;;;;;;;;;;;;;;
mut_shadow_hide;Shadow-Hide;;;;;;;;;;;;;;
mut_shadow_hide_desc;This Beastman's ebon fur appears to absorb light and draw the shadows about it into a cloak of midnight dark.;;;;;;;;;;;;;;
mut_slugskin;Slug-Skin;;;;;;;;;;;;;;
mut_slugskin_desc;The gift of the Chaos Gods causes the recipient's skin to ooze a constant aura of vile, toxic corruption.;;;;;;;;;;;;;;
mut_uncanny_senses;Uncanny Senses;;;;;;;;;;;;;;
mut_uncanny_senses_desc;The Dark Gods have gifted this Beastman with acute senses, additional eyes or even an extra head, granting it unnaturally fast reactions.;;;;;;;;;;;;;;
#
# BEASTMAN SPECIAL TRAITS
#
morghur;Morghur;;;;;;;;;;;;;
morghur_desc;Morghur, known by the Asrai as Cyanathair the Corruptor, is a powerful and ancient entity deeply revered by the Beastmen, who believed his spirit walked the world before the birth of their race, the ultimate incarnation of disorder and Chaos.;;;;;;;;;;;;;
#
# BEASTMAN CHARACTER MODIFIERS
#
scattered_beastmen;Scattered Beastmen;;;;;;;;;;;;;
scattered_beastmen_desc;This ruler has recently thwarted the attempts of a Beastmen tribe to conquer their lands.;;;;;;;;;;;;;
#
# BEASTMAN OPINION MODIFIERS
#
opinion_prey;Prey;;;;;;;;;;;;;
opinion_savage_invader;Savage Invader;;;;;;;;;;;;;
harboring_monster;Harbouring Turnskin;;;;;;;;;;;;;;
abandoned_turnskin;Abandoned Turnskin;;;;;;;;;;;;;;
#
# BEASTMAN PROVINCE MODIFIERS
#
beastman_herdstone;Herdstone;;;;;;;;;;;;;
beastman_herdstone_desc;The Beastmen have laid waste of this province, destroying any sign of civilization they could find and setting one of their blasphemous herdstones as signature of their wicked accomplishment.;;;;;;;;;;;;;
beastmen_scourging_1;Beastmen Rampaging §C<§! §Y1§! §C/§! §Z3§! §C>§!;;;;;;;;;;;;;;
beastmen_scourging_2;Beastmen Rampaging §C<§! §Y2§! §C/§! §Z3§! §C>§!;;;;;;;;;;;;;;
beastmen_scourging_3;Beastmen Rampaging §C<§! §Y3§! §C/§! §Z3§! §C>§!;;;;;;;;;;;;;;
beastmen_scourging_1_desc;Herds of Beastmen are running amok in this province, spreading Chaos and destruction.;;;;;;;;;;;;;;
beastmen_scourging_2_desc;Herds of Beastmen are running amok in this province, spreading Chaos and destruction.;;;;;;;;;;;;;;
beastmen_scourging_3_desc;Herds of Beastmen are running amok in this province, spreading Chaos and destruction.;;;;;;;;;;;;;;
#
# BEASTMAN ACTIONS
#
action_despoil_land;Despoil Land;;;;;;;;;;;;;
