# LAST EDIT: 2021/04/11 - SUPERNOVA
#############
# BUILDINGS #
#############
###ÄNSI
#
# WONDERS
#Wonder Upgrades
upgrade_ostland_blackguard;Ostland Black Guard Headquarters;;;;;;;;x
upgrade_ostland_blackguard_desc;Headquarters of the highly disciplined Ostland Black Guards,The Ostland Black guard wield zweihander swords as tall as a man. They are decorated with the Bull's Head, the emblem of Ostland. They are also inscribed with holy texts meant to bolster a warrior's faith during battle.;;;;;;;;x
unlock_special_ostland_regiment_tt;Grants access to brand §YNew Retinue§!; the §!§GOstland Black Guard§!.;;;;;;;;x
upgrade_great_cathedral_of_manann;Great Cathedral of Manaan;;;;;;;;x
upgrade_great_cathedral_of_manann_desc;The "Crown Jewel" of Marienburg, the magnificent Cathedral of Manaan is the undisputed centre of the Sea God's cult in the Old World - even the Grand Chapel in Miragliano defers to its supremacy. Over two thousand years old, its cornerstone is said to have been laid by Marius himself in a pious act after his great victory over the Fimir.;;;;;;;;x
upgrade_manaanshaven;Great Harbour of Manaanshaven;;;;;;;;x
upgrade_manaanshaven_desc;Great Harbour of Manaanshaven is home to the Marienburg's Warships and the Templars in service of the high priest of Manaan.;;;;;;;;x
upgrade_manaanshaven_desc;Imperial Dockyard;;;;;;;;x
upgrade_imperial_dockyard;Imperial Dockyard;;;;;;;;x
upgrade_imperial_dockyard_desc;An dockyard for the imperial Navy;;;;;;;;x
upgrade_imperial_ramparts;Metropolitan Ramparts;;;;;;;;x
upgrade_imperial_ramparts_desc;Sturdy and extra thick walls that can withstand even most arrogant assaults from massive monsters for several times over surrounds the metropolis, providing extra security for the people of old world in face of the threat of chaos and the unknown.;;;;;;;;x
upgrade_vloedmuur;Vloedmuur;;;;;;;;x
upgrade_vloedmuur_desc;Behemoth of an defensive wall going all around the old fortress walls of ancient Sea Elven port of Sith Rionnasc'namishathir, long since fallen to disrepair but repaired and mostly rebuilt by the human tribes afterwards.;;;;;;;;x
elves_exist_tt;Elves have settled down in small quarter within the metropolis;;;;;;;;x
dwarves_exist_tt;Dwarves have settled down in small quarter within the metropolis;;;;;;;;x
upgrade_dwarf_quarter;Dwarf Quarter;;;;;;;;x
upgrade_dwarf_quarter_desc;Dwarves captured in slave raids across the world's edge mountains are being concentrated in this quarter of city to create weapons for their imperial overlords.;;;;;;;;x
upgrade_elf_quarter;Elven Quarter;;;;;;;;x
upgrade_elf_quarter_desc;Elves form the personel of many of the brothels in the brothel district in this city.;;;;;;;;x
upgrade_the_reiksport;The Reiksport;;;;;;;;x
upgrade_the_reiksport_desc;This fortified port is used both to unload cargo of merchant vessels, and as the headquarters for Reikland Fleet of the Imperial Navy. A bustling shantytown has grown up around the Reiksport over the years to service the merchants and sailors;;;;;;;;x
upgrade_grand_temple_of_sigmar;Grand Cathedral of Sigmar;;;;;;;;x
upgrade_grand_temple_of_sigmar_desc;the greatest temple and most sacred space of the Cult of Sigmar, located in the Imperial capital city of Altdorf. It is the seat of the Grand Theogonist and is considered one of the true marvels of the Old World. It is, in of itself, the largest and most powerful religious edifice within the Empire and beyond. Some argue it is a more important centre of political power in Altdorf than even the Imperial Palace.;;;;;;;;x
upgrade_imperial_palace;Imperial Palace;;;;;;;;x
upgrade_imperial_palace_desc;The Imperial Palace of Altdorf, overshadowed in that city only by the Cathedral of Sigmar, is a massive, highly elaborate keep standing near the middle of the Imperial capital city. The palace is home to both the infamous Reiksguard household guards.;;;;;;;;x
upgrade_imperial_zoo;Imperial Zoo;;;;;;;;x
upgrade_imperial_zoo_desc;The Imperial Zoo in Altdorf is home to some of the most dangerous monsters of the Old World. This menagerie contains all manner of grotesque monstrosities, such as the Abomination of Stirland, the Drakwald Gibberbeast and many more. In addition to being one of the wonders of the Old World, the Imperial Zoo also has a practical function, stabling the Emperors' more dangerous and bizarre mounts.;;;;;;;;x
cheaper_exotic_imperial_mounts_tt;§GCheaper cost§! on buying exotic Imperial mounts from the §Ymount market§!.;;;;;;;;x
better_education_tt;Gives access to §GBetter Education§! while being tutored §Yhere§!.;;;;;;;;x
upgrade_library_of_verena;Library of Verena;;;;;;;;x
upgrade_library_of_verena_desc;One of the Great Libraries of Verena.;;;;;;;;x
upgrade_college_of_magic;College of Magic;;;;;;;;x
upgrade_college_of_magic_desc;The Colleges of Magic are places of learning as well as inherently political institutions. They each possess physical buildings and are inhabited by a collection of non-magic-using servants, apprentices and Magisters, the title given to a wizard who is a full member of a college and therefore licensed to practice and teach magic.;;;;;;;;x
upgrade_human_university;University;;;;;;;;x
upgrade_human_university_desc;The university is attended by all types—idle nobles, diligent middle class youths, and even some lucky and inspired folk from poorer backgrounds,Universities are commonly hotbeds of sedition and revolutionary talk—on the part of both students and professors. causing issues for the ruling class for cultural advancement.;;;;;;;;x
upgrade_temple_of_taalite;Grand Shrine of Taal;;;;;;;;x
