# LAST EDIT: 22/08/2020 - MITSU
##############
# DAWI ZHARR #
##############
###ÄNSI
#
# DAWI ZHARR TRAITS
#
creature_chaos_dwarf;Chaos Dwarf;;;;;;;;;;;;;x
creature_chaos_dwarf_desc;This character is a Chaos Dwarf. Chaos Dwarfs, or Dawi Zharr, are a divergent branch of dwarfs that were trapped in the northern reaches of the world when the power of Chaos waxed. Choosing to serve the daemonic god Hashut, they have since accumulated a considerable array of small mutations and other unique traits, none of them pleasant. Unlike their dwarf cousins they are capable of using magic, but their natural resistance causes them to eventually turn to stone.;;;;;;;;;;;;;x
chaos_dwarf_sorcerer;Chaos Dwarf Sorcerer - §GBattle Magic Pool([This.MagicPool.GetValue]/[This.MagicPoolMax.GetValue])§!;;;;;;;;;;;;x
chaos_dwarf_sorcerer_desc;The Sorcerer-Prophets are the great masters of the Chaos Dwarf race, directing the labours of their slaves and the conquests of their armies, their sorcerous powers granted by the Bullfather, Hashut. Thanks to their dark patron, they have completely embraced the arts of magic, with a dire price. Since Dwarfs were never meant to practise magic, over time a Chaos Dwarf Sorcerer will gradually turn to stone, starting from their feet, until the entire body is consumed and they becomes a statue. This trait also gives access to spells from the Lore of Hashut.\n§GSummons Spell Units during battles§!;;;;;;;;;;;;x
chaos_dwarf_petrification_1;Minor Sorcerer's Curse;;;;;;;;;;;;x
chaos_dwarf_petrification_1_desc;This character is starting to suffer from the effects of the Sorcerer's Curse, an ailment that transforms all Dwarfs that try to cast magic into stone.;;;;;;;;;;;;x
chaos_dwarf_petrification_2;Sorcerer's Curse;;;;;;;;;;;;x
chaos_dwarf_petrification_2_desc;This character is suffering from the effects of the Sorcerer's Curse, an ailment that transforms all Dwarfs that try to cast magic into stone.;;;;;;;;;;;;x
#
# DAWI ZHARR CB TYPES
#
chaos_dwarf_slaver_raid;Chaos Dwarf Slave Raid;;;;;;;;;;;;x
chaos_dwarf_slaver_raid_desc;A Chaos Dwarf ruler can attack any neighbouring duchy with the objective of subjugating its populace and taking them into slavery. On the first siege won inside the enemy's demesne, you will get an choice to use the slaves to fill either your capital's factories or its slave levy. You also have a chance to imprison characters that are residing in that province. At the successive sieges, you will only get the chance to imprison characters.;;;;;;;;;;;;x
CB_NAME_CHAOS_DWARF_SLAVER_RAID;Slave Raid in [Title.GetBaseName];;;;;;;;;;;;x
WAR_NAME_CHAOS_DWARF_SLAVER_RAID;$ORDER$$FIRST_ADJ$ Slave Raid in [Title.GetBaseName];;;;;;;;;;;;x
#
# DAWI ZHARR EVENTS
#
EVTNAME_hashut_sac;A Sacrifice to Hashut;;;;;;;;;;;;x
EVTDESC_hashut_sac;Your guards bring [From.GetTitledFirstName] up the stairs of the temple, towards to a great, brazen statue of Hashut at it's highest point, which has a pool of liquid, molten metal beneath it that acts as a furnace. As the temple's Bull Centaur places [From.GetHerHim] close to the furnace, you hear the mumblings of a [From.Religion.GetName] prayer to [From.Religion.GetHighGodName].\n\nThe Bull Centaur looks to you, his sturdy skin, blessed by Hashut, unaffected by the extreme heat that comes off the statue's furnace. With a nod from you, he will throw the sacrifice into the furnace...;;;;;;;;;;;;x
EVTOPT_hashut_sac_dwarf;Mighty Hashut, we offer you this traitor pig, a servant of the Ancestor Gods!;;;;;;;;;;;;x
EVTOPT_hashut_sac_minor;Mighty Hashut, we offer you a leader of the [From.Culture.GetName]s!;;;;;;;;;;;;x
EVTOPT_hashut_sac_courtier;Mighty Hashut, accept this weak [From.Culture.GetName] as sacrifice!;;;;;;;;;;;;x
EVTNAME_hashut_sacrifice_killed;A Sacrifice to Hashut;;;;;;;;;;;;x
EVTDESC_hashut_sacrifice_killed;The monstrous Bull Centaur plunges you into the pool of molten metal. You scream in agony as your skin melts, and see nothing more...;;;;;;;;;;;;x
EVTDESC_hashut_boons;"You enter [Root.Location.GetName]'s temple ritual room, and the acolytes prepare the altar for your audience with Lord Hashut by plunging a couple of slaves into the temple's furnace, as the ritual follows, you kneel and prostrate 3 times before a great statue of the Bullfather, glowing red-hot due to the burning coals inside it. Choking smoke inundates the chamber and you hear a booming, metallic voice, coming from all places in the room and none:\nASK FOR THY REWARD, MY SERVANT...;;;;;;;;;;;;x
EVTOPT_hashut_bless_me;Great Hashut, grant me the Gift of Infernal Fire!;;;;;;;;;;;;x
EVTOPT_hashut_bless_provinces_forges;Mighty Hashut, bless my lands with the Power of Molten Rock!;;;;;;;;;;;;x
EVTOPT_hashut_centaur_bulls;Father Hashut, grant me the aid of your greatest servants, the Bull Centaurs!;;;;;;;;;;;;x
EVTDESC_chaos_dwarf_sorcerer;"As you enter the ritual chamber, at the tip of [Root.Location.GetName]'s greatest ziggurat-temple, you notice that the acolytes have prepared everything for your great ceremony of ascension into a Sorcerer-Prophet of Hashut. A hundred slaves, the best specimens from your pits, have been brought as offerings to the Bullfather.\nOne by one, all the slaves are dropped into the fiery pools of molten metal underneath the effigy of Hashut by the temple's Bull Centaurs. The acolytes, enthralled, start singing dirges to Hashut:\nO Bullfather, this sacrifice which we now slay upon Your altar!\nRejoice, drink of its slave blood and feast on its slave flesh!\nMay Your fire and smoke be content to offer naught but power!\n\nYou move towards the altar before the brazen idol, and raise your hands...;;;;;;;;;;;;x
EVTOPT_hashut_grant_me;ALL FOR HASHUT!;;;;;;;;;;;;x
EVTDESC_chaos_dwarf_sorcerer_succeed;"As the cavernous sound of the acolytes' dirges wanes, a chocking cloud of ash and smoke fills the room. A powerful voice resonates from the brazen idol's head:\nLET THIS BE A TESTAMENT OF HASHUT'S MIGHT, THIS SERVANT HAS NOW BEEN GRANTED POWER TO SUBJUGATE THE WINDS OF MAGIC IN MY NAME!\n All Chaos Dwarfs in the room prostrate before these words, and you follow example. You feel a new power stirring inside you...;;;;;;;;;;;;x
EVTOPT_praise_hashut;Praise Hashut!;;;;;;;;;;;;x
EVTDESC_chaos_dwarf_sorcerer_fail;As the cavernous sound of the acolytes' dirges wanes, a chocking cloud of ash and smoke fills the room... you a strange sensation in goes through your body. Is this Hashut's greatest gift? As you search yourself for any changes, you notice that your feet don't move any more... they have turned into stones. As the curse quickly creeps through the rest of your body, you can only hear a booming, metalling laughter before you're fully entrapped into stone...;;;;;;;;;;;;x
EVTOPT_so_close_chaosdwarf;I was so... close...;;;;;;;;;;;;x
