#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
# Last Edit: 11.2.17 -Komioski
#############
# DECISIONS #
#############
#
#HOLY ORDERS
#
borrowed_from_knights_white_wolf;Borrowed 300¤ from the Knights of the White Wolf;;;;;;;;;;;;x
borrowed_from_knights_sigmars_blood;Borrowed 300¤ from the Knights of Sigmar's Blood;;;;;;;;;;;;x
borrowed_from_knights_blazing_sun;Borrowed 300¤ from the Knights of the Blazing Sun;;;;;;;;;;;;x
borrowed_from_knights_black_rose;Borrowed 300¤ from the Knights of the Black Rose;;;;;;;;;;;;x
borrowed_from_knights_mariner;Borrowed 300¤ from the Knights Mariner;;;;;;;;;;;;x
borrowed_from_sisters_sigmar;Borrowed 300¤ from the Sisters of Sigmar;;;;;;;;;;;;x
borrowed_from_order_eagle;Borrowed 300¤ from the Order of the Eagle;;;;;;;;;;;;x
expelled_d_knights_of_the_white_wolf;Expelled the Knights of the White Wolf;;;;;;;;;;;;x
expelled_d_knights_of_sigmars_blood;Expelled the Knights of Sigmar's Blood;;;;;;;;;;;;x
expelled_d_knights_of_the_blazing_sun;Expelled the Knights of the Blazing Sun;;;;;;;;;;;;x
expelled_d_knights_of_the_black_rose;Expelled the Knights of the Black Rose;;;;;;;;;;;;x
expelled_d_knights_mariner;Expelled the Knights Mariner;;;;;;;;;;;;x
expelled_d_sisters_of_sigmar;Expelled the Sisters of Sigmar;;;;;;;;;;;;x
expelled_d_order_of_the_eagle;Expelled the Order of the Eagle;;;;;;;;;;;;x
borrow_money_knights_white_wolf;Borrow 300¤ from the Knights of the White Wolf;;;;;;;;;;;;x
borrow_money_knights_white_wolf_desc;I can borrow money from the Knights of the White Wolf and pay back the same sum at any time. However, while I'm in their debt, the Grand Master can make various requests, like one of my sons joining their ranks.;;;;;;;;;;;;x
borrow_money_knights_sigmars_blood;Borrow 300¤ from the Knights of Sigmar's Blood;;;;;;;;;;;;x
borrow_money_knights_sigmars_blood_desc;I can borrow money from the Knights of Sigmar's Blood and pay back the same sum at any time. However, while I'm in their debt, the Grand Master can make various requests, like one of my sons joining their ranks.;;;;;;;;;;;;x
borrow_money_knights_blazing_sun;Borrow 300¤ from the Knights of the Blazing Sun;;;;;;;;;;;;x
borrow_money_knights_blazing_sun_desc;I can borrow money from the Knights of the Blazing Sun and pay back the same sum at any time. However, while I'm in their debt, the Grand Master can make various requests, like one of my sons joining their ranks.;;;;;;;;;;;;x
borrow_money_knights_black_rose;Borrow 300¤ from the Knights of the Black Rose;;;;;;;;;;;;x
borrow_money_knights_black_rose_desc;I can borrow money from the Knights of the Black Rose and pay back the same sum at any time. However, while I'm in their debt, the Grand Master can make various requests, like one of my sons joining their ranks.;;;;;;;;;;;;x
borrow_money_knights_mariner;Borrow 300¤ from the Knights Mariner;;;;;;;;;;;;x
borrow_money_knights_mariner_desc;I can borrow money from the Knights Mariner and pay back the same sum at any time. However, while I'm in their debt, the Grand Master can make various requests, like one of my sons joining their ranks.;;;;;;;;;;;;x
borrow_money_sisters_sigmar;Borrow 300¤ from the Sisters of Sigmar;;;;;;;;;;;;x
borrow_money_sisters_sigmar_desc;I can borrow money from the Sisters of Sigmar and pay back the same sum at any time. However, while I'm in their debt, the Grand Master can make various requests, like one of my sons joining their ranks.;;;;;;;;;;;;x
borrow_money_order_eagle;Borrow 300¤ from the Order of the Eagle;;;;;;;;;;;;x
borrow_money_order_eagle_desc;I can borrow money from the Order of the Eagle and pay back the same sum at any time. However, while I'm in their debt, the Grand Master can make various requests, like one of my sons joining their ranks.;;;;;;;;;;;;x
expel_the_knights_white_wolf;Expel the Knights of the White Wolf;;;;;;;;;;;;x
expel_the_knights_white_wolf_desc;I can drive  the Knights of the White Wolf from my realm and seize their castles. However, it is a very impious thing to do...;;;;;;;;;;;;x
expel_the_knights_sigmars_blood;Expel the Knights of Sigmar's Blood;;;;;;;;;;;;x
expel_the_knights_sigmars_blood_desc;I can drive the Knights of Sigmar's Blood; from my realm and seize their castles. However, it is a very impious thing to do...;;;;;;;;;;;;;x
expel_the_knights_blazing_sun;Expel the Knights of the Blazing Sun;;;;;;;;;;;;x
expel_the_knights_blazing_sun_desc;I can drive the Knights of the Blazing Sun from my realm and seize their castles. However, it is a very impious thing to do...;;;;;;;;;;;;x
expel_the_knights_black_rose;Expel the Knights of the Black Rose;;;;;;;;;;;;x
expel_the_knights_black_rose_desc;I can drive the Knights of the Black Rose from my realm and seize their castles. However, it is a very impious thing to do...;;;;;;;;;;;;x
expel_the_knights_mariner;Expel the Knights Mariner;;;;;;;;;;;;x
expel_the_knights_mariner_desc;I can drive the Knights Mariner from my realm and seize their castles. However, it is a very impious thing to do...;;;;;;;;;;;;x
expel_the_sisters_sigmar;Expel the Sisters of Sigmar;;;;;;;;;;;;x
expel_the_sisters_sigmar_desc;I can drive the Sisters of Sigmar from my realm and seize their castles. However, it is a very impious thing to do...;;;;;;;;;;;;x
expel_the_order_eagle;Expel the Order of the Eagle;;;;;;;;;;;;x
expel_the_order_eagle_desc;I can drive the Order of the Eagle from my realm and seize their castles. However, it is a very impious thing to do...;;;;;;;;;;;;x
donate_money_to_knights_white_wolf;Donate 300¤ to the Knights of the White Wolf;;;;;;;;;;;;x
donate_money_to_knights_white_wolf_desc;I can donate money to the Knights of the White Wolf in exchange for [Player.Religion.GetPietyName] and lifelong respect from the priesthood.;;;;;;;;;;;;x
donate_money_to_knights_sigmars_blood;Donate 300¤ to the Knights of Sigmar's Blood;;;;;;;;;;;;x
donate_money_to_knights_sigmars_blood_desc;I can donate money to the Knights of Sigmar's Blood in exchange for [Player.Religion.GetPietyName] and lifelong respect from the priesthood.;;;;;;;;;;;;x
donate_money_to_knights_blazing_sun;Donate 300¤ to the Knights of the Blazing Sun;;;;;;;;;;;;x
donate_money_to_knights_blazing_sun_desc;I can donate money to the Knights of the Blazing Sun in exchange for [Player.Religion.GetPietyName] and lifelong respect from the priesthood.;;;;;;;;;;;;x
donate_money_to_knights_black_rose;Donate 300¤ the Knights of the Black Rose;;;;;;;;;;;;x
donate_money_to_knights_black_rose_desc;I can donate money to the Knights of the Black Rose in exchange for [Player.Religion.GetPietyName] and lifelong respect from the priesthood.;;;;;;;;;;;;x
donate_money_to_knights_mariner;Donate 300¤ to the Knights Mariner;;;;;;;;;;;;x
donate_money_to_knights_mariner_desc;I can donate money to the Knights Mariner in exchange for [Player.Religion.GetPietyName] and lifelong respect from the priesthood.;;;;;;;;;;;;x
donate_money_to_sisters_sigmar;Donate 300¤ the Sisters of Sigmar;;;;;;;;;;;;x
donate_money_to_sisters_sigmar_desc;I can donate money to the Sisters of Sigmar in exchange for [Player.Religion.GetPietyName] and lifelong respect from the priesthood.;;;;;;;;;;;;x
donate_money_to_order_eagle;Donate 300¤ to the Order of the Eagle;;;;;;;;;;;;x
donate_money_to_order_eagle_desc;I can donate money to the Order of the Eagle in exchange for [Player.Religion.GetPietyName] and lifelong respect from the priesthood.;;;;;;;;;;;;x
#
# racial decisions - hidden, no local
#
ai_race_ogre;;;;;;;;;;;;;;x
ai_race_ogre_desc;;;;;;;;;;;;;;x
ai_race_orc;;;;;;;;;;;;;;x
ai_race_orc_desc;;;;;;;;;;;;;;x
ai_race_goblin;;;;;;;;;;;;;;x
ai_race_goblin_desc;;;;;;;;;;;;;;x
ai_race_elf;;;;;;;;;;;;;;x
ai_race_elf_desc;;;;;;;;;;;;;;x
ai_race_beastman;;;;;;;;;;;;;;x
ai_race_beastman_desc;;;;;;;;;;;;;;x
ai_race_skaven;;;;;;;;;;;;;;x
ai_race_skaven_desc;;;;;;;;;;;;;;x
ai_race_nehekharan;;;;;;;;;;;;;;x
ai_race_nehekharan_desc;;;;;;;;;;;;;;x
ai_race_nehekharan_slaves;;;;;;;;;;;;;;x
ai_race_nehekharan_slaves_desc;;;;;;;;;;;;;;x
ai_culture_nehekharan_nomad;;;;;;;;;;;;;;x
ai_culture_nehekharan_nomad_desc;;;;;;;;;;;;;;x
ai_race_halfling;;;;;;;;;;;;;;x
ai_race_halfling_desc;;;;;;;;;;;;;;x
ai_race_chaos_dwarf;;;;;;;;;;;;;;x
ai_race_chaos_dwarf_desc;;;;;;;;;;;;;;x
ai_race_dwarf;;;;;;;;;;;;;;x
ai_race_dwarf_desc;;;;;;;;;;;;;;x
ai_race_human;;;;;;;;;;;;;;x
ai_witch_hunter_human;;;;;;;;;;;;;;x
ai_witch_hunter_human_desc;;;;;;;;;;;;;;x
ai_race_amazon;;;;;;;;;;;;;;x
ai_race_amazon_desc;;;;;;;;;;;;;;x
ai_race_lizardman;;;;;;;;;;;;;;x
ai_race_lizardman_desc;;;;;;;;;;;;;;x
ai_dynasty_lizardman;;;;;;;;;;;;;;x
ai_dynasty_lizardman_desc;;;;;;;;;;;;;;x
ai_intermarriage_fix;;;;;;;;;;;;;;x
ai_intermarriage_fix_desc;;;;;;;;;;;;;;x
ai_intermarriage_fix_elf;;;;;;;;;;;;;;x
ai_intermarriage_fix_elf_desc;;;;;;;;;;;;;;x
#
# REALM DECISIONS
#
decision_empire_count_army;Inspect Army;;;;;;;;;;;;;x
decision_empire_count_army_desc;Inspects the army, counting the number of troops that Elector Counts can provide state.;;;;;;;;;;;;;x
patrolyourlands;Patrol Your Lands;;;;;;;;;;;;;x
patrolyourlands_desc;Head out on patrol, who knows what's lurking.;;;;;;;;;;;;;x
returntoyourcastle;Return to Your Castle;;;;;;;;;;;;;x
returntoyourcastle_desc;Time to drop what your doing and make way to your castle.;;;;;;;;;;;;;x
goonthegrailquest;Go on the Grail Quest;;;;;;;;;;;;;x
goonthegrailquest_desc;Travel the world to ferret out injustice and defeat the enemies of the Land and Lady.;;;;;;;;;;;;;x
seektobecomeeverchosen;Seek to Become Everchosen;;;;;;;;;;;;;x
seektobecomeeverchosen_desc;The Everchosen, also known as the Lord of the End Times, is a mortal champion behind whom all the Chaos Gods unite. War and death, famine and plague follow this great warrior wherever they tread, and nature itself abhors their presence.;;;;;;;;;;;;;x
servenurgle;Serve Nurgle;;;;;;;;;;;;;x
servenurgle_desc;Grand Father Nurgle, I give you my body for life eternal!;;;;;;;;;;;;;x
serveslaanesh;Serve Slaanesh;;;;;;;;;;;;;x
serveslaanesh_desc;Oh Prince of Pleasure, let me revel in your excess!;;;;;;;;;;;;;x
servekhorne;Serve Khorne;;;;;;;;;;;;;x
servekhorne_desc;Lord of Slaughter, bring me more foes!;;;;;;;;;;;;;x
servetzeentch;Serve Tzeentch;;;;;;;;;;;;;x
servetzeentch_desc;Master of Fate, show me the strands of fate so I might shape the flow of destiny...;;;;;;;;;;;;;x
goraiding;Go Raiding;;;;;;;;;;;;;x
goraiding_desc;Take from the weak!;;;;;;;;;;;;;x
returnfromraiding;Return from Raiding;;;;;;;;;;;;;x
returnfromraiding_desc;Bring home the spoils!;;;;;;;;;;;;;x
holdafeast;Hold a Feast;;;;;;;;;;;;;x
holdafeast_desc;Hold the biggest feast ever seen!;;;;;;;;;;;;;x
trainapegasusmount;Train a Pegasus Mount;;;;;;;;;;;;;x
trainapegasusmount_desc;I shall take to the skies!;;;;;;;;;;;;;x
trainagryphonmount;Train a Griffon Mount;;;;;;;;;;;;;x
trainagryphonmount_desc;On the wings of a lion I ride!;;;;;;;;;;;;;x
trainawyvernmount;Train a Wyvern Mount;;;;;;;;;;;;;x
trainawyvernmount_desc;Dis ere' beast will git me to da best fights!;;;;;;;;;;;;;x
trainadragonmount;Train a Dragon Mount;;;;;;;;;;;;;x
trainadragonmount_desc;I ascend to the heavens on the wings of the Ancients!;;;;;;;;;;;;;x
trainwarbearmount;Train a War Bear;;;;;;;;;;;;;x
trainwarbearmount_desc;A mighty beast and companion to fight with me against my foes!;;;;;;;;;;;;;x
traincoldonemount;Train a Cold One;;;;;;;;;;;;;x
traincoldonemount_desc;A mighty beast to fight with me against my foes!;;;;;;;;;;;;;x
trainaspidermount;Train a Spider Mount;;;;;;;;;;;;;x
trainaspidermount_desc;Dis ere' beast will git me to da best fights!;;;;;;;;;;;;;x
trainamammothmount;Train a Mammoth Mount;;;;;;;;;;;;;x
trainamammothmount_desc;A mighty beast to release against any who would dare stand before me!;;;;;;;;;;;;;x
buildwarchariot;Build a War Chariot;;;;;;;;;;;;;x
buildwarchariot_desc;This glorious chariot shall bring swift retribution to those who would dare oppose me!;;;;;;;;;;;;;x
openslaverymenu;Open Slavery Menu;;;;;;;;;;;;;x
openslaverymenu_desc;Use this decision to place your slaves in provinces or sell them;;;;;;;;;;;;;x
sellelfslaves;Sell Elf Slaves;;;;;;;;;;;;;x
sellelfslaves_desc;Sell off some elves.;;;;;;;;;;;;;x
sellhumanslaves;Sell Human Slaves;;;;;;;;;;;;;x
sellhumanslaves_desc;Sell off some humans.;;;;;;;;;;;;;x
selldwarfslaves;Sell Dwarf Slaves;;;;;;;;;;;;;x
selldwarfslaves_desc;Sell off some dwarfs.;;;;;;;;;;;;;x
showcourtiersthatcanbeturned;Show Courtiers That Can be Turned;;;;;;;;;;;;;x
showcourtiersthatcanbeturned_desc;Those weak in mind and body are so much more malleable...;;;;;;;;;;;;;x
closevampireturningdecisions;Close Vampire Turning Decisions;;;;;;;;;;;;;x
closevampireturningdecisions_desc;Eternal life is so precious, not all deserve its gift...;;;;;;;;;;;;;x
makeavampireheir;Make a Vampire Heir;;;;;;;;;;;;;x
makeavampireheir_desc;I shall sire only one worthy of my legacy.;;;;;;;;;;;;;x
cast_doombolt;Cast Doombolt Spell at Enemy;;;;;;;;;;;;;x
cast_doombolt_desc;The powers of the warp flow through me!;;;;;;;;;;;;;x
cast_bladewind;Cast Bladewind Spell at Enemy;;;;;;;;;;;;;x
cast_bladewind_desc;The winds of Dhar bend to my will!;;;;;;;;;;;;;x
cast_arnzipals_black_horror;Cast Arnzipals Black Horror at Enemy;;;;;;;;;;;;;x
cast_arnzipals_black_horror_desc;Witness true horror...;;;;;;;;;;;;;x
hire_sorceress;Hire Sorceress;;;;;;;;;;;;;x
