# LAST EDIT: 2021/04/11 - SUPERNOVA
###############
# DUEL ENGINE #
###############
###ÄNSI
#
# DUEL ACTION PICKING
#
simpleduel.2_desc;;;;;;;;;;;;x
GetDuelEnemy_Sorcerer.;Enemy sorcerer;;;;;;;;;;;;x
# Action outcomes
GetDuelActionOutcome_AttackMinor;inflicting minor wounds to your enemy;;;;;;;;;;;;x
GetDuelActionOutcome_AttackDefended;but your enemy evaded your attack;;;;;;;;;;;;x
GetDuelActionOutcome_AttackKill;killing your opponent at sight;;;;;;;;;;;;x
#
GetDuelEnemy.;Your enemy;;;;;;;;;;;;x
# Duel initiation
EVTDESC_SIMPLEDUEL_1;Across the battlefield you spot [FromFrom.GetBestName] advancing in your direction. Will you face your opponent?;;;;;;;;;;;;x
EVTOPTA_SIMPLEDUEL_1;Rush to face your enemy.;;;;;;;;;;;;x
EVTOPTB_SIMPLEDUEL_1;Cover behind your army.;;;;;;;;;;;;x
# Opponent decided to face you
EVTDESC_SIMPLEDUEL_2;[From.GetBestName] chosen to make stand against you. The duel will soon take plac.;;;;;;;;;;;;x
EVTOPTA_SIMPLEDUEL_2;Let's fight!;;;;;;;;;;;;;x
# Opponent runs
EVTDESC_SIMPLEDUEL_3;The spineless, [GetRootFromInsult] [From.GetTitledFirstName], cover behind his troops.;;;;;;;;;;;;;x
EVTOPTA_SIMPLEDUEL_3;Pathetic.;Pathétique.;Wie jämmerlich.;;Patético.;;;;;;;;;x
# Duel outcome reports
# Generic meele fight
EVTDESC_SIMPLEDUEL_7;It is the day of your duel against [enemy.GetBestName]. [GetDuelPlaceDesc]. [GetDuelOutcome];;;;;;;;;;;;;x
EVTOPTA_SIMPLEDUEL_7;Walk away as victor.;Je suis victorieu[Root.GetXSe].;Geht als Sieger vom Platz.;;Te alejas como el vencedor.;;;;;;;;;x
EVTOPTB_SIMPLEDUEL_7;Walk away as victor.;Je suis victorieu[Root.GetXSe].;Geht als Sieger vom Platz.;;Te alejas como el vencedor.;;;;;;;;;x
EVTOPTC_SIMPLEDUEL_7;I will show no mercy!;Je ne montrerai pas de pitié !;Ich kenne keine Gnade!;;!No mostraré piedad!;;;;;;;;;x
# Loser event
EVTDESC_SIMPLEDUEL_8;The day of your duel has come, and you step up to your opponent, [From.GetBestName], while raising your blade. [GetDuelOutcomeLoser];;;;;;;;;;;;;x
EVTOPTA_SIMPLEDUEL_8;Curses!;Malédiction !;Verflixt!;;!Maldición!;;;;;;;;;x
# Loser event no mercy
EVTDESC_SIMPLEDUEL_9;[GetDuelOutcomeLoser] You fall to your knees in defeat, You try pleading for mercy, but get but nothing but silence in reply as [From.GetBestName] raises [From.GetHerHis] weapon and holds it long enough for you to realize what awaits you. Moments later [From.GetSheHe] strikes you down.;;;;;;;;;;;;;x
EVTDESC_SIMPLEDUEL_10;[GetDuelOutcomeDraw];;;;;;;;;;;;;x
# Decapitation (winner)
EVTDESC_SIMPLEDUEL_12;It is the hour of your duel against [enemy.GetBestName]. [GetDuelPlaceDesc]. [GetDuelOutcome];;;;;;;;;;;;;x
EVTOPTA_SIMPLEDUEL_12;Schwop.;Aïe.;Schwupps.;;Chop;;;;;;;;;x
# Decapitation (loser)
EVTDESC_SIMPLEDUEL_13;It is the hour of your duel against [enemy.GetBestName]. [GetDuelPlaceDesc]. [GetDuelOutcome];;;;;;;;;;;;;x
EVTOPTA_SIMPLEDUEL_13;Schwop.;Aïe.;Schwupps.;;Chop;;;;;;;;;x
# Gain rival
EVTDESC_SIMPLEDUEL_14;[FromFrom.GetBestName] has stained your honor by forcing you down into the dirt in a duel. It is only natural that you start to plan your revenge.;;;;;;;;;;;;;x
EVTOPTA_SIMPLEDUEL_14;[FromFrom.GetBestName] will feel the wrath of my vengeance!;;;;;;;;;;;;;x
EVTOPTB_SIMPLEDUEL_14;I'd better not make more enemies than I already have.;;;;;;;;;;;;;x
# Making an enemy
EVTDESC_SIMPLEDUEL_15;[From.GetBestName] did not take lightly on being defeated in a duel. [From.GetSheHeCap] has sworn to avenge [From.GetHerHis] defeat.;[From.Get_Le_Title][From.GetBestName] n'a pas accepté d'avoir perdu le duel et a juré de se venger.;[From.GetBestName] konnte es nicht überwinden, in einem Duell besiegt worden zu sein. [From.GetSheHeCap] hat geschworen, sich für die Niederlage zu rächen.;;[From.GetBestName] no se tomó ligeramente su derrota en el duelo. [From.GetSheHeCap] ha jurado vengar [From.GetHerHis] fracaso. ;;;;;;;;;x
EVTOPTA_SIMPLEDUEL_15;Seems like I've made myself an enemy today.;Il semble que je me sois fait un nouvel ennemi.;Es scheint, als hätte ich mir heute jemanden zum Feind gemacht.;;Parece hoy me he creado otro enemigo.;;;;;;;;;x
#
# Customizable localisations keys
#
#
# DUEL CIRUMSTANCES/ENVIROMENTS
#
GetDuelPlaceDesc_staged;A crowd has gathered to witness the event, and what a show they get.;;;;;;;;;;;;;x
GetDuelPlaceDesc_battle;Soldiers step out of your path as you advance to face your enemy.;;;;;;;;;;;;;x
#
# MELEE DUEL OUTCOMES
#
#
# BOTH PARTICIPANTS ARE MELEE FIGHTERS
#
#
# Three outcomes (2 descriptions per one)
#
# Outcome 1 : Maim
GetDuelOutcome_MeleeMaim;The fight starts off fiercely, as the clashing of metal is violent enough to quiet the murmurs of the spectators. For a while it seems like neither of you will gain the upper hand, until you manage to parry [enemy.GetBestName]'s blow and deliver a powerful strike to [enemy.GetHerHis] defensless arm. [enemy.GetSheHeCap] drops [enemy.GetHerHis] weapon on the ground and lets out a blood-curdling scream, staring in shock at the gruesome wound.;;;;;;;;;;;;;x
# Outcome 2 : Force to surrender outcome in melee
GetDuelOutcome_MeleeOverpower;[enemy.GetBestName] starts aggressively, but you manage to evade and block the attacks [enemy.GetSheHe] hurls at you. Over time you gain the advantage, while your opponent is getting more and more fatigued. Finally you feint a high attack and [enemy.GetBestName] falls for it, failing to block as you strike out towards [enemy.GetHerHis] unprotected legs. Once injured, [enemy.GetSheHe] surrenders.;;;;;;;;;;;;;x
# Outcome 3 : Winner outcome decapitation
GetDuelOutcome_MeleeDeath;Finally facing [enemy.GetBestName]. You already know that you will stand victorious, as such a weak creature cannot possibly pose a challenge to someone like you. It's clear that [enemy.GetBestName] isn't confident in [enemy.GetHerHis] chances, as [enemy.GetSheHe] charges you and desperately swings at your garde. Easily evading the mindless slashes, you quickly end the fight by surprising your opponent with an elegant dodge, coming up behind [enemy.GetHerHim] and dealing a deadly blow to [enemy.GetHerHis] neck, decapitating [enemy.GetHerHim].;;;;;;;;;;;;;x
# Outcome 1 : loser: Melee maim
GetDuelOutcomeLoser_MeleeMaim; The fight starts off fiercely as neither of you hold back, the echo of clashing metal following every brutal attack. For a long time it's unclear who will stand victorious, until a parry throws you off balance, leaving you an open target. [From.GetBestName] instantly strikes out, and an eruption of pain ravages your body as their blade digs deep into your arm. You let out a blood-curdling scream, and the duel is lost.;;;;;;;;;;;;;x
# Outcome 2: loser : Melee Overpower
GetDuelOutcomeLoser_MeleeOverpower;The duel starts violently, as your tactic is to strike at [From.GetBestName]'s garde repeatedly until it folds. However, you seem to be unable to overwhelm [From.GetHerHim], as [From.GetSheHe] blocks and evades your every attack with ease. As time passes you grow more and more fatigued, and predicting [From.GetBestName]'s maneuvers gets all the more challenging. You curse your slow reactions as you try to parry a high attack, which [From.GetSheHe] used to feint into a low blow, striking at your legs. The resulting wound isn't fatal, but it hinders your movement and you reluctantly yield to your opponent.;;;;;;;;;;;;;x
# Outcome 3: loser :  Melee Death
GetDuelOutcomeLoser_MeleeDeath;You're well aware of your own ability, or lack of thereof, and therefore know that your duel with [From.GetBestName] will be onesided. Hoping to get the upper hand through surprise, you charge them the second they appear on the battleground. However, your sudden move doesn't faze them, and your desperate stabs are being easily parried. As [From.GetBestName] dodges one of your high blows, they get plenty of time to come up behind you and slash at your neck. There's no time to feel pain, as you fade from this world much too quickly to register your head being separated from the rest of your body.;;;;;;;;;;;;;x
# Outcome 4: symmetrical :  Draw both killed
GetDuelOutcomeDraw_MeleeDeath;You charge at [enemy.GetBestName] as soon as the duel begins. [enemy.GetSheHeCap] is equally aggressive, and delivers vicious blows that you barely manage to evade. You hear the people that have gathered to watch your brawl gasp at the fury that is displayed. Their horror isn't surprising, since both of you manage to land more than a handful blows on each-other, causing injuries that would bring a less passionate man to his knees. The duel rages on as both of you refuse to yield, and soon enough you manage to slash [enemy.GetFirstName] in the side, causing a fatal wound. For a moment you seem victorious, but as your rage subsides, you're overwhelmed by pain. Looking down, you find [enemy.GetFirstName]'s blade driven straight through your stomach.;;;;;;;;;;;;;x
# #################################
#
# MAGIC VS MELEE DUEL OUTCOME
#
# #################################
GetDuelOutcome_MagicMaim;The fight starts off fiercely, For a while it seems like neither of you will gain the upper hand, until you manage to evade [enemy.GetBestName]'s blow and cast [GetMagicMaimAttack] at enemy. [enemy.GetSheHeCap] drops [enemy.GetHerHis] weapon on the ground and lets out a blood-curdling scream, staring in shock at the gruesome wound.;;;;;;;;;;;;;x
# Force to surrender outcome in melee
GetDuelOutcome_MagicOverpower;[enemy.GetBestName] starts aggressively, but you manage to evade and block the attacks [enemy.GetSheHe] hurls at you. Over time you gain the advantage, while your opponent is getting more and more fatigued. Finally opportunity arises and you use it cast [GetMagicAttack] at [enemy.GetBestName] forcing [enemy.GetHerHim] to yield.;;;;;;;;;;;;;x
# Winner outcome magic crictical spell
GetDuelOutcome_MagicDeath;Finally facing [enemy.GetBestName]. You already know that you will stand victorious, as such a weak creature cannot possibly pose a challenge to your power. It's clear that [enemy.GetBestName] isn't confident in [enemy.GetHerHis] chances, as [enemy.GetSheHe] charges you and desperately swings at your garde. Easily blocking the mindless slashes, you channel the winds of magic into [GetMagicDeathAttack].;;;;;;;;;;;;;x
# Loser outcome : Magic maim
GetDuelOutcomeLoser_MagicMeleeMaim; The fight starts off fiercely as neither of you hold back, the echo of clashing metal following every brutal attack. For a long time it's unclear who will stand victorious, until a parry throws you off balance, leaving you an open target. [From.GetBestName] instantly seizes the opportunity and cast [From.GetMagicMaimAttack]. You let out a blood-curdling scream, and the duel is lost.;;;;;;;;;;;;;x
# loser outcome : Magic Overpower
GetDuelOutcomeLoser_MagicMeleeOverpower;The duel starts violently, as your tactic is to strike at [From.GetBestName]'s garde repeatedly until it folds. However, you seem to be unable to overwhelm [From.GetHerHis], as [From.GetSheHe] block and evades your every attack with ease. As time passes you grow more and more fatigued, and predicting [From.GetBestName]'s maneuvers gets all the more challenging. You curse your slow reactions as you try to evade a spell which [From.GetSheHe] used to take away your ability to fight. Overwhelmed by magic you reluctantly yield to your opponent.;;;;;;;;;;;;;x
# loser outcome : Magic Death
GetDuelOutcomeLoser_MagicMeleeDeath;You're well aware of your own ability, or lack of thereof, and therefore know that your duel with [From.GetBestName] will be onesided. Hoping to get the upper hand through surprise, you unleash quick spell atthem the second they appear on the battleground. However, your sudden move doesn't faze them, and your desperate attempts are being easily resisted. As [From.GetBestName] dodges one of your high blows, they get plenty of time to cast spell [From.GetMagicDeathAttack];;;;;;;;;;;;;x
#
# MELEE VS MAGIC
#
#
# Outcome 1 : Maim
#
GetDuelOutcome_MeleeMagicMaim;The fight starts off fiercely, as the winds of magic rage around. For a while it seems like neither of you will gain the upper hand, until enemy mistcast allows you cut the distance and deliver a powerful strike to enemy hand, unable to cast spells, wounded and shocked enemy surrenders to your martial might.;;;;;;;;;;;;;x
# Outcome 2 : Force to surrender outcome in melee
GetDuelOutcome_MeleeMagicOverpower;[enemy.GetBestName] starts aggressively, but you manage to evade and resist spells [enemy.GetSheHe] hurls at you. Over time you gain the advantage, while your opponent is getting more and more fatigued. Finally you [enemy.GetSheHe] losts control upon winds of magic and you immidiately respond with quick attack knocking [enemy.GetHerHim] down, [enemy.GetSheHe] surrenders.;;;;;;;;;;;;;x
# Outcome 3 : Winner outcome decapitation
GetDuelOutcome_MeleeMagicDeath;Finally facing [enemy.GetBestName]. You already know that you will stand victorious, as such a cowardly hedge wizard cannot possibly pose a challenge to someone like you. It's clear that [enemy.GetBestName] isn't confident in [enemy.GetHerHis] chances, as with clumsy gestures [enemy.GetSheHe] desperately attempts to conjure spell while you advance into [enemy.GetHerHis] direction. Finally in flash of light spell conjured by enemy backfiers, blowing in [enemy.GetHerHis] hands, you finish your stunned enemy by decapitating [enemy.GetHerHim].;;;;;;;;;;;;;x
# Outcome 1 : loser: Melee maim
GetDuelOutcomeLoser_MeleeMagicMaim; The fight starts off fiercely as neither of you hold back, the echo of magical explosions follows every brutal attack. For a long time it's unclear who will stand victorious, until well targeted enemy spell hits you, unable to resist vile sorcery, you scream as winds of arcane energies ravish your body. You let out a blood-curdling scream, and the duel is lost.;;;;;;;;;;;;;x
# Outcome 2: loser : Melee Overpower
# TODO
GetDuelOutcomeLoser_MeleeMagicOverpower;The duel starts violently, as your tactic is to strike at [From.GetBestName]'s garde repeatedly until it folds. However, you seem to be unable to overwhelm [From.GetHerHim], as [From.GetSheHe] blocks and evades your every attack with ease. As time passes you grow more and more fatigued, and predicting [From.GetBestName]'s maneuvers gets all the more challenging. You curse your slow reactions as you try to parry a high attack, which [From.GetSheHe] used to feint into a low blow, striking at your legs. The resulting wound isn't fatal, but it hinders your movement and you reluctantly yield to your opponent.;;;;;;;;;;;;;x
# Outcome 3: loser :  Melee Death
#
# TODO
#
GetDuelOutcomeLoser_MeleeMagicDeath;You're well aware of your own ability, or lack of thereof, and therefore know that your duel with [From.GetBestName] will be onesided. Hoping to get the upper hand through surprise, you charge them the second they appear on the battleground. However, your sudden move doesn't faze them, and your desperate stabs are being easily parried. As [From.GetBestName] dodges one of your high blows, they get plenty of time to come up behind you and slash at your neck. There's no time to feel pain, as you fade from this world much too quickly to register your head being separated from the rest of your body.;;;;;;;;;;;;;x
#
# OUTCOME 4: SYMMETRICAL :  DRAW BOTH KILLED
#
#
# TODO
#
GetDuelOutcomeDraw_MeleeMagicDeath;You charge at [enemy.GetBestName] as soon as the duel begins. [enemy.GetSheHeCap] is equally aggressive, and delivers vicious blows that you barely manage to evade. You hear the people that have gathered to watch your brawl gasp at the fury that is displayed. Their horror isn't surprising, since both of you manage to land more than a handful blows on each-other, causing injuries that would bring a less passionate man to his knees. The duel rages on as both of you refuse to yield, and soon enough you manage to slash [enemy.GetFirstName] in the side, causing a fatal wound. For a moment you seem victorious, but as your rage subsides, you're overwhelmed by pain. Looking down, you find [enemy.GetFirstName]'s blade driven straight through your stomach.;;;;;;;;;;;;;x
#
# MAGIC ATTACKS
#
# GENERIC SPELL (PLACEHOLDER)
GetMagicAttack_Generic;an overwhelming spell;;;;;;;;;;;;;x
GetMagicMaimAttack_Generic;a powerful spell that inflicts terrible wounds;;;;;;;;;;;;;x
GetMagicDeathAttack_Generic;a powerful spell that kills its target in matter of seconds;;;;;;;;;;;;;x
# ICE MAGIC VS MOST ENEMIES
GetMagicAttack_Ice;a chilling wind keeping the target in place,;;;;;;;;;;;;;x
GetMagicMaimAttack_Ice;a spell that truns limbs of victim into brittle ice;;;;;;;;;;;;;x
GetMagicDeathAttack_Ice;a powerful spell that freezes the victim and shatter it into thousand icy pieces;;;;;;;;;;;;;x
