#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
# Last Edit: 11.2.17 -Komioski
#################
# ASRAI EVENTS #
#################
enter_oak_of_ages;Enter the Oak of Ages;;;;;;;;;;;;;;
enter_oak_of_ages_desc;The eternal cycle ensuring the survival of Athel Loren must be preserved. The gods will protect the forests, as long as there are volunteers amongst the Asrai to become their vessels. You currently claim rule over Athel Loren, yet have refused thus far such burden.;;;;;;;;;;;;;;
spouseenter_oak_of_ages;Enter the Oak of Ages;;;;;;;;;;;;;;
spouseenter_oak_of_ages_desc;The eternal cycle ensuring the survival of Athel Loren must be preserved. The Gods will protect the forests, as long as there are volunteers amongst the Asrai to become their vessels. You currently bear such burden, yet your spouse is still free from it. For balance to be reached, Isha and Kurnous must be reunited.;;;;;;;;;;;;;;
EVTTITLEasrai1;The Oak of Ages;;;;;;;;;;;;;;
EVTDESCAasrai1;As days go by, you've felt drawn closer to the heart of Athel Loren, the Oak of the Ages. You've finally embraced the call of the Gods and, as you enter the the ancient tree, you feel the benevolence and wisdom of Isha filling your very being. What happens later is indescribable, but when you've come out you've become more than a mere elf.;;;;;;;;;;;;;;
EVTDESCBasrai1;As days go by, you've felt drawn closer to the heart of Athel Loren, the Oak of the Ages. You've finally embraced the call of the Gods and, as you enter the the ancient tree, you feel the wrath and righteousness of Kurnous filling your very being. What happens later is indescribable, but when you've come out you've become more than a mere elf.;;;;;;;;;;;;;;
EVTOPTAasrai1;Let my enlightened guide shine over my subjects.;;;;;;;;;;;;;;
EVTOPTBasrai1;Let the Wild Hunt start anew!;;;;;;;;;;;;;;
EVTDESCAasrai2;Winter is coming closer and once again you feel the call of the Oak of Ages, to rest inside the heart of Athel Loren and wait for your forces to be renewed on spring.;;;;;;;;;;;;;;
EVTDESCBasrai2;Winter is coming closer and once again you feel the call of the Oak of Ages, to burn, die and be reborn from  the heart of Athel Loren in spring.;;;;;;;;;;;;;;
EVTDESCCasrai2;The summer is coming to an end and you feel more and more tired everyday. The call of Athel Loren compels you to yield to your torpor and sleep until the next spring.;;;;;;;;;;;;;;
EVTOPTAasrai2;So be it.;;;;;;;;;;;;;;
EVTOPTBasrai2;So be it.;;;;;;;;;;;;;;
EVTOPTCasrai2;So be it.;;;;;;;;;;;;;;
EVTDESCAasrai3;With the spring giving new life and colour to the woods, you emerge once more from your sleep, reinvigorated by the power of Athel Loren, once more ready to defend it.;;;;;;;;;;;;;;
EVTOPTAasrai3;The Hunt draws close.;;;;;;;;;;;;;;
EVTDESCAasrai4;Something is wrong. You've awakened with a strange thirst for blood this year. The minds of all the Great Hunters are shrieking inside your mind, demanding for you to protect the sacred glades and slaughter all those who are planning to do harm upon them.;;;;;;;;;;;;;;
EVTOPTAasrai4;Blow the horns! It is time we hunt!;;;;;;;;;;;;;;
EVTDESCAasrai5;This year Kurnous has come back to life maddened with lust for blood. Already his call resonates over the glades, calling all the creatures of the forest to hunt, driving spirits and beasts insane.;;;;;;;;;;;;;;
EVTOPTAasrai5;Blreaaarh!!!;;;;;;;;;;;;;;
EVTOPTBasrai5;The horns pierce my ears!;;;;;;;;;;;;;;
EVTOPTCasrai5;What's all this ruckus about?;;;;;;;;;;;;;;
