#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
# Last Edit: 11.2.17 -Komioski
###############
# ASUR EVENTS #
###############
#
# DEPOPULATION
#
ulthuan1desc;Whether through war or just the slow passage of time, the population in this province has fallen. Such is the fate of all elves in Ulthuan, to slowly diminish, but they will never yield to their enemies even so.;;;;;;;;;;;;x
ulthuan2desc;Whether through war or just the slow passage of time, the population in this province is now moderately depopulated. Empty villages and mansions dot the country side, their former inhabitants now only a distant memory.;;;;;;;;;;;;x
ulthuan3desc;Whether through war or just the slow passage of time, the population in this province is now heavily depopulated. The lords there struggle to maintain a semblance of civilization, and many areas are now devoid of elves entirely, given over to nature and the wild beasts.;;;;;;;;;;;;x
ulthuan4desc;Whether through war or just the slow passage of time, the population in this province is now severely depopulated. The major noble families still maintain their mansions and the immediate surrounds, but they have lost the ability to control much more than that.;;;;;;;;;;;;x
ulthuan5desc;This province is occupied by enemies and many precious elven lives have been lost.;;;;;;;;;;;;x
#
#NAMEPSACE = HIGHELF
#
EVTOPTHIGHELF.0.b;I could have done just as well.;;;;;;;;;;;;x
EVTDESCHIGHELF.0;While on a border patrol, one of your courtiers defeated a band of raiders, almost single-handedly driving them off. [From.GetSheHeCap] is hailed as a great warrior by all in the court.;;;;;;;;;;;;x
EVTDESCHIGHELF.1;While on a border patrol, a courtier's small force was ambushed, but [From.GetSheHe] fled and left [From.GetHerHis] men to die! [From.GetHerHisCap] name is in disgrace, and [From.GetSheHe] has shamed our entire court with [From.GetHerHis] cowardice.;;;;;;;;;;;;x
EVTOPTHIGHELF.2.a;It reminds me of the first light of a winter moon!;;;;;;;;;;;;x
EVTOPTHIGHELF.2.b;It reminds me of the first light of a winter moon!;;;;;;;;;;;;x
EVTDESCHIGHELF.2;This courtier has composed a stunning new epic, which brings tears to the eyes of anyone who hears it. At the feast table, even hardened warriors are seen with misty eyes, reminiscing of the glories of your ancient race.;;;;;;;;;;;;x
EVTOPTHIGHELF.3.b;No, I think I'll sit this one out.;;;;;;;;;;;;x
EVTDESCHIGHELF.3;Foul creatures such as manticores and hydras sometimes make their way down from the Anulii mountains. Your huntmaster is arranging a great hunt, do you wish to join in it and perhaps win a new trophy for the walls of your feast hall?;;;;;;;;;;;;x
EVTOPTHIGHELF.4.a;Who am I to go against tradition?;;;;;;;;;;;;x
EVTDESCHIGHELF.4;While the Phoenix King is the political centre of Ulthuan, the Everqueen is its spiritual heart. It is tradition that they have a year-long ritual marriage and produce a daughter who shall be the next Everqueen.;;;;;;;;;;;;x
EVTOPTHIGHELF.5.a;Who am I to stand against tradition?;;;;;;;;;;;;x
EVTDESCHIGHELF.5;While the Phoenix King is the political centre of Ulthuan, the Everqueen is its spiritual heart. It is tradition that they have a year-long ritual marriage and produce a daughter who shall be the next Everqueen.;;;;;;;;;;;;x
EVTOPTHIGHELF.6.b;Dear wife, I thought of Ulthuan the whole time!;;;;;;;;;;;;x
EVTDESCHIGHELF.6;You travel swiftly to Avelorn, where you spend many days and nights with the Everqueen. She assures you that her magic will guarantee that a child will be born shortly - the new future Everqueen.;;;;;;;;;;;;x
EVTOPTHIGHELF.7.a;I knew it was going to be a girl!;;;;;;;;;;;;x
EVTDESCHIGHELF.7;Nine months after the visit from the Phoenix King, a child is born. Avelorn rejoices at the birth of its future Everqueen!;;;;;;;;;;;;x
EVTOPTHIGHELF.8.a;She will be a great Everqueen one day.;;;;;;;;;;;;x
EVTDESCHIGHELF.8;Word reaches you that all of Avelorn and Ulthuan rejoice - a new Everqueen has been born, you have fathered a beautiful daughter!;;;;;;;;;;;;x
#
passing_asuryan;Passing the Flames;;;;;;;;;;;;;;x
passing_asuryan_desc;It is tradition for the Phoenix King to be legitimized by crossing Asuryan's holy flames. If the Prince emerges unscathed, then he is recognized as the rightful ruler of the Asur.;;;;;;;;;;;;;;x
EVTDESCasur1;The priestesses make sure you are ready by casting the proper protective spells, and you leap into the flames that will consecrate you as the rightful ruler of Ulthuan.;;;;;;;;;;;;;;x
EVTOPTAasur1;May Asuryan judge me well.;;;;;;;;;;;;;;x
EVTDESCasur2;You emerge unscathed from the holy flames, the priestesses raise their praises to the Gods and the new Phoenix King.;;;;;;;;;;;;;;x
EVTOPTAasur2;Asuryan blesses me.;;;;;;;;;;;;;;x
EVTDESCasur3;You enter the flames with a steady heart, but the Gods do not favour you today. Asuryan's gaze passes through your protective spells and your flesh is scourged with fire. The priestesses manage to recover you, shrieking and maimed, but the will of the Gods has been made clear today, you are not the rightful heir to the Phoenix Crown.;;;;;;;;;;;;;;x
EVTOPTAasur3;AAAARGH!;;;;;;;;;;;;;;x
EVTDESCasur4;You enter the flames with a steady heart, but the Gods do not favour you today. Asuryan's gaze passes through your protective spells and your flesh is scourged with fire. The priestesses struggle to save you, but your offences must have been great indeed, for they recover nothing but a blackened carcass.;;;;;;;;;;;;;;x
EVTOPTAasur4;...;;;;;;;;;;;;;;x
EVTDESCasur5;[From.GetTitledFirstName] has passed through the Flames of Asuryan without being burned, thus proving his divinely-given right to rule over Ulthuan.;;;;;;;;;;;;;;x
EVTOPTAasur5;Long live the Phoenix King!;;;;;;;;;;;;;;x
EVTOPTBasur5;What a weird custom.;;;;;;;;;;;;;;x
EVTDESCasur6;[From.GetTitledFirstName] tried to pass through the Flames of Asuryan, but the god saw his wickedness and burned him, sculpting a blasphemous shape around a blasphemous heart.;;;;;;;;;;;;;;x
EVTOPTAasur6;He cannot wear the crown!;;;;;;;;;;;;;;x
EVTOPTBasur6;He was burned for crossing a fire. So what?;;;;;;;;;;;;;;x
EVTDESCasur7;Your [GetFromRelation] was burned by the holy Flames of Asuryan, disgracing his whole line along with himself.;;;;;;;;;;;;;;x
EVTOPTAasur7;But I'm not tainted!;;;;;;;;;;;;;;x
EVTDESCasur8;The healing spells are slowly putting you back to health, but the scourge of Asuryan remains, marking your skin, weighing on your troubled soul.;;;;;;;;;;;;;;x
EVTOPTAasur8;How could this happen?;;;;;;;;;;;;;;x
EVTDESCasur9;[From.GetTitledFirstName] tried to pass through the Flames of Asuryan, but the God saw his wickedness and burned him, leaving nothing but a blackened carcass in his wake.;;;;;;;;;;;;;;x
EVTOPTAasur9;A false king has been revealed by the righteous gods!;;;;;;;;;;;;;;x
EVTOPTBasur9;Why did he even cross the fire in the first place?;;;;;;;;;;;;;;x
EVTDESCasur10;Your [GetFromRelation] was burned by the holy Flames of Asuryan, dying a horrible death and disgracing his whole bloodline.;;;;;;;;;;;;;;x
EVTOPTAasur10;But I'm not tainted!;;;;;;;;;;;;;;x
EVTDESCasur11;You've been chosen by the Dragon Princes to take the lead of Ulthuan, following the disgraceful reign of [From.GetFirstName].;;;;;;;;;;;;;;x
EVTOPTAasur11;I will rule in the grace of Asuryan.;;;;;;;;;;;;;;x
renounce_cadai;Renounce Cadai;;;;;;;;;;;;;;x
renounce_cadai_desc;Asuryan has cursed you, is it really worth it to worship a God who despises your rule?;;;;;;;;;;;;;;x
EVTDESCasur12;Following in the footsteps of the blasphemous Witch-King, [From.GetTitledFirstName] has renounced Asuryan to follow Kaela Mensha Khaine, planting the seeds for a potential second Sundering.;;;;;;;;;;;;;;x
