#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
# Last Edit: 11.16.17 -Komioski
#####################
# BRETONNIAN EVENTS #
#####################
#namespace = BRETONNIA;;;;;;;;;;;;;;;
EVTDESCBRETONNIA.0;You are the ruler of a Bretonnian castle, and you - like the rest of your fellow rulers - are an ordained Knight of the Realm.;;;;;;;;;;;;x
EVTDESCBRETONNIA.1;You are a skilled warrior, and it is time you took up your duties to the realm and became a Knight Errant of Bretonnia. It is your duty to seek out dangerous threats and conquer them in the name of the Lady.;;;;;;;;;;;;x
EVTOPTBRETONNIA.10.b;No, a mere mob of orcs is an unworthy foe!;;;;;;;;;;;;x
EVTDESCBRETONNIA.10;You hear rumours that an orc warband is raiding this area. Do you want to investigate?;;;;;;;;;;;;x
EVTOPTBRETONNIA.11.a;I hope there's enough for all of us! Onward to glory!;;;;;;;;;;;;x
EVTOPTBRETONNIA.11.b; No, wait. I think I see a giant over there, this way men!;;;;;;;;;;;;x
EVTDESCBRETONNIA.11;After some hard riding you find the trail of destruction left behind and quickly catch up to the orcs. The greenskins seem to be meandering across the countryside, looting and burning at random according to the whims of a larger-looking boss. It's only a small war party of less than two-score orcs with a mob of lesser attendant greenskins, but your band of faithful are but a handful.;;;;;;;;;;;;x
EVTOPTBRETONNIA.12.a;For the Lady! Charge!;;;;;;;;;;;;x
EVTDESCBRETONNIA.12;The orcs are too unprepared to do more than turn and roar defiance as your band approaches, and you smash into them with your fellow knights in a glorious charge. With lance and sword you drive a deep wedge into their hastily formed ranks. The orcs fight poorly and the boss only slightly more challenging, your lance taking it in the throat before you crush it into the mud. The assorted goblins and snotlings that were following the mob attempt to scatter, with most of them ridden down with ease. It is a righteous slaughter, and their kind will now know the folly of trespassing in these lands!;;;;;;;;;;;;x
EVTOPTBRETONNIA.13.a;Men, advance backwards! Double quick!;;;;;;;;;;;;x
EVTDESCBRETONNIA.13;As soon as you begin to charge the orcs, the boss in control of the mob spots you, shouting and beating his underlings into crude ranks to take the impact. Some of them brace with great shields and pikes, and as your charge is broken you find yourself being attacked from all directions!;;;;;;;;;;;;x
EVTDESCBRETONNIA.14;As you travel along the coast you spot a sleek black ship moored in the shallow water. On the beach nearby is a dark elf raiding party, and they have captured a number of humans! Surely taken in lightning-quick raids on nearby farms and villages, they are preparing them for transport back to their terrible slave-markets.;;;;;;;;;;;;x
EVTDESCBRETONNIA.15;Your mighty charge takes the foul slavers completely by surprise, and rather than form a line and try to repel you, they make a mad dash for their ships. You slay many of the cowardly elves, and free the captives. The surviving raiders make it back to their vessel and flee, but after taking such losses and failing to carry cargo they are unlikely to return any time soon.;;;;;;;;;;;;x
EVTOPTBRETONNIA.16.a;Arghh, men *cough* advance... backwards!;;;;;;;;;;;;x
EVTOPTBRETONNIA.16.b;A true knight never turns from danger!;;;;;;;;;;;;x
EVTDESCBRETONNIA.16;The dark elves have sharp eyes that saw you coming from afar, and quickly form disciplined ranks with tall shields and cruel-looking blades at the ready. Worse still, as you approach the taste of foul magic suffuses the air. An unnaturally pale, lithe sorceress pushes her way to the front of the line, leering at you while performing an arcane ritual, and suddenly the air around you explodes with thunder! When you come to a moment later you realise you've been thrown from your horse and are smoking slightly!;;;;;;;;;;;;x
EVTOPTBRETONNIA.17.a;Forwards! To victory! For the Lady!;;;;;;;;;;;;x
EVTDESCBRETONNIA.17;A surge of righteous anger fills you and you leap back up on your horse, spit the blood from your mouth, couch your lance, and with a great battle cry you charge the foul sorceress and her cohorts!;;;;;;;;;;;;x
EVTDESCBRETONNIA.18;The Sorceress casts another spell at you, but as her lightning bolt fails to stop you, she turns and runs and the rest follow. You slaughter many of them as they flee for their ship, and free the captives.;;;;;;;;;;;;x
EVTDESCBRETONNIA.19;You rush the dark elves, but the sorceress merely grins wickedly and hurls another spell at you. Lightning arcs out from her hands once more and strikes you, and you feel excruciating pain as you are once again blasted from your horse. This battle is over!;;;;;;;;;;;;x
EVTDESCBRETONNIA.2;You are a knight of Bretonnia, it is only fitting that you travel the land doing great deeds, rescuing maidens and slaying monsters. Will you take up the questing life?;;;;;;;;;;;;x
EVTOPTBRETONNIA.20.a;I return home to heal - For the Lady!;;;;;;;;;;;;x
EVTDESCBRETONNIA.20;You have become wounded, and can no longer carry on the questing life. It is time to return to your castle and regain your strength.;;;;;;;;;;;;x
EVTDESCBRETONNIA.21;You are a knight of Bretonnia, but only the most noble and pure knights are worthy to sip from the Holy Grail of the Lady of the Lake. Do you want to test yourself on this great - but also dangerous, quest?;;;;;;;;;;;;x
EVTOPTBRETONNIA.22.b;Simple peasants - so that's where my tax money went!;;;;;;;;;;;;x
EVTDESCBRETONNIA.22;You come across a remote shrine, dedicated to a sighting of the Lady many years ago. Naturally you leave an offering to help maintain the shrine, but as you prepare to leave a local headman boldly asks you for a further donation to the help feed the local village.;;;;;;;;;;;;x
EVTOPTBRETONNIA.23.b;I'm all alone, no one will know if I just ride away...;;;;;;;;;;;;x
