#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
# Last Edit: 11.5.17 -Komioski
##################
# CULTIST EVENTS #
##################
#
khornecultist1A;How do I summon a daemonic host and wreak havoc on the world?;;;;;;;;;;;;x
khornecultist1B;Openly turn to Chaos, and summon a daemonic host!;;;;;;;;;;;;x
EVTDESCKHORNECULTIST.13;To be worthy of the Blood God's attentions you must be a be a High-Magus of Khorne. Hold a grand rite or donate to the cult's coffers, and in time, he will bless you with his power and send armies to aid you depending on how strong the Winds of Chaos are.;;;;;;;;;;;;x
EVTDESCKHORNECULTIST.14;Do you wish to openly serve Khorne, and enact a ritual that will open a portal to the Realm of Chaos? (Be warned: There is no going back from this choice, once made);;;;;;;;;;;;x
khornecultist14A;BLOOD FOR THE BLOOD GOD!!!;;;;;;;;;;;;x
khornecultist14B;No, now is not the opportune time...;;;;;;;;;;;;x
EVTDESCKHORNECULTIST.15;This ruler has been a secret servant of the Ruinous Powers for some time now, and has finally proclaimed his allegiance. He or she has summoned a daemonic army and is preparing to wage a war of conquest!;;;;;;;;;;;;x
khornecultist15A;By the gods...!;;;;;;;;;;;;x
nurglecultist1A;How do I summon a daemonic host and wreak havoc on the world?;;;;;;;;;;;;x
nurglecultist1B;Openly turn to Chaos, and summon a daemonic host!;;;;;;;;;;;;x
nurglecultist13desc;To be worthy of the Grandfather Nurgle's attentions, the Winds of Chaos must be strong and you must be a be a High-Magus of Nurgle. Hold a grand rite or donate to the cult's coffers, and in time, he will bless you with his power and send armies to aid you.;;;;;;;;;;;;x
nurglecultist14desc;Do you wish to openly serve Nurgle, and enact a ritual that will open a portal to the Realm of Chaos? (Be warned: There is no going back from this choice, once made);;;;;;;;;;;;x
nurglecultist14A;FLIES FOR THE PLAGUE LORD!;;;;;;;;;;;;x
slaaneshcultist13desc;To be worthy of the Prince of Pleasure's attentions, the Winds of Chaos must be strong and you must be a be a High-Magus of Slaanesh. Hold a grand rite or donate to the cult's coffers, and in time, he will bless you with his power and send armies to aid you.;;;;;;;;;;;;x
slaaneshcultist14desc;Do you wish to openly serve Slaanesh, and enact a ritual that will open a portal to the Realm of Chaos? (Be warned: There is no going back from this choice, once made);;;;;;;;;;;;x
slaaneshcultist14A;ALL PRAISE SLAANESH!;;;;;;;;;;;;x
slaaneshcultist14B;No, now is not the opportune time...;;;;;;;;;;;;x
tzeentchcultist13desc;To be worthy of the Lord of Change's attentions, the Winds of Chaos must be strong and you must be a be a High-Magus of Tzeentch. Hold a grand rite or donate to the cult's coffers, and in time, he will bless you with his power and send armies to aid you.;;;;;;;;;;;;x
tzeentchcultist14desc;Do you wish to openly serve Tzeentch, and enact a ritual that will open a portal to the Realm of Chaos? (Be warned: There is no going back from this choice, once made);;;;;;;;;;;;x
tzeentchcultist14A;ALL MUST SERVE THE ARCHITECT OF FATE!;;;;;;;;;;;;x
undividedcultist13desc;To be worthy of the Chaos Gods attentions, the Winds of Chaos must be strong and you must be a be a High-Magus of the Dark Gods. Hold a grand rite or donate to the cult's coffers, and in time, he will bless you with his power and send armies to aid you.;;;;;;;;;;;;x
undividedcultist14desc;Do you wish to openly serve the Chaos Gods, and enact a ritual that will open a portal to the Realm of Chaos? (Be warned: There is no going back from this choice, once made);;;;;;;;;;;;x
undividedcultist14A;THE WORLD SHALL FALL!;;;;;;;;;;;;x
#
#namespace = cultist
#
EVTDESC_CULTIST_1;In your dreams Nurgle, Lord of Death and Decay calls to you... 'The world is falling, it is corrupt, dying... embrace it, my child... embrace your destiny...' you hear a voice calling, and maggots crawl up from the ground, greeting you...;;;;;;;;;;;;;x
EVTOPT_CULTIST_1A;I'll never serve the Ruinous Powers!;;;;;;;;;;;;;x
EVTOPT_CULTIST_1B;I shall be a willing servant of Nurgle, the Plaguefather!;;;;;;;;;;;;;x
EVTDESC_CULTIST_2;In your dreams Slaanesh, Lord of Lust, Greed, Pleasure, and Pain comes to you... 'Pleasure and pain undying, eternal life, eternal beauty...' you hear a voice calling and an almost irresistible daemonette approaches you...;;;;;;;;;;;;;x
EVTOPT_CULTIST_2A;I'll never serve the Ruinous Powers!;;;;;;;;;;;;;x
EVTOPT_CULTIST_2B;I'll become a willing servant of Slaanesh, the Prince of Pleasure!;;;;;;;;;;;;;x
EVTDESC_CULTIST_3;In your dreams Tzeentch, Lord of Change, Architect of Fate comes to you... 'Power, eternal life, dominion over all...' you hear a voice calling you see before you a grand destiny, if only you would serve him...;;;;;;;;;;;;;x
EVTOPT_CULTIST_3A;I'll never serve the Ruinous Powers!;;;;;;;;;;;;;x
EVTOPT_CULTIST_3B;I'll become a willing servant of Tzeentch, the Architect of Fate!;;;;;;;;;;;;;x
EVTDESC_CULTIST_4;In your dreams Khorne, God of Rage, Violence, and Hate comes to you... 'War - war unending, bloodshed eternal, glory undying...' you hear a voice calling you, and a vision of yourself as the greatest warlord of the age appears...;;;;;;;;;;;;;x
EVTOPT_CULTIST_4A;I'll never serve the Ruinous Powers!;;;;;;;;;;;;;x
EVTOPT_CULTIST_4B;I'll become a willing servant of Khorne, the Blood God!;;;;;;;;;;;;;x
EVTDESC_CULTIST_5;In your dreams, daemons of all shapes and forms come to you... They tell you of the true state of the world and of the lies you have been told about the gods. They offer you unimaginable power if you renounce what you know and serve the true gods of the world: Khorne, Nurgle, Tzeentch, & Slaanesh.;;;;;;;;;;;;;x
EVTOPT_CULTIST_5A;I'll never serve the Ruinous Powers!;;;;;;;;;;;;;x
EVTOPT_CULTIST_5B;I'll become a willing servant of the Dark Gods!;;;;;;;;;;;;;x
EVTDESC_CULTIST_6;Now that you serve Nurgle, you must do his bidding in order to advance in his favour and gain new powers from him. You have access to a new cultist decision menu.;;;;;;;;;;;;;x ;
EVTDESC_CULTIST_7;Now that you serve Slaanesh, you must do his bidding in order to advance in his favour and gain new powers from him. You have access to a new cultist decision menu.;;;;;;;;;;;;;x
EVTDESC_CULTIST_8;Now that you serve Tzeentch, you must do his bidding in order to advance in his favour and gain new powers from him. You have access to a new cultist decision menu.;;;;;;;;;;;;;x
EVTDESC_CULTIST_9;Now that you serve Khorne, you must do his bidding in order to advance in his favour and gain new powers from him. You have access to a new cultist decision menu.;;;;;;;;;;;;;x
EVTDESC_CULTIST_10;Now that you serve Chaos Undivided, you must do the bidding of the Dark Gods in order to advance in favour and gain new powers from them. You have access to a new cultist decision menu.;;;;;;;;;;;;;x
#
#
# namespace = cultistplot;;;;;;;;;;;;;;;
