#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
# Last Edit: 11.2.17 -Komioski
##################
# DRUCHII EVENTS #
##################
###Druchii feast;;;;;;;;;;;;;x
EVTDESC_druchifeast_1000;To properly celebrate the feast, you should invite all your vassals. You have your scribe write the letters and send them off.;Afin de célébrer comme il se doit le festin de la saison, vous devriez inviter tous vos vassaux. Vous demandez à votre scribe d'écrire les messages et de les envoyer. Les sacoches des messagers seront décorées de fleurs.;Um das Fest ordentlich zu feiern, solltet Ihr all Eure Vasallen einladen. Ihr lasst Euren Schreiber die Einladungen aufsetzen und verschicken, die Sättel der Boten geschmückt mit Blumen.;;Para celebrar el banquete de temporada, deberías invitar a tus vasallos. Haces que tu escriba redacte las cartas y las envíe, con las bolsas de los mensajeros decoradas con flores.;;;;;;;;;x
EVTOPTA_druchifeast_1000;It will be a grand feast!;Ce sera un magnifique festin !;Das wird ein großartiges Fest!;;¡Será un gran festín!;;;;;;;;;x
EVTTOOLTIP1_druchifeast_1000;Invitations are sent.;Les invitations ont été envoyées.;Einladungen verschickt.;;Enviadas invitaciones.;;;;;;;;;x
EVTDESC_druchifeast_1001;Dear vassal,\nI hereby invite you to attend my celebration of the feast of Diwali.\n\nYour Liege,\n[From.GetFullName];Cher vassal,\nJe vous convie par la présente à participer au festin de Diwali.\n\nVotre seigneur,\n[From.GetFullName];Lieber Vasall,\nhiermit lade ich Euch ein, meiner Feier zum Diwali beizuwohnen. \n\nEuer Lehnsherr,\n[From.GetFullName];;Querido vasallo:\nPor la presente os invito a acudir a mi celebración del banquete de Diwali.\n\nVuestro señor,\n[From.GetFullName];;;;;;;;;x
EVTOPTA_druchifeast_1001;Of course I shall attend!;J'accepte, bien évidemment !;Natürlich werde ich kommen!;;¡Por supuesto que acudiré!;;;;;;;;;x
EVTOPTB_druchifeast_1001;I don't have the time.;Je n'ai pas le temps.;Ich habe keine Zeit.;;No tengo tiempo.;;;;;;;;;x
EVTDESC_druchifeast_1940;Dear vassal,\nI hereby invite you to attend my celebration of the feast in honor of Khaine.\n\nYour Liege,\n[From.GetFullName];Cher vassal,\nJe vous convie par la présente à participer au festin de Kali Puja.\n\nVotre seigneur,\n[From.GetFullName];Lieber Vasall,\nhiermit lade ich Euch ein, meiner Feier zum Kali Puja beizuwohnen. \n\nEuer Lehnsherr,\n[From.GetFullName];;Querido vasallo:\nPor la presente os invito a acudir a mi celebración del banquete de Kali Puja.\n\nVuestro señor,\n[From.GetFullName];;;;;;;;;x
EVTOPTA_druchifeast_1940;Of course I shall attend!;J'accepte, bien évidemment !;Natürlich werde ich kommen!;;¡Por supuesto que acudiré!;;;;;;;;;x
EVTOPTB_druchifeast_1940;I don't have the time.;Je n'ai pas le temps.;Ich habe keine Zeit.;;No tengo tiempo.;;;;;;;;;x
EVTDESC_druchifeast_1002;Your vassal, [From.GetFullName], has refused your invitation to the feast.;Votre vassal [From.GetFullName] a refusé votre invitation au festin.;Euer Vasall [From.GetFullName] hat Eure Einladung zum Fest abgelehnt.;;Tu vasallo, [From.GetFullName], ha rechazado la invitación al banquete.;;;;;;;;;x
EVTOPTA_druchifeast_1002;I shall remember this...;Je m'en souviendrai...;Das werde ich mir merken…;;Recordaré esto...;;;;;;;;;x
EVTDESC_druchifeast_1005;In Druchii feasts, tradition dictates that you offer a slave, as a gift to your spouse. You should plan for this and buy something before the feast begins.;En Inde, lors des festins de l'automne, la tradition dit que vous devez offrir un cadeau à votre douce moitié. Faites preuve de prévoyance, achetez quelque chose avant le début du festin.;Die Tradition verlangt, dass Ihr zum Herbstfest Eurem Ehepartner ein Geschenk macht. Ihr solltet dies planen und etwas kaufen, bevor das Fest beginnt.;;En el banquete Indio de otoño, es tradición que ofrezcas un regalo a tu esposa. Deberías planificarte y comprar algo antes de que comience el banquete.;;;;;;;;;x
EVTOPTA_druchifeast_1005;A beautiful Asur slave!;Un collier précieux, ce sera parfait !;Ein juwelenverziertes Halsband wäre perfekt.;;¡Un collar de joyas sería perfecto!;;;;;;;;;x
EVTOPTB_druchifeast_1005;Maybe a human wretch will do.;Une petite boîte contenant du parfum, ce sera bien assez.;Vielleicht ein wenig Parfum.;;Tal vez un pequeño perfume o algo así.;;;;;;;;;x
EVTOPTC_druchifeast_1005;She can do without anymore slaves.;Elle vivra bien sans cadeaux.;Sie kann auch ohne auskommen.;;Puede pasar sin regalos.;;;;;;;;;x
EVTOPTD_druchifeast_1005;I will spend money on my lover instead...;Je préfère dépenser cet argent pour ma maîtresse...;Ich werde stattdessen meiner Geliebten Geld schenken.;;Mejor gastaré el dinero en mi amante...;;;;;;;;;x
EVTOPTE_druchifeast_1005;A sturdy Dwarf specimen!;Un magnifique cheval lui ferait plaisir !;Ein großartiges Pferd wird ihm gefallen.;;¡Un magnífico caballo le gustará!;;;;;;;;;x
EVTOPTF_druchifeast_1005;Maybe a human wretch will do.;Une belle cape, ce sera bien assez.;Ein schöner Mantel wird genug sein.;;Una bonita capa o algo así bastará.;;;;;;;;;x
EVTOPTG_druchifeast_1005;He can do without anymore slaves.;Il vivra bien sans cadeaux.;Er kann auch ohne Geschenke auskommen.;;Puede pasar sin regalos.;;;;;;;;;x
EVTOPTH_druchifeast_1005;I will spend money on my lover instead...;Je préfère dépenser cet argent pour mon amant...;Ich werde stattdessen meinem Geliebten Geld schenken.;;Mejor gastaré el dinero en mi amante...;;;;;;;;;x
EVTDESC_druchifeast_1006;In accordance with tradition, you may offer a slave, as a gift to your lover during the Druchii feast.;En accord avec la tradition, vous pouvez offrir un cadeau à votre amant ou à votre maîtresse lors du festin de l'automne.;Traditionsgemäß könnt Ihr Eurer Liebschaft ein Geschenk zum Herbstfest machen.;;De acuerdo con la tradición, puedes ofrecer un regalo a tu amante durante el festín de otoño.;;;;;;;;;x
EVTOPTA_druchifeast_1006;A beautiful Asur slave!;Je vais lui acheter des bijoux très chers.;Ich kaufe Ihr teure Juwelen.;;Le compraré una joya cara.;;;;;;;;;x
EVTOPTB_druchifeast_1006;Maybe a human wretch will do.;Une petite boîte contenant du parfum, ce sera bien assez.;Eine wenig Parfum wird ausreichen.;;Una pequeña caja de perfume bastará.;;;;;;;;;x
EVTOPTC_druchifeast_1006;She can do without anymore slaves.;Elle vivra bien sans cadeaux.;Sie kann ohne Geschenke auskommen.;;Puede pasar sin regalos.;;;;;;;;;x
EVTOPTD_druchifeast_1006;A sturdy Dwarf specimen!;Je vais lui acheter un magnifique cheval !;Ich kaufe ihm ein großartiges Pferd!;;¡Le compraré un magnífico caballo!;;;;;;;;;x
EVTOPTE_druchifeast_1006;Maybe a human wretch will do.;Cette belle cape sera bien assez.;Dieser schöne Mantel sollte in Ordnung sein.;;Esta bonita capa bastará.;;;;;;;;;x
EVTOPTF_druchifeast_1006;He can do without anymore slaves.;Il vivra bien sans cadeaux.;Er kann auch ohne Geschenke auskommen.;;Puede pasar sin regalos.;;;;;;;;;x
EVTDESC_druchifeast_1007;At the feast, it's time for the traditional ceremony of gifts...;Au festin, c'est le moment de la cérémonie traditionnelle des cadeaux...;Auf dem Fest wird es Zeit für die Geschenke…;;En el banquete, llega la hora de la tradicional ceremonia de regalos...;;;;;;;;;x
EVTOPTA_druchifeast_1007;My wife is overjoyed with the magnificent gift!;Ma femme déborde de joie à la vue de son magnifique cadeau !;Meine Frau ist überglücklich mit ihrem Geschenk.;;¡Mi mujer está entusiasmada con el magnífico regalo!;;;;;;;;;x
EVTOPTB_druchifeast_1007;My wife is pleased with her gift.;Ma femme est heureuse de son cadeau.;Meine Frau freut sich über ihr Geschenk.;;A mi mujer le complace su regalo.;;;;;;;;;x
EVTOPTC_druchifeast_1007;My wife is upset because I didn't get her anything.;Ma femme n'a eu aucun cadeau, elle est très mécontente.;Meine Frau ist ungehalten, da sie nichts bekam.;;Mi mujer está enfadada porque no le traje nada.;;;;;;;;;x
EVTOPTD_druchifeast_1007;My lover is overjoyed with her gift! My wife is not happy, though...;Ma maîtresse déborde de joie à la vue de son cadeau ! Mon épouse, en revanche...;Meine Liebschaft ist überglücklich mit ihrem Geschenk! Meine Frau dagegen weniger…;;¡Mi amante está entusiasmada con su regalo! Pero mi mujer no está muy contenta...;;;;;;;;;x
EVTOPTE_druchifeast_1007;My lover is overjoyed with her gift!;Ma maîtresse déborde de joie à la vue de son cadeau !;Meine Liebschaft ist überglücklich mit ihrem Geschenk!;;¡Mi amante está entusiasmada con su regalo!;;;;;;;;;x
EVTOPTF_druchifeast_1007;My lover is pleased with her gift. My wife is not happy, though...;Ma maîtresse est heureuse de son cadeau. Mon épouse, en revanche...;Meine Liebschaft freut sich über ihr Geschenk. Meine Frau dagegen weniger…;;A mi amante le complace su regalo. Pero mi mujer no está muy contenta...;;;;;;;;;x
EVTOPTG_druchifeast_1007;My lover is pleased with her gift.;Ma maîtresse est heureuse de son cadeau.;Meine Liebschaft freut sich über ihr Geschenk.;;A mi amante le complace su regalo.;;;;;;;;;x
EVTOPTH_druchifeast_1007;My lover is disappointed because I didn't get her anything.;Ma maîtresse est déçue, je ne lui ai rien offert.;Meine Liebschaft ist ungehalten, da ich für sie nichts habe.;;Mi amante está decepcionada porque no le traje nada.;;;;;;;;;x
EVTOPTI_druchifeast_1007;My husband is overjoyed with the magnificent gift!;Mon mari déborde de joie à la vue de son magnifique cadeau !;Meine Ehemann ist überglücklich mit seinem Geschenk.;;¡Mi marido está entusiasmado con el magnífico regalo!;;;;;;;;;x
EVTOPTJ_druchifeast_1007;My husband is pleased with his gift.;Mon mari est heureux de son cadeau.;Mein Ehemann freut sich über das Geschenk.;;A mi marido le complace su regalo.;;;;;;;;;x
EVTOPTK_druchifeast_1007;My husband is upset because I didn't get him anything.;Mon mari n'a eu aucun cadeau, il est très mécontent.;Mein Ehemann ist ungehalten, da er nichts bekam.;;Mi marido está molesto porque no le traje nada.;;;;;;;;;x
EVTOPTL_druchifeast_1007;My lover is overjoyed with his gift! But my husband isn't happy...;Mon amant déborde de joie à la vue de son cadeau ! Mon mari, en revanche...;Mein Liebhaber ist überglücklich mit seinem Geschenk. Meine Ehemann weniger…;;¡Mi amante está entusiasmado con su regalo! Pero mi marido no está contento...;;;;;;;;;x
EVTOPTM_druchifeast_1007;My lover is overjoyed with his gift!;Mon amant déborde de joie à la vue de son cadeau !;Mein Liebhaber ist überglücklich mit seinem Geschenk. ;;¡Mi amante está entusiasmado con su regalo!;;;;;;;;;x
EVTOPTN_druchifeast_1007;My lover is pleased with his gift. But my husband isn't happy...;Mon amant est heureux de son cadeau. Mon mari, en revanche...;Mein Liebhaber freut sich über sein Geschenk. Mein Ehemann dagegen weniger…;;A mi amante le complace su regalo. ¡Mi amante está entusiasmado con su regalo! Pero mi marido no está contento...;;;;;;;;;x
EVTOPTO_druchifeast_1007;My lover is pleased with his gift.;Mon amant est heureux de son cadeau.;Mein Liebhaber freut sich über SeinGeschenk. ;;A mi amante le complace su regalo.;;;;;;;;;x
EVTOPTP_druchifeast_1007;My lover is disappointed because I didn't get him anything.;Mon amant est déçu, je ne lui ai rien offert.;Mein Liebhaber ist ungehalten, da ich ihm nichts besorgt habe.;;Mi amante está decepcionado porque no le traje nada.;;;;;;;;;x
EVTDESC_druchifeast_1020;All the guests have arrived, there is a bustle of Druchii, all eager and full of festive spirit. It's time for the feast to begin!;Le château est décoré de fleurs, de tentures, de tapis et de rubans de toutes les couleurs. Tous les invités sont là. Quelle belle foule de gens joyeux et remplis d'un esprit festif ! C'est l'heure, que le festin commence !;Die Burg ist mit Blumen und bunten Tapeten, Teppichen und Schleifen geschmückt. Alle Gäste sind angekommen, ein wahres Gewühl von Menschen voller Freude und Festgeist. Es ist Zeit, die Feier beginnen zu lassen!;;El castillo está decorado con flores, coloridos tapetes, alfombras y lazos. Los invitados han llegado, hay bullicio de gente impaciente y con espíritu festivo. ¡Es hora de que comience el banquete!;;;;;;;;;x
EVTOPTA_druchifeast_1020;Welcome, all!;Soyez tous les bienvenus !;Seid Willkommen!;;¡Bienvenidos todos!;;;;;;;;;x
EVTDESC_druchifeast_1996;The feast is over, but it was a fantastic feast. As the guests make their way home you sit down and smile to yourself, pleased at how things turned out.;Le festin est terminé. C'était fabuleux ! Alors que les invités rentrent chez eux, vous vous asseyez, un sourire aux lèvres. Les choses se sont très bien déroulées.;Die Feier ist vorbei, es war ein fantastisches Fest. Als die Gäste aufbrechen, ruht Ihr Euch aus und lächelt, zufrieden mit dem Ausgang.;;El banquete ha terminado, pero fue fantástico. Mientras los invitados se marchan te sientas y te sonríes a ti mismo complacido de cómo han ido las cosas.;;;;;;;;;x
EVTOPTA_druchifeast_1996;I should do this again next year!;Je ferai la même chose l'année prochaine !;Ich sollte das nächstes Jahr erneut machen!;;¡Debería repetirlo el año que viene!;;;;;;;;;x
EVTDESC_druchifeast_1997;The feast is over, but it didn't quite turn out as you had hoped. As the guests make their way home, you sit down and ponder what went wrong.;Le festin est terminé, mais tout ne s'est pas déroulé comme prévu. Alors que les invités rentrent chez eux, vous passez en revue les incidents qui se sont produits.;Die Feier ist vorbei, doch lief es nicht ganz wie gehofft. Als die Gäste aufbrechen, ruht Ihr Euch aus und grübelt, was wohl schief ging.;;El banquete ha terminado, pero no ha salido como esperabas. Mientras los invitados se marchan te sientas y te preguntas qué ha salido mal.;;;;;;;;;x
EVTOPTA_druchifeast_1997;Maybe next time it will be better.;La prochaine fois sera peut-être meilleure.;Vielleicht wird es nächstes Jahr besser.;;Puede que la próxima vez vaya mejor.;;;;;;;;;x
EVTDESC_druchifeast_1998;The feast is over, but it was a fantastic feast. As you make your way home, you think that you'd probably come back next year again if invited.;Le festin est terminé. C'était fabuleux ! Alors que vous reprenez le chemin de la maison, vous pensez qu'en cas d'invitation l'année prochaine, vous accepterez probablement.;Die Feier ist vorbei, es war ein fantastisches Fest. Als Ihr nach Hause aufbrecht, hofft Ihr, nächstes Jahr wiederkommen zu dürfen.;;El banquete ha terminado, pero fue fantástico. Mientras regresas a casa, piensas que probablemente volverás el año que viene si te invitan.;;;;;;;;;x
EVTOPTA_druchifeast_1998;I had a great time!;J'ai passé un excellent moment !;Es war eine großartige Zeit!;;¡Lo pasé muy bien!;;;;;;;;;x
EVTDESC_druchifeast_1999;The feast is over, but certain unfortunate events prevented you from enjoying it fully. As you make your way home, you ponder the ups and downs of life.;Le festin est terminé mais des évènements malheureux vous ont empêché d'en profiter pleinement. Alors que vous rentrez chez vous, vous méditez sur les hauts et les bas de l'existence.;Die Feier ist vorbei, doch einige unschöne Ereignisse verdarben die Stimmung. Als Ihr nach Hause aufbrecht, grübelt Ihr über die Höhen und Tiefen des Lebens. ;;El banquete ha terminado, pero ciertos acontecimientos desafortunados han impedido que lo disfrutes plenamente. Mientras te diriges a casa reflexionas sobre los altibajos de la vida.;;;;;;;;;x
EVTOPTA_druchifeast_1999;Oh well.;C'est la vie...;Nun gut…;;En fin.;;;;;;;;;x
EVTDESC_druchifeast_1050;A beast master is entertaining the guests at the feast. He cracks his whip and gives commands to a fearsome Manticore. The audience is held captivated by his skills as he seemingly controls the Manticore with his whip and his will.;Un charmeur de serpents offre un spectacle aux invités. Il joue de la flûte et chante une étrange mélopée à l'attention des serpents venimeux qu'il a apportés dans un panier. L'audience est captivée par son talent : il semble contrôler les serpents par le son de sa voix et par sa musique.;Ein Schlangenbeschwörer unterhält die Gäste auf dem Fest. Er spielt seine Flöte und singt mit seltsamen Klängen zu einigen Giftschlangen, welche er in einem Korb mitbrachte. Die Zuhörer sind ganz eingenommen von seinen Fähigkeiten, da er scheinbar die Schlangen allein mit seiner Stimme und Musik kontrolliert.;;Un encantador de serpientes entretiene a los invitados del banquete. Toca la flauta y canta en extraños tonos a varias serpientes venenosas que ha traído en una cesta. La audiencia está atónita con sus habilidades pues parece controlar las serpientes con su voz y con su música.;;;;;;;;;x
EVTOPTA_druchifeast_1050;Fascinating!;C'est fascinant !;Faszinierend.;;¡Fascinante!;;;;;;;;;x
EVTDESC_druchifeast_1051;There is a silence among the revellers as the beats master works his magic on the Manticore. But suddenly you hear a high shriek, and the beast master looks confused - it seems the towering Manticore has been enraged and is rampaging towards the guests!;Les convives observent en silence le charmeur de serpents faire ses tours. Mais un cri perçant déchire l'air et le charmeur de serpents affiche une expression troublée. Il semble qu'un grand cobra ait pris quelques libertés, et le voilà qui traverse la salle en direction des invités !;Die Feiernden schweigen, während der Schlangenbeschwörer seine Magie wirkt. Doch plötzlich hört Ihr einen lauten Schrei und der Beschwörer wirkt verwirrt - es scheint, dass eine große Kobra ausgebrochen ist und auf die Gäste zuschlängelt.;;Hay un silencio entre los asistentes cuando el encantador de serpientes realiza su magia con las serpientes. Pero de repente escuchas un alarido, el encantador de serpientes parece confuso - ¡una gran cobra está libre y rectando por el suelo hacia los invitados!;;;;;;;;;x
EVTOPTA_druchifeast_1051;Oh no!;Oh non !;Oh nein!;;¡Oh, no!;;;;;;;;;x
EVTDESC_druchifeast_1052;The whole feast hall is in panic as the gigantic Manticore roars, destroying furniture and killing slaves. Finally the beast opens its wings and flies off into the sky, plunging a hole in your ceiling and scaring one of your vassals half to death!;Le cobra en liberté disparaît sous la table. Après quelques moments de silence, un cri perçant retentit. Le cobra s'est glissé sur les genoux d'un invité, qui manque de mourir de peur ! Le serpent disparaît ensuite rapidement par une fenêtre ouverte.;Die entkommene Kobra verschwindet unter dem Tisch. Einige Momente ist alles still, dann ertönt ein lauter Schrei. Die Kobra ist in den Schoß eines Gastes gekrochen und hat ihn zu Tode erschreckt. Dann verschwindet die Schlange schnell durch ein Fenster.;;La cobra fugada desaparece bajo la mesa. Hay unos momentos de silencio, y después un agudo chillido. ¡La cobra se ha arrastrado hasta el regazo de uno de los invitados, dándole un susto de muerte! La serpiente desaparece por una ventana abierta.;;;;;;;;;x
EVTOPTA_druchifeast_1052;We're not hiring this beast master  again.;Nous n'embaucherons plus ce charmeur de serpents.;Dieser Schlangenbeschwörer wird nicht wieder auftreten!;;No volveremos a contratar al encantador de serpientes.;;;;;;;;;x
EVTDESC_druchifeast_1053;The beast master is entertaining the guests at the feast with his Manticore. He cracks his whip and gives commands to the gigantic beast. Then, suddenly the beast goes out of his control and lunges towards you...;Un charmeur de serpents offre un spectacle aux invités. Il joue de la flûte et chante une étrange mélopée à l'attention des serpents venimeux qu'il a apportés dans un panier. Soudain, vous sentez quelque chose de fdruchifeastd et de glissant ramper sur vos genoux...;Ein Schlangenbeschwörer unterhält die Gäste auf dem Fest. Er spielt seine Flöte und singt mit seltsamen Klängen zu einigen Giftschlangen, welche er in einem Korb mitbrachte. Plötzlich fühlt Ihr etwas kaltes und schlüpfriges in Eurem Schoß…;;Un encantador de serpientes entretiene a los invitados del banquete. Toca la flauta y canta en extraños tonos a varias serpientes venenosas que ha traído en una cesta. Entonces, de repente sientes algo frío reptando en tu regazo...;;;;;;;;;x
EVTOPTA_druchifeast_1053;Aaargh! SAVE ME!!;Aaargh ! Un cobra !!;Aaaaah! Eine Kobra!;;¡Aaargh! ¡¡Una cobra!!;;;;;;;;;x
EVTDESC_druchifeast_1054;The whole feast hall is in panic as the gigantic Manticore roars, destroying furniture and killing slaves, when it suddenly lunges towards one of your guests and mangles them! Finally the beast opens its wings and flies off into the sky, plunging a hole in your ceiling, its victim reduced to a red pulp.;Le cobra en liberté disparaît sous la table. Quelques instants de silence, puis un cri de terreur. Un des invités est en pdruchifeaste à de violentes convulsions. Les invités le fixent, figés de peur alors qu'ils comprennent que le serpent vient de mordre l'un des leurs. Alors que le serpent disparaît par une fenêtre ouverte, la victime cesse de trembler et s'effondre, sans vie.;Die entkommene Kobra verschwindet unter dem Tisch. Einige Momente ist alles still, dann ertönt ein furchtbarer Schrei. Einer der Gäste zuckt unter Krämpfen, die Gäste daneben starren schockiert, als sie merken, dass die Schlange ihren Nachbar gebissen hat. Als die Schlange durch ein offenes Fenster entkommt, liegt das Opfer ruhig da... tot!;;La cobra fugada desaparece bajo la mesa. Hay unos momentos de silencio, y después un chillido de terror. Uno de los invitados se estremece en violentas convulsiones, con la gente petrificada mirando en cuanto se percatan de que la cobra ha mordido al vecino. Mientras la serpiente desaparece por una ventana abierta, la víctima deja de agitarse y yace muerta.;;;;;;;;;x
EVTOPTA_druchifeast_1054;Woe!;Malheur !;Oh weh!;;¡Lástima!;;;;;;;;;x
EVTDESC_druchifeast_1055;The whole feast hall is in panic as the gigantic Manticore roars, destroying furniture and killing slaves. The guests are in complete disarray, except for one of them who quickly draws his sword and leaps into the creature's back, climbing to its head and driving the weapon through it.;Le cobra en liberté glisse sur le sol. Les invités à la table sont comme paralysés, excepté l'un d'eux qui tire rapidement son épée et s'avance, tranchant l'animal en deux d'un coup vif.;Die entkommene Schlange kriecht über den Boden. Die Gäste am Tisch wirken paralysiert, außer einer Person, welche schnell ihr Schwert zieht und mit gezieltem Schlag das Tier erschlägt.;;La cobra fugada se arrastra por el suelo. Los invitados de la mesa parecen paralizados, excepto una persona que rápidamente saca su espada y da un paso al frente, cortando al animal a la mitad rápidamente.;;;;;;;;;x
EVTOPTA_druchifeast_1055;Well done!;Bravo !;Gut gemacht!;;¡Bien hecho!;;;;;;;;;x
EVTDESC_druchifeast_1056;The beast master is entertaining the guests at the feast with his Manticore. He cracks his whip and gives commands to the gigantic beast. Then, suddenly the beast goes out of his control! You quickly draw your sword and climb up to the gigantic beast's head, driving your weapon through it.;Un charmeur de serpents donne un spectacle pour les invités au festin quand soudain un cobra s'échappe ! Vous tirez rapidement votre épée et vous avancez vers la bête, que vous tranchez en deux d'un coup vif.;Ein Schlangenbeschwörer unterhält die Gäste des Festes, als plötzlich eine Kobra entkommt. Schnell zieht Ihr Euer Schwert, tretet vor und hackt mit flinkem Schlag das Tier in zwei Teile.;;Un encantador de serpientes entretiene a los invitados del banquete, ¡hasta que la cobra escapa! Rápidamente, sacas tu espada y das un paso al frente, contando al animal a la mitad.;;;;;;;;;x
EVTOPTA_druchifeast_1056;Don't try this at home, folks.;N'essayez pas ça à la maison !;Macht das ja nicht zu Hause nach!;;No intentéis esto en casa, chicos.;;;;;;;;;x
EVTTITLE_druchifeast_1051;The Mage;Le mage;Der Magier;;El Mago;;;;;;;;;x
