#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
# Last Edit: 11.2.17 -Komioski
#################
# EMPIRE EVENTS #
#################
unification0desc;The Empire is fragmented, but you are both renowned and pious enough that both the nobles and clergy might flock to you. Do you wish to publicize your claim to the throne?;;;;;;;;;;;;x
unification0A;Yes, immediately!;;;;;;;;;;;;x
unification0B;No, not yet...;;;;;;;;;;;;x
unification1desc;Word quickly spreads - has a child of the Empire finally become a worthy heir to Sigmar? From early reports, the peasants and clergy are supporting your claim, now you must await word from the Elector Counts and other lords...;;;;;;;;;;;;x
unification2desc;This person, loved and respected by both the peasants and clergy, has made a push for end of division and for the Empire to unite around their person. Do you support their claim?;;;;;;;;;;;;x
unification2A;Yes, let the division end.;;;;;;;;;;;;x
unification2B;No, I'll never bend the knee to this usurper!;;;;;;;;;;;;x
unification3desc;You have sworn to serve the new Emperor, and therefore, your contender title must be destroyed.;;;;;;;;;;;;x
unification4desc;My liege - I ask you to forgive my part in the recent troubles, and pray that a new era of unity and glory awaits us under your wise leadership.;;;;;;;;;;;;x
unification4A;Well said. Let all old divisions be settled.;;;;;;;;;;;;x
unification5desc;You have announced your rejection of this false new Emperor, but some of your vassals are not pleased...;;;;;;;;;;;;x
unification5A;Bah, let them grumble!;;;;;;;;;;;;x
unification6desc;I would rather see the Empire fall into ruin than bend the knee to you! I shall see you on the battlefield, foul usurper.;;;;;;;;;;;;x
unification6A;Traitor!;;;;;;;;;;;;x
WarPriest.01;Chance Encounter;;;;;;;;;x
WarPriest.01_desc;While riding through the woods you encounter a man, badly injured, resting against a tree. From his clothes you can tell that here is a Warrior Priest of Sigmar.;;;;;;;;;x
WarPriest.01.a;He needs help!;;;;;;;;;x
WarPriest.01.b;I am busy.;;;;;;;;;x
WarPriest.01.c;I always wanted a pet priest...;;;;;;;;;x
WarPriest.01.d;Send some men with him and pay for a doctor.;;;;;;;;;x
WarPriest.02;You have Fallen!;;;;;;;;;x
WarPriest.02_desc;One evening in your chambers you hear someone opening your door. Your friend enters but something is amiss. He is wearing all his battle gear but before you can ask what is going on he is coming at you with his hammer!;;;;;;;;;x
WarPriest.02.a;As you wish.;;;;;;;;;x
WarPriest.02.b;Guards! Guards?! HELP!!!;;;;;;;;;x
WarPriest.02.c;Time to go!;;;;;;;;;x
WarPriest.kindness;A Kindness Rewarded;;;;;;;;;x
WarPriest.kindness_desc;The Warrior Priest you met in the woods has come before and offers you his gratitude and service so that he may repay your kindness.;;;;;;;;;x
WarPriest.kindness.a;You are welcome.;;;;;;;;;x
WarPriest.betrayed;Betrayed!;;;;;;;;;x
WarPriest.betrayed_desc;Your former friend has turned on you along with the rest of the castle and you are forced to flee from his wrath.;;;;;;;;;x
WarPriest.betrayed.a;I must flee!;;;;;;;;;x
join_civic_war;Join War;;;;;;;;;x
join_civic_war_desc;One of the pretenders have declared war on this character citing their rightful claim to the Empire! It is time we join the fray and teach that insolent cur who the REAL lord of the Empire is!;;;;;;;;;x
civicwar.01;Reinforcements!;;;;;;;;;x
civicwar.01_desc;Another of the pretenders have joined the war on your side hoping to halt the aggressors ambition!;;;;;;;;;x
civicwar.01.a;We are allies. For now..;;;;;;;;;x
TITstirabsorbs.02;Annexation;;;;;;;;;x
EVTDESCstirabsorbs.02;Following the Vampire Wars, the vampiric usurpers have at last been driven from the Empire of Sigmar. The Elector-Count of Stirland has claimed Sylvania as part of their domains and since no one else is foolish enough to want the cursed land, there has been no opposition.;;;;;;;;;x
title_reiksmarshal;Reiksmarshal;;;;;;;;;x
title_reiksmarshal_desc;This is the title granted to the commanders of the armed forces of the Empire. As such [From.GetSheHe] holds power second only to the Emperor.;;;;;;;;;x
title_champion;Champion;;;;;;;;;x
title_champion_desc;This is the chosen champion of the Empire, mostly an honorary title, yet it holds a certain prestige.;;;;;;;;;x,
EVTweaponry.1;Grudge Settler;;;;;;;;;x
EVTDESCweaponry.1;You have been chosen as the Reiksmarshal of the Empire by your liege. It is a great honor and the sword that comes with it is legendary.;;;;;;;;;x
EVTweaponry.2;Beast Slayer;;;;;;;;;x
EVTDESCweaponry.2;The ruler of the Empire has decided to name you [From.GetHerHis] personal champion, truly a great honor!;;;;;;;;;x,
EVTweaponry.3;For the Empire!;;;;;;;;;x
EVTDESCweaponry.3;You are a Sigmarite [This.GetTitle] and therefore the Cult of Sigmar has relinquished the legendary warhammer of Sigmar Heldenhammer so that you can wield it into battle.;;;;;;;;;x
EVTOPTAweaponry.1;Death to the enemies of the Empire!;;;;;;;;;x
EVTOPTAweaponry.2;This is the most glorious day in my life!;;;;;;;;;x
EVTOPTAweaponry.3:For Sigmar!;;;;;;;;;x
warrior_priest;Warrior Priest;;;;;;;;;x
warrior_priest_desc;This man is a Warrior Priest of Sigmar.;;;;;;;;;x
reiksguard.02;Reiksguard;;;;;;;;;x
EVTDESC_reiksguard.02;Your [GetFromRelation] has come before you, requesting to join the Reiksguard. Allowing this would surely bring prestige to your house, but you will have to pay for proper weapons, armour, a mount, heraldry, a retinue...;;;;;;;;;x,
EVTOPTA_reiksguard.02;Bah, [From.GetSheHe] would probably just embarass me.;;;;;;;;;x
EVTOPTB_reiksguard.02;Go and make me proud, [GetFromRelation].;;;;;;;;;x,
reiksguard.05;Homecoming;;;;;;;;;x
EVTDESC_reiksguard.05;Your [GetFromRelation] has served for some time in the Reiksguard and now returns home but [From.GetHerHis] scars show proof that it has been a hard life.;;;;;;;;;x
EVTOPTA_reiksguard.05;Welcome back!;;;;;;;;;x
reiksguard.07;Homecoming;;;;;;;;;x
EVTDESC_reiksguard.07;Your [GetFromRelation] has returned after serving with the Reiksguard but something has changed. [From.GetSheHeCap] no longer seems interested in the usual individuals they meet in the court.;;;;;;;;;x
EVTOPTA_reiksguard.07;Hmm...;;;;;;;;;x
reiksguard.09;Homecoming;;;;;;;;;x
EVTDESC_reiksguard.09;A group of riders approached your gate this morning telling a gruesome tale. During a skirmish with greenskins your [GetFromRelation] was captured and when they mounted a rescue the next day they found [From.GetHerHim] crippled. Apparently the boss wanted to leave a message.;;;;;;;;;x
EVTOPTA_reiksguard.09;Savages!;;;;;;;;;x
reiksguard.11;Homecoming;;;;;;;;;x
EVTDESC_reiksguard.11;Your [GetFromRelation] has come home from the Reiksguard unscathed, truly a rarity. The respect of [From.GetHerHis] soldiers escorting [From.GetHerHim] back are clear for all to see, your [GetFromRelation] has become a true leader.;;;;;;;;;x
EVTOPTA_reiksguard.11;I knew you would make me proud!;;;;;;;;;x
reiksguard.13;Homecoming;;;;;;;;;x
EVTDESC_reiksguard.13;After leaving the Reiksguard due to an incident involving booze, a rope and a stallion your [GetFromRelation] has returned a troubled [From.GetManWoman], often waking screaming in the night.;;;;;;;;;x
EVTOPTA_reiksguard.13;Oh my...;;;;;;;;;x
reiksguard.15;Homecoming;;;;;;;;;x
EVTDESC_reiksguard.15;Your [GetFromRelation] has returned a seasoned warrior, the tales of [From.GetHerHis] bravery are many.;;;;;;;;;x,
EVTOPTA_reiksguard.15;Hah! That's my [From.GetBoyGirl]!;;;;;;;;;x
reiksguard.17;Death;;;;;;;;;x
EVTDESC_reiksguard.17;A messenger arrived this evening carrying grave news. Your [GetFromRelation] has gotten [From.GetHerHim]self killed during a recent battle.;;;;;;;;;x
EVTOPTA_reiksguard.17;I knew I never should have allowed [From.GetHerHim] to leave.;;;;;;;;;x
