#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
# Last Edit: 11.2.17 -Komioski
##################
# LAHMIAN EVENTS #
##################
lahmia0desc;You are the Queen of the Lahmians. Your ancient kingdom of Lahmia in Nehekhara was taken from you, but its glories of old can still be restored. Using stealth, cunning, and seduction you can mould the world of men to serve your purposes. Send your daughters into the world, have them infiltrate the corridors of power, and when the time is right - have your mortal puppets dance to the tune that you play for them. Seduce the weak mortals to become your slaves and then one day you shall lead a great army to retake Lahmia and you shall live forever as its queen, with nothing in the world being denied to you.;;;;;;;;;;;;x
lahmia0A;So let it be written, so let it be done!;;;;;;;;;;;;x
lahmia1desc;You have decided to seduce this target personally. He will have no choice but to ultimately become your slave, and do all that you require of him...;;;;;;;;;;;;x
lahmia1A;I'll need to pack... slaves! Ready my baggage-train!;;;;;;;;;;;;x
lahmia5desc;You have chosen this man to focus your efforts on. You will have to send one of your dynasty to accomplish the task, only they are skilled enough to even attempt to seduce a powerful man like this. (Note: Wait a week between each assignment);;;;;;;;;;;;x
lahmia5A;I will send this one;;;;;;;;;;;;x
lahmia5B;I will send an elite member of the Sisterhood;;;;;;;;;;;;x
lahmia6desc;Your mother has instructed you to seduce a target, and bend him to the will of the Sisterhood. You must leave immediately.;;;;;;;;;;;;x
lahmia6A;I shall pack my best outfits, perfumes, and jewels immediately, my Queen.;;;;;;;;;;;;x
lahmia8desc;You are in the lands of your target. Now... what shall we do...;;;;;;;;;;;;x ;
lahmia8A;I will play the damsel in distress...;;;;;;;;;;;;x ;
lahmia8B;I will host a lavish ball, as the rich new heiress in town;;;;;;;;;;;;x
lahmia8C;With his wife dead, he will need some comforting...;;;;;;;;;;;;x
lahmia8D;I will host a lavish ball, as the rich new heiress in town;;;;;;;;;;;;x
lahmia9desc;Your daughter sends word - she has reached her destination safely, and will begin infiltrating the court as ordered and bend its ruler to your will.;;;;;;;;;;;;x ;
lahmia9A;Mmm... good.;;;;;;;;;;;;x
lahmia10desc;One morning while falconing, you hear a lady scream in the distance. She sounds like she is in serious trouble! You look around, and your companions are nowhere to be seen. What do you do?;;;;;;;;;;;;x
lahmia10A;I shall rescue the lady!;;;;;;;;;;;;x
lahmia10B;If she's in trouble, I could be in danger. Ride for home at once!;;;;;;;;;;;;x
lahmia11desc;You hear your target is going falconing, and have had your handmaidens ensure that his companions would be... distracted. Once you see him alone in the distance, you give the signal, and three hired ruffians pretend to attack you as you let out an ear-piercing scream of terror! Just as expected, your target comes riding full force with his sword drawn just when the ruffians throw you to the ground. Seeing him, they scatter in all directions, and he jumps off his horse, asking if you are unhurt.;;;;;;;;;;;;x
lahmia11A;Oh, my brave lord! You saved my life!;;;;;;;;;;;;x
lahmia12desc;You hear your target is going falconing, and have had your handmaidens ensure that his companions would be... distracted. Once you see him alone in the distance, you give the signal, and three hired ruffians pretend to attack you as you let out an ear-piercing scream of terror! You see your intended staring, hesitating, even as the ruffians throw you to the ground and act like they are about to take you. Then the coward turns and rides away at full speed! Useless, weak, and thrice-cursed mortal fool!;;;;;;;;;;;;x
lahmia12A;*hiss* I'll need time to come up with a new plan...;;;;;;;;;;;;x
lahmia13desc;As you rush towards them with your sword drawn, the ruffians quickly scatter. The lady is beautiful, and judging from her torn clothes and jewels, very rich. She thanks you profusely, and you escort her back to the city. Upon arrival she takes her leave, but promises that she will repay you for your gallantry.;;;;;;;;;;;;x
lahmia13A;What a stunning beauty. I'm a hero for saving her!;;;;;;;;;;;;x
BANQUET;A Great Ball;;;;;;;;;;;;x
lahmia14desc;You play the part of the noble damsel in distress perfectly, allowing him to see himself as your saviour and protector as he escorts you back to the city. Upon arriving at the market, you take your leave, but promise to reward him for his virtue.;;;;;;;;;;;;x
lahmia14A;Now I will invite him to a ball...;;;;;;;;;;;;x
lahmia14B;I should get rid of his wife first...;;;;;;;;;;;;x
lahmia14C;I'll sneak into his room at night...;;;;;;;;;;;;x
lahmia14D;Unfortunately, this game ends. I must return home.;;;;;;;;;;;;x
lahmia15desc;Word around the city is that a rich heiress is hosting a magnificent gala, and of course your invitation arrived just this morning in gold-stamped letters. Rumours say that she is as beautiful as she is rich. Do you want to attend?;;;;;;;;;;;;x
lahmia15A;Why yes, of course! Next Friday? Certainly.;;;;;;;;;;;;x
lahmia15B;Oh, it's the lady I saved while falconing! Of course I'll attend.;;;;;;;;;;;;x
lahmia15C;No, I have no interest in balls or heiresses;;;;;;;;;;;;x
lahmia16desc;Tonight is the night of the ball you are hosting. Everything has been prepared to an exquisite detail, and you are the centre of attention and envy in the room. Finally, your prize guest arrives and the evening proceeds down to the minutest detail of your desires. The music is playing, the nobles are dancing, and the wine flows. You dance with your guest of honour, and work your arts of seduction on him subtly. As the evening draws to a close, it is time to make your move...;;;;;;;;;;;;x
lahmia16A;Whisper in his ear and suggest he stay the night.;;;;;;;;;;;;x
lahmia16B;Poison his wife, his grief will make him vulnerable.;;;;;;;;;;;;x
lahmia17desc;Tonight is the night of the grand gala. You arrive to a splendid mansion and are greeted by the beautiful - and obviously fabulously wealthy - heiress. As the wine flows and the music plays, you find your eyes inexplicably drawn towards her, and you often find her smiling seductively back at you from across the room. As the evening draws to a close, the last dance is called, and she glides over and takes you to the floor. After a flawlessly executed dance, she whispers hotly in your ear 'Care to stay the night, my lord?';;;;;;;;;;;;x
lahmia17A;*whisper back* I'll return when the guests have left...;;;;;;;;;;;;x
lahmia17B;But... I'm married! I can't!;;;;;;;;;;;;x
lahmia17C;No, that would not be proper, my lady. Good night.;;;;;;;;;;;;x
LAHMIA_LOVERS;Lovers;;;;;;;;;;;;x
LAHMIA_SEDUCTION;Seduction;;;;;;;;;;;;x
GRIEF;Grief;;;;;;;;;;;;x
lahmia18descA;You seduce your target into a night of wild passion, and as dawn is about to break, you know that for the moment at least - he is under your spell. While he remains so, you can use your influence once a year to get him to send you expensive gifts, or even troops on some pretext that your distant family lands are under threat from greenskins or even other vampires. Should you leave him to return to your own lands, however, your hold over him will be lost.;;;;;;;;;;;;x
lahmia18descB;You seduce your target into a night of wild passion, and as dawn is about to break, you know that for the moment at least - he is under your spell. While he remains so, you can use your influence once a year to get him to send you expensive gifts, or even troops on some pretext that your distant family lands are under threat from greenskins or even other vampires. You will then pass these on to your queen, to further the cause of restoring ancient Lahmia to the sisterhood. Should you leave him to return to your own lands, however, your hold over him will be lost.;;;;;;;;;;;;x
lahmia18A;I knew he would not resist me.;;;;;;;;;;;;x
lahmia19desc;You have spent a night of wild passion with this beautiful and mysterious lady, and you are certain that you'll be seeing more of her in the months and years to come. You have scratch and bite marks all over your body, and though it hurts to get dressed, you leave with a smile on your face.;;;;;;;;;;;;x
lahmia19A;Until next time, mysterious lady.;;;;;;;;;;;;x
lahmia21desc;Cruel fate! Your wife suddenly took ill, and died screaming in the night. It happened so soon... but the doctors could find no trace of poison, and who would have any motive?;;;;;;;;;;;;x
lahmia21A;Why, gods, why?!;;;;;;;;;;;;x
lahmia21B;These are perilous times...;;;;;;;;;;;;x
lahmia22desc;Hah! The mark's wife died 'suddenly and tragically'... what a shame... and from my spies in the court, no one knows why. Those servant boys I seduced did very well indeed. That's one obstacle removed. Now... to proceed with the plan...;;;;;;;;;;;;x
lahmia22A;Yes, what shall be the next step?;;;;;;;;;;;;x
lahmia23desc;A plot to poison your wife has been revealed! When put to the question, the servants who were caught with the poison revealed everything - a beautiful rich heiress seduced them to do the dark deed...;;;;;;;;;;;;x
lahmia23A;I want this 'heiress' seized and executed!;;;;;;;;;;;;x
lahmia24desc;Damnations! Those foolish servant boys you seduced got themselves caught trying to poison your target's wife, and your sources in the court say that they spoke your name. This cat and mouse game is over. Time to flee.;;;;;;;;;;;;x
lahmia24A;I only hope my mistress will forgive my failure.;;;;;;;;;;;;x
lahmia24B;I can't believe I failed...;;;;;;;;;;;;x
lahmia26desc;Cruel fate! As you wake up the next day, your wife lies dead next to you. It happened so soon and so quietly... but the doctors could find no trace of poison, and who would have any motive?;;;;;;;;;;;;x
lahmia26A;Curses! Why gods, why?!;;;;;;;;;;;;x
lahmia26B;These are perilous times...;;;;;;;;;;;;x
lahmia27desc;You manage to dump poison from your ring into the cup of your target's wife, just as the final toast is made. From reports, she died quietly in her sleep in the night, and the cause remains a mystery. That's one obstacle removed. Now... to proceed with the plan...;;;;;;;;;;;;x
lahmia27A;Yes, what shall be the next step?;;;;;;;;;;;;x
lahmia28desc;Your wife has been poisoned, but due to the quick actions of a priest she was saved in time! It must have happened during the feast...;;;;;;;;;;;;x
lahmia28A;I want all who attended questioned immediately!;;;;;;;;;;;;x
lahmia29desc;Damnations! Your sources inside the court reveal to you that the place is in an uproar. Her life was saved by a holy priest, but they are going to conduct a thorough investigation of everyone who attended the feast. As a vampire, you cannot pass such close examination... This cat and mouse game is over. Time to flee.;;;;;;;;;;;;x
lahmia29A;I only hope my mistress will forgive my failure.;;;;;;;;;;;;x
lahmia29B;I can't believe I failed...;;;;;;;;;;;;x
lahmia30desc;The shock of your wife's death still haunts you, but your new lady acquaintance has been a great help and comfort. You find yourself thinking about her all the time. Perhaps, it would not be wrong to let this go a little further?;;;;;;;;;;;;x
lahmia30A;Yes, surely it was meant to be!;;;;;;;;;;;;x
lahmia30B;No. There is something 'off' about her...;;;;;;;;;;;;x
lahmia31desc;You have played the role of a trusted friend to your mark since his wife's death, and one night after a lot of wine he moves in to kiss you. Hah - your skills of seduction are as strong as ever, he never had a chance...;;;;;;;;;;;;x
lahmia31A;All men are weak, if you only know which buttons to push.;;;;;;;;;;;;x
lahmia32desc;Despite trying your best to seduce your mark, it seems you have failed! He is no longer answering your letters, and the guards at the gates will not admit you to his presence any more. It seems you must return home and give up on this chase...;;;;;;;;;;;;x
lahmia32A;Curses;;;;;;;;;;;;x
lahmia33desc;Your mark refuses to take the bait, and has sent word that he will not attend your ball. Your attempts to get in further contact with him have all failed. It seems you must give up on this chase... it's time to return home.;;;;;;;;;;;;x
lahmia33A;Curses!;;;;;;;;;;;;x
lahmia34desc;Your mark looks at you with shock when you offer him to stay the night, and coldly informs you that that would not be proper. He leaves in a hurry, and all attempts at further contact fails. It seems this chase is over... it's time to return home.;;;;;;;;;;;;x
lahmia34A;Curses!;;;;;;;;;;;;x
lahmiadeadtarget;Your mark is dead. It's time to go home.;;;;;;;;;;;;x
