#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
# Last Edit: 11.2.17 -Komioski
####################
# LIZARDMEN EVENTS #
####################
lizardmen_government_1;Legacy of the Ancients;;;;;;;;;;;;;
lizardmen_government_1_desc;Since the fall of the polar gate and the departure of the Old Ones, the Slann have been in deep telepathic council, trying to discern how to better cleanse the world from Chaos and bring about the Great Plan of their creators. As the ancient Mage-Priests remain in trance, the lesser breeds of Sauri and Skinks have been left to their own devices, trying to protect the ancient relics and understand the uttered profecies of the sleeping Slann.;;;;;;;;;;;;;
lizardman0desc;Lizardmen do not reproduce as other mortals do. Instead, generations of Lizardmen emerge from the vast spawning pools beneath their great temple-cities, fully formed. Some of these spawnings are predetermined by the Great Plan, but at other times, especially when the need is greatest, spawnings may occur suddenly and unexpectedly.;;;;;;;;;;;;;x
lizardman5desc;Lizardmen do not reproduce as other mortals do. Instead, generations of Lizardmen emerge from the vast spawning pools beneath their great temple-cities, fully formed. Some of these spawnings are predetermined by the Great Plan, but at other times, especially when the need is greatest, spawnings may occur suddenly and unexpectedly.;;;;;;;;;;;;;x
lizardman1desc;Welcome, your fate is to birth a new generation of Lizardmen and die.;;;;;;;;;;;;;x
lizardman3desc;Welcome, you are [Root.GetFullName].;;;;;;;;;;;;;x
lizardman4desc;After centuries of gestation, a new Lizardman emerges from the spawning pools.\nHaving consulted the alignment of the stars and the position of the moon, the Skink Priests determine that [FromFrom.GetSubjectPronoun] shall be named [FromFrom.GetBestName].;;;;;;;;;;;;;x
creature_slann_desc;This character is a Slann.;;;;;;;;;;;;;x
creature_slann;Slann;;;;;;;;;;;;;x
creature_saurus;Saurus;;;;;;;;;;;;;x
creature_saurus_desc;This character is a Saurus.;;;;;;;;;;;;;x
lizardman_sleepingslann;Sleeping Slann;;;;;;;;;;;;;x
lizardman_sleepingslann_desc;To the Slann, time passes more quickly than it does for short-lived creatures, and Slann will regularly slip into extended periods of restful contemplation that might last decades, or even centuries, at a time. They sit unmoving on their stone palanquins or in their Star Chambers, and to an outsider a Slann might appear asleep, or even dead.;;;;;;;;;;;;;x
slann_awaken_decision;Awaken to the World;;;;;;;;;;;;;x
slann_awaken_decision_desc;Awakening to the world allows Slann to communicate directly with their subjects, without going through a Skink Priest first. In game terms, this means you are no longer in a regency.\n\nAwakening will cost 100 piety for every level of sleep.;;;;;;;;;;;;;x
slann_fall_asleep_decision;Return to Contemplation.;;;;;;;;;;;;;x
lizardman_strong_winds_of_chaos;The Winds of Chaos are strong.;;;;;;;;;;;;;x
