#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
# Last Edit: 11.2.17 -Komioski
##############
# GAME RULES #
##############
RULE_WARHAMMER_INTERRACIAL;§RWarhammer:§! Interracial and Conversion;;;;;;;;;;;;x
RULE_WARHAMMER_INTERRACIAL_ON_DESC;The player (and only the Player, not the AI) will be able to marry outside of their race, and with some notable exceptions, to change religions for some races §R( Non-Canon Option )§!.;;;;;;;;;;;;x
RULE_WARHAMMER_INTERRACIAL_OFF_DESC;The player won't be able to marry outside of their race, and no one can switch to another race's religion §G( Canon Option )§!.;;;;;;;;;;;;x
RULE_WARHAMMER_MUTATION_FREQUENCY;§RWarhammer:§! Random Mutations;;;;;;;;;;;;x
RULE_WARHAMMER_MUTATION_DEFAULT_DESC;Random Chaos Mutations happen as normal.;;;;;;;;;;;;x
RULE_WARHAMMER_MUTATION_DECREASED_DESC;Random Chaos Mutations are half as likely to happen. §RNote that this only affects RANDOM event mutations, and not mutations caused by scripted events, decisions and others.§!;;;;;;;;;;;;x
RULE_WARHAMMER_MUTATION_OFF_DESC;Random Chaos Mutations won't occur at all. §RNote that this only affects RANDOM event mutations, and not mutations caused by events, decisions and others.§!;;;;;;;;;;;;x
RULE_WARHAMMER_ULTHUAN_DEPOPULATION;§RWarhammer:§! Ulthuan Depopulation;;;;;;;;;;;;x
RULE_WARHAMMER_ULTHUAN_DEPOPULATION_DEFAULT_DESC;Provinces of Asur culture in Ulthuan will eventually suffer from depopulation at the default rate.;;;;;;;;;;;;x
RULE_WARHAMMER_ULTHUAN_DEPOPULATION_DECREASED_DESC;Provinces of Asur culture in Ulthuan wil suffer from depopulation at a slower rate. §RWARNING! Enabling this will alter the gameplay balance of Ulthuan, making it much stronger than intended as a result§!;;;;;;;;;;;;x
RULE_WARHAMMER_ULTHUAN_DEPOPULATION_OFF_DESC;The depopulation mechanic of Ulthuan will be completely disabled. §RWARNING! Enabling this will alter the gameplay balance of Ulthuan, making it much stronger than intended as a result§!;;;;;;;;;;;;x
RULE_WARHAMMER_LUSTRIA_GROWTH;§RWarhammer:§! Lustrian Growth;;;;;;;;;;;;x
RULE_WARHAMMER_LUSTRIA_GROWTH_DEFAULT_DESC;The Jungles of Lustria will grow at the default rate.;;;;;;;;;;;;x
RULE_WARHAMMER_LUSTRIA_GROWTH_SLOWER_DESC;The Jungles of Lustria will grow at a much slower rate.;;;;;;;;;;;;x
RULE_WARHAMMER_LUSTRIA_GROWTH_FASTER_DESC;The Jungles of Lustria will grow at a much faster rate.;;;;;;;;;;;;x
RULE_WARHAMMER_ALBION;§RWarhammer:§! Mists of Albion;;;;;;;;;;;;x
RULE_WARHAMMER_ALBION_DEFAULT_DESC;The Mists of Albion will be enabled, making Albion and it's inhabitants unreachable until they're are cleared ( This will happen either around 2350 or when the Doom Counter is high enough ).;;;;;;;;;;;;x
RULE_WARHAMMER_ALBION_OFF_DESC;The Mists of Albion will be permanently disabled, and Albion will be reachable as normal.;;;;;;;;;;;;x
RULE_WARHAMMER_ALBION_PERMANENT_DESC;The Mists of Albion will be permanently enabled, and will never dispel.;;;;;;;;;;;;x
RULE_WARHAMMER_VAMPIRE_WARS;§RWarhammer:§! Vampire Wars;;;;;;;;;;;;x
RULE_WARHAMMER_VAMPIRE_WARS_DEFAULT_DESC;The Vampire Wars will be the default strength with a moderate chance of Vlad succeeding.;;;;;;;;;;;;x
RULE_WARHAMMER_VAMPIRE_WARS_STRONGER_DESC;The Vampire Wars will be much harder with a very likely chance of Vlad succeeding. This is ideal for Multiplayer Games focused within The Empire;;;;;;;;;;;;x
RULE_WARHAMMER_VAMPIRE_WARS_OFF_DESC;The Vampire Wars will not be scripted.;;;;;;;;;;;;x
RULE_OPTION_STRONGER;Stronger;;;;;;;;;;;;x
RULE_OPTION_SLOWER;Slower;;;;;;;;;;;;x
RULE_OPTION_FASTER;Faster;;;;;;;;;;;;x
RULE_OPTION_MORE;More Frequent;;;;;;;;;;;;x
RULE_OPTION_PERMANENT;Permanently On;;;;;;;;;;;;x
#TRADE ROUTES
great_north_road;The Great North Road;;;;;;;;;;;;;x
old_dwarf_road;The Old Dwarf Road;;;;;;;;;;;;;x
old_forest_road;The Old Forest Road;;;;;;;;;;;;;x
great_reik_road;The Great Reik Road;;;;;;;;;;;;;x
grimway;The Grimway;;;;;;;;;;;;;x
gloom_road;The Gloom Road;;;;;;;;;;;;;x
altdorf_middenheim_road;The Altdorf-Middenheim Road;;;;;;;;;;;;;x
great_kislev_road;The Great Kislevite Route;;;;;;;;;;;;;x
the_skull_road;The Skull Road;;;;;;;;;;;;;x
the_pass_to_the_east;The Pass to the East;;;;;;;;;;;;;x
the_silver_road;The Silver Road;;;;;;;;;;;;;x
khyprian_road;The Khyprian Road;;;;;;;;;;;;;x
old_silk_road;The Old Silk Road;;;;;;;;;;;;;x
ivory_road;The Ivory Road;;;;;;;;;;;;;x
spice_route;The Spice Route;;;;;;;;;;;;;x
arabyan_trail;The Arabyan Trail;;;;;;;;;;;;;x
bretonnian_imperial;Axe Bite Pass;;;;;;;;;;;;;x
bretonnian_south;Gisoreux Road;;;;;;;;;;;;;x
bretonnian_north;Old Coast Road;;;;;;;;;;;;;x
estalian_route;Tobaro Road;;;;;;;;;;;;;x
underway;Ungdrin Ankor;;;;;;;;;;;;;x
silk_road_province_desc;Can only build §YTrade Posts§! in certain Counties. Open the §YTrade Zones Mapmode§! to see valid Counties;Peut seulement construire des §YComptoirs de la Route de la Soie§! dans certains comtés traversés par la §YRoute de la Soie§!\n   Ouvrir le mode carte §YZones marchandes§! pour voir les comtés valides;Kann §YSeidenstraßen-Handelsposten§! nur in bestimmten Grafschaften entlang der §YSeidenstraße§! errichten\n     Um gültige Grafschaften zu sehen, öffne den §YHandelszonen-Kartenmodus§!;;Solo se pueden construir §YPuestos comerciales de la Ruta de la Seda§! en ciertos condados a lo largo de la §YRuta de la Seda§!\nAbre el mapa de §YMapa de zonas comerciales§! para ver condados válidos;;;;;;;;;x
#achievements
ACHIEVEMENT;Achievement gained!;;;;;;;x
EVTOPTAca.1;A date to go down in history.;;;;;;;x
EVTOPTBca.1;Why should I care?;;;;;;;x
UNITED_THE_EMPIRE;United the Empire;;;;;;;x
CHRONICLE_ACHIEVEMENT_UNITED_THE_EMPIRE;[GetDateText]: [Root.GetTitledName] has reunified the Empire of Man, and was bestowed the achievement United the Empire.;;;;;;;x
EVTDESCca.2;[Root.GetTitledName] has reunified the Empire of Man, earning the achievement §YUnited the Empire§!!;;;;;;;x
###Regions
world_albion;Albion;;;;;;;;;;;;;x
world_araby;Araby;;;;;;;;;;;;;x
world_athel_loren_inner;Inner Forest;;;;;;;;;;;;;x
world_athel_loren_outer;Outer Forest;;;;;;;;;;;;;x
world_athel_loren;Forest of Loren;;;;;;;;;;;;;x
world_badlands_magnata;Magnata;;;;;;;;;;;;;x
world_badlands_strygos;Strygos;;;;;;;;;;;;;x
world_badlands;The Badlands;;;;;;;;;;;;;x
world_borderlands;Borderlands;;;;;;;;;;;;;x
world_bretonnia;Bretonnia;;;;;;;;;;;;;x
world_chaos_wastes_broken_lands;The Broken Lands;;;;;;;;;;;;;x
world_chaos_wastes_eastern_steppes;The Eastern Steppes;;;;;;;;;;;;;x
world_chaos_wastes_far_wastes;The Far Wastes;;;;;;;;;;;;;x
world_chaos_wastes_land_of_chill;The Land of Chill;;;;;;;;;;;;;x
world_chaos_wastes_northern_wastes;The Northern Wastes;;;;;;;;;;;;;x
world_chaos_wastes_zanbaijin;Zanbaijin at K'Datha;;;;;;;;;;;;;x
world_chaos_wastes;The Chaos Wastes;;;;;;;;;;;;;x
world_darklands_ankor_naggrund;Ankor-Naggrund;;;;;;;;;;;;;x
world_darklands_blasted_wastes;The Blasted Wastes;;;;;;;;;;;;;x
world_darklands_gnoblar_country;Gnoblar Country;;;;;;;;;;;;;x
world_darklands_plains_of_bones;The Plains of Bones;;;;;;;;;;;;;x
world_darklands;The Darklands;;;;;;;;;;;;;x
world_dragon_isles;Dragon Isles;;;;;;;;;;;;;x
world_drak_ankor_lost_holds;Lost Holds;;;;;;;;;;;;;x
