# LAST EDIT: 22/08/2020 - MITSU
##############
# GOBLIN/ORC #
##############
###ÄNSI
#
# GOBLIN/ORC TRAITS
#
creature_orc;Orc;;;;;;;;;;;;;x
creature_orc_desc;This character is an Orc. Orcs are large, brawny greenskins which naturally dominate any smaller greenskins. The boss of a tribe is usually the largest and meanest, but it is not unknown for an unusually cunning or magically-gifted orc to maintain control through other means. Orcs love to fight and win, but are also partial to shouting, drinking and building large ramshackle constructions.;;;;;;;;;;;;;x
creature_goblin;Goblin;;;;;;;;;;;;;x
creature_goblin_desc;This character is a Goblin. Goblins are smaller greenskins, but make up for their size with exceptional cunning. Goblins typically serve as fodder for orc armies, but if a tribe of goblins manages to kill or drive off their orc bosses, they will strike out on their own and attempt to carve out their own domain.;;;;;;;;;;;;;x
creature_snotling;Snotling;;;;;;;;;;;;;x
creature_snotling_desc;This character is a Snotling. Snotlings are small, cowardly and stupid greenskins, possessing a demeanour and intelligence comparable to an eager puppy dog. As such, they naturally follow any orc or goblin which cares to assert authority over them. Snotlings serve their masters happily until they are killed by misadventure, combat or lunch. In battle they wield whatever they can think to grab, such as pointy sticks, bones or large mushrooms, and are usually completely ineffective.;;;;;;;;;;;;;x
orc_small;Small Orc;;;;;;;;;;;;;x
orc_small_desc;This Orc is downright titchy and should only think about bossing even smaller things, like Squigs and Snotlings.;;;;;;;;;;;;;x
orc_average;Average Orc;;;;;;;;;;;;;x
orc_average_desc;This Orc is about the size of an Orc, and should follow their boss.;;;;;;;;;;;;;x
orc_large;Large Orc;;;;;;;;;;;;;x
orc_large_desc;This Orc is large, making them suitable for bossing most Orcs around.;;;;;;;;;;;;;x
orc_huge;Huge Orc;;;;;;;;;;;;;x
orc_huge_desc;This Orc is huge, making them the rightful boss of every sensible Orc.;;;;;;;;;;;;;x
goblin_small;Small Goblin;;;;;;;;;;;;;x
goblin_small_desc;This Goblin is downright titchy and should only think about bossing even smaller things, like Squigs and Snotlings.;;;;;;;;;;;;;x
goblin_average;Average Goblin;;;;;;;;;;;;;x
goblin_average_desc;This Goblin is about the size of an Goblin, and should follow their boss.;;;;;;;;;;;;;x
goblin_large;Large Goblin;;;;;;;;;;;;;x
goblin_large_desc;This Goblin is large, making them suitable for bossing most Goblins around.;;;;;;;;;;;;;x
goblin_huge;Huge Goblin;;;;;;;;;;;;;x
goblin_huge_desc;This Goblin is huge, making them the rightful boss of every sensible Goblin.;;;;;;;;;;;;;x
black_orc_trait;Black Orc;;;;;;;;;;;;x
black_orc_trait_desc;Black Orcs are the biggest and strongest of all Orcs, and get their name from their dour, grim demeanor as much as from the colour of their skin, which is extremely dark green or black.;;;;;;;;;;;;x
greenskin_shaman;Greenskin Shaman;;;;;;;;;;;;;x
greenskin_shaman_desc;Greenskin Shamans are an unpredictable lot, but their power in battle is undeniable - when those powers work as intended, of course. When not, they can be as dangerous to their own side as the enemy.;;;;;;;;;;;;;x
greenskin_gods_gork;Prefers Gork;;;;;;;;;;;;x
greenskin_gods_gork_desc;This Greenskin thinks that Gork is the best of the twin gods, because he's cunningly brutal;;;;;;;;;;;;x
greenskin_gods_mork;Prefers Mork;;;;;;;;;;;;x
greenskin_gods_mork_desc;This Greenskin thinks that Mork is the best of the twin gods, because he's brutally cunning.;;;;;;;;;;;;x
lore_waaagh;Lore of Da Waaagh - §GBattle Magic Pool([This.MagicPool.GetValue]/[This.MagicPoolMax.GetValue])§!;;;;;;;;;;;;x
lore_waaagh_desc;The Greenskins don't channel the Winds of Magic like most other races, instead, their shamans draw power from the Waaagh, a magic field generated unconsciously by all Greenskins. They can manifest this power in all kinds of ways, from strengthening their comrades in battle to summoning the feet of their gods to crush their enemies.\n§GSummons Spell Units during battles§!;;;;;;;;;;;;x
#
# GOBLIN/ORC LAWS
#
greenskin_power;Greenskin Control;;;;;;;;;;;;x
greenskin_power_desc;Greenskins don't have the same concept of ruler as the other races, instead the strong rule over the weak. That is the only Greenskin law.\n Each level of this law will be automatically passed to its next level at 100, 250, 500 and 1000 prestige for each respective level.\n The average time for the next level of the law to be enacted is 1 year, but it can be shortened with certain traits.;;;;;;;;;;;;x
greenskin_power_0;No Greenskin Control;;;;;;;;;;;;x
greenskin_power_0_desc;The Greenskins of this tribe don't respect your authority at all. Next level at 100.;;;;;;;;;;;;x
greenskin_power_1;Low Greenskin Control;;;;;;;;;;;;x
greenskin_power_1_desc;The Greenskins now grudgingly respect your authority. Next level at 250.;;;;;;;;;;;;x
greenskin_power_2;Medium Greenskin Control;;;;;;;;;;;;x
greenskin_power_2_desc;The Greenskins now somewhat respect your authority. Next level at 500.;;;;;;;;;;;;x
greenskin_power_3;High Greenskin Control;;;;;;;;;;;;x
greenskin_power_3_desc;The Greenskins now respect your authority. Next level at 1000.;;;;;;;;;;;;x
greenskin_power_4;Absolute Greenskin Control;;;;;;;;;;;;x
