#########
# MAGIC #
#########
#
# ITEM CRAFTING
#
ENCHANTING_AMULETS;Enchanting - Amulets;;;;;;;;;;;;x
EVTDESCCRAFTING.0;Depending on your magic power and amount of gold in your treasury, these are the amulets you can enchant at the moment.;;;;;;;;;;;;x
crafting.0.a;Amulet of Protection +1 / Takes 1 years.;;;;;;;;;;;;x
crafting.0.b;Amulet of Protection +3 / Takes 3 years.;;;;;;;;;;;;x
crafting.0.c;Amulet of Protection +5 / Takes 5 years.;;;;;;;;;;;;x
ENCHANTING_RINGS;Enchanting - Rings;;;;;;;;;;;;x
EVTDESCCRAFTING.2;Depending on your magic power and amount of gold in your treasury, these are the rings you can enchant at the moment.;;;;;;;;;;;;x
crafting.2.a;Ring of Persuasion / Takes 1 year.;;;;;;;;;;;;x
crafting.2.b;Ring of Invisibility / Takes 1 year.;;;;;;;;;;;;x
crafting.2.c;Ring of Speed / Takes 3 years.;;;;;;;;;;;;x
crafting.2.d;Ring of Command / Takes 5 years.;;;;;;;;;;;;x
ENCHANTING_WEAPONS;Enchanting - Weapons;;;;;;;;;;;;x
EVTDESCCRAFTING.4;Depending on your magic power and amount of gold in your treasury, these are the weapons you can enchant at the moment.;;;;;;;;;;;;x
crafting.4.a;A Sword of Ice / Takes 2 years.;;;;;;;;;;;;x
crafting.4.b;A Sword of Fire / Takes 3 years.;;;;;;;;;;;;x
crafting.4.c;A Sword of Lightning / Takes 4 years.;;;;;;;;;;;;x
crafting.4.d;A Sword of Destruction / Takes 5 years.;;;;;;;;;;;;x
ALCHEMY_POTIONS;Alchemy - Potions;;;;;;;;;;;;x
EVTDESCCRAFTING.6;A potion can be brewed which will last you throughout your lifetime, but not be passed on to your successors. These are the potions you can craft with your level and gold.;;;;;;;;;;;;x
crafting.6.a;Potion of Healing / Takes 1 year.;;;;;;;;;;;;x
crafting.6.b;Potion of Beauty / Takes 2 years.;;;;;;;;;;;;x
crafting.6.c;Potion of Strength / Takes 1 years.;;;;;;;;;;;;x
crafting.6.d;Potion of Speed / Takes 1 years.;;;;;;;;;;;;x
ALCHEMY_ELIXIRS;Alchemy - Elixir;;;;;;;;;;;;x
EVTDESCCRAFTING.8;An Elixir can be brewed which will boost your stats permanently, but they are only affective up to a certain threshhold. These are the elixirs you can craft with your level and gold.;;;;;;;;;;;;x
commission_elixer;Elixirs;;;;;;;;;;;;;x
crafting.8.a;Martial Elixir / Takes 2 years.;;;;;;;;;;;;x
crafting.8.b;Stewardship Elixir / Takes 2 years.;;;;;;;;;;;;x
crafting.8.c;Diplomacy Elixir / Takes 2 years.;;;;;;;;;;;;x
crafting.8.d;Intrigue Elixir / Takes 2 years.;;;;;;;;;;;;x
YOUR_WORK_IS_COMPLETE;Your work is complete!;;;;;;;;;;;;x
EVTDESCCRAFTINGDONE.1a;You have created an amulet of minor protection. It will protect both your person, and for short periods of time its range can be extended on the battlefield to deflect hostile arrows from your forces.;;;;;;;;;;;;x
EVTDESCCRAFTINGDONE.1b;You have created an amulet of protection. It will protect your person, and for short periods of time its range can be extended on the battlefield to deflect hostile arrows from your forces.;;;;;;;;;;;;x
EVTDESCCRAFTINGDONE.1c;You have created an amulet of great protection. It will protect your person, and for short periods of time its range can be extended on the battlefield to deflect hostile arrows from your forces.;;;;;;;;;;;;x
EVTDESCCRAFTINGDONE.3a;You have created a ring of persuasion. Using a subtle combination of charm magic and increased sensitivity to the flow of a conversation, it is a powerful tool in all negotiations.;;;;;;;;;;;;x
EVTDESCCRAFTINGDONE.3b;You have created a ring of invisibility. Obviously, this will have huge benefits for your intrigue.;;;;;;;;;;;;x
EVTDESCCRAFTINGDONE.3c;You have created a ring of speed. Not only can it make you move with uncanny speed, during times of war its influence can be extended to an entire army making them all move 10% faster.;;;;;;;;;;;;x
EVTDESCCRAFTINGDONE.3d;You have created a ring of command. During battles, its influence can be extended to your entire army, making them both attack and defend with more courage.;;;;;;;;;;;;x
EVTDESCCRAFTINGDONE.5a;You hold in your hands a shining blade which has a palpable aura of frost. At will it can project a great spray of ice to the dismay of your enemies. It is both light and impossibly sharp.;;;;;;;;;;;;x
EVTDESCCRAFTINGDONE.5b;You hold in your hands a shining blade which burns with a bright flame. It is both light and impossibly sharp.;;;;;;;;;;;;x
EVTDESCCRAFTINGDONE.5c;You hold in your hands a shining blade which glows with lightning. It can slice through steel as if it were leather, and can call forth lightning bolts in battle.;;;;;;;;;;;;x
EVTDESCCRAFTINGDONE.5d;You hold in your hands a sword which is sure to go down in legend - it practically sings with contained power, and its destruction can be unleashed to terrible effect in battle...;;;;;;;;;;;;x
EVTDESCCRAFTINGDONE.7a;You have brewed a healing potion, which can cure all wounds and deformities. Once spent, however, it will disappear.;;;;;;;;;;;;x
EVTDESCCRAFTINGDONE.7b;You have brewed a potion of beauty. It will spoil quickly if you wait at all, so drink deeply, and become the ideal of beauty!;;;;;;;;;;;;x
EVTDESCCRAFTINGDONE.7c;You have brewed a potion of strength. The power of the potion is tied to your own essence, allowing the drinker to cause devastating damage.;;;;;;;;;;;;x
EVTDESCCRAFTINGDONE.7d;You have brewed a potion of speed. which blesses the imbiber with a boost of preternatural speed.  Once spent, however, it will disappear.;;;;;;;;;;;;x
EVTDESCCRAFTINGDONE.9a;You have brewed a martial elixir, which blesses the imbiber with a boost to the martial skill.  Once spent, however, it will disappear.;;;;;;;;;;;;x
EVTDESCCRAFTINGDONE.9b;You have brewed a stewardship elixir. which blesses the imbiber with a boost to the stewardship skill.  Once spent, however, it will disappear.;;;;;;;;;;;;x
EVTDESCCRAFTINGDONE.9c;You have brewed a diplomacy elixir. which blesses the imbiber with a boost to the diplomacy skill.  Once spent, however, it will disappear.;;;;;;;;;;;;x
EVTDESCCRAFTINGDONE.9d;You have brewed a intrigue elixir. which blesses the imbiber with a boost to the intrigue skill.  Once spent, however, it will disappear.;;;;;;;;;;;;x
EXCELLENT;Excellent;;;;;;;;;;;;x
NEVER_MIND;Never mind;;;;;;;;;;;;x
MORE_OPTIONS;Show more options;;;;;;;;;;;;x
SHOW_MORE_OPTIONS/CLOSE_MENU;Show more options/Close Menu;;;;;;;;;;;;x
SHOW_MORE_OPTIONS/LEAVE_MENU;Show more options/Leave Menu;;;;;;;;;;;;x
#
# MAGIC TRAITS
#
magic_potential_1;Magic Potential;;;;;;;;;;;;;
magic_potential_1_desc;This character can see and manipulate the Winds of Magic.\n§GIncreases Battle Magic Pool§!\n§GHigher Magic Potential Increases XP Gain For Magic Power Levels§!;;;;;;;;;;;;;
magic_potential_2;Good Magic Potential;;;;;;;;;;;;;
magic_potential_2_desc;This character has been gifted with good magical potential, possessing an instinctive ability for grasping the Winds of Magic and bending reality to their will.\n§GIncreases Battle Magic Pool§!\n§GHigher Magic Potential Increases XP Gain For Magic Power Levels§!;;;;;;;;;;;;;
magic_potential_3;Great Magic Potential;;;;;;;;;;;;;
