#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
# Last Edit: 11.2.17 -Komioski
#################
# MAGIC SPELLS  #
#################
####ÄNSI
# GENERAL
#
lore_dispatcher_title;Choose a Lore;;;;;;;;;;;;;x
lore_dispatcher_desc;Cast a spell from a lore you know;;;;;;;;;;;;;x
dispatch_dark_magic_desc;Cast a dark magic spell;;;;;;;;;;;;;x
dispatch_high_magic_desc;Cast a high magic spell;;;;;;;;;;;;;x
dispatch_necromancy_desc;Cast a necromantic spell;;;;;;;;;;;;;x
dispatch_ice_desc;Cast an ice magic spell;;;;;;;;;;;;;x
dispatch_fire_desc;Cast a fire magic spell;;;;;;;;;;;;;x
dispatch_light_desc;Cast a light magic spell;;;;;;;;;;;;;x
dispatch_beast_desc;Cast a beast magic spell;;;;;;;;;;;;;x
dispatch_metal_desc;Cast a metal magic spell;;;;;;;;;;;;;x
dispatch_life_desc;Cast a life magic spell;;;;;;;;;;;;;x
dispatch_heavens_desc;Cast a heavenly magic spell;;;;;;;;;;;;;x
dispatch_death_desc;Cast a death magic spell;;;;;;;;;;;;;x
dispatch_waaagh_desc;WAAAGH!!!!;;;;;;;;;;;;;x
dispatch_nurgle_desc;Cast a spell from the Lore of Nurgle;;;;;;;;;;;;;x
dispatch_tzeentch_desc;Cast a spell from the Lore of Tzeentch;;;;;;;;;;;;;x
dispatch_slaaneesh_desc;Cast a spell from the Lore of Slaaneesh;;;;;;;;;;;;;x
dispatch_hashut_desc;Cast a spell from the Lore of Hashut;;;;;;;;;;;;;x
dispatch_nehekhara_desc;Cast a spell from the Lore of Nehekhara;;;;;;;;;;;;;x
#
magic_skip_opt;This magic seems pretty dangerous. Maybe I'll sit this round out.;;;;;;;;;;;;;x
clear_spell_flag_title;Magic cooldown finished;;;;;;;;;;;;;x
clear_spell_flag_desc;It has been a month since you last cast one of your spells. You are now ready to cast it again.;;;;;;;;;;;;;x
clear_spell_flag_opt;OK;;;;;;;;;;;;;x
clear_spell_flag_wait_opt;Not yet;;;;;;;;;;;;;x
#
magic_disappears_title;Spell Finished;;;;;;;;;;;;;;x
magic_disappears_desc;The spell dissipates as the battle finishes;;;;;;;;;;;;;x
magic_disappears_confirm;It helped me here;;;;;;;;;;;;;x
#
# SPELLS (lore_name,title,desc,lvl1,lvl2,lvl3,lvl4)
#
# Dark lore: Black magic (Dark elves lore)
#
# high_magic spells
high_magic_cast_title;Qhaysh;;;;;;;;;;;;;x
high_magic_cast_desc;Unleash the winds of magic on your foe!;;;;;;;;;;;;;x
high_magic_level1_opt;Shield of Saphery;;;;;;;;;;;;;x
high_magic_level2_opt;Fury of Khaine;;;;;;;;;;;;;x
high_magic_level3_opt;Flames of the Phoenix;;;;;;;;;;;;;x
high_magic_level4_opt;Vaul's Unmaking;;;;;;;;;;;;;x
#
# Battle spells: Necromancy/Lore of Vampires
#
# Common necromancy
necromancy_cast_title;Foul Magic!;;;;;;;;;;;;;x
necromancy_cast_desc;Cleanse the living!;;;;;;;;;;;;;x
# This spell cost 22 magic points and is both in RPG and battle warhammer battle
necromancy_raise_dead_opt;Raise Dead;;;;;;;;;;;;;x
necromancy_lore.10_title;Raise Dead;;;;;;;;;;;;;x
necromancy_lore.10_desc;You use energies of Dhar to animate corpses of those who fallen in battle, troops around you rise to join you ever-growing army of dead!;;;;;;;;;;;;;x
# Vanhel Dance/Call of Vanhel (RPG 2ed 15 magic points)
# Buff for undead troops (in form of tactics)
# Tactics from "Advance" group, buff speed and change to melee
# Useless otherwisee?
necromancy_call_of_vanhel_opt;Call of Vanhel;;;;;;;;;;;;;x
necromancy_lore.20_opt;Call of Vanhel;;;;;;;;;;;;;x
necromancy_lore.20_desc;Call of Vanhel;;;;;;;;;;;;;x
# Curse of years debuff (like blizzard)
necromancy_curse_opt;Curse of Years;;;;;;;;;;;;;x
necromancy_lore.30_desc;You spite an ancient curse, causing your enemies to age at an incredible rate, whole units are affected, soldier have their hair turning white and skin shrivelling up.;;;;;;;;;;;;;x
# Well confirmed in 2ed RPG
necromancy_lore.40_opt;Wind of Death;;;;;;;;;;;;;x
necromancy_lore.40_desc;You called forth upon spectral winds of Dhar that howl through the enemy ranks, tearing their souls from their bodies.;;;;;;;;;;;;;x
#
# Battle spells: Ice Lore
#
ice_cast_title;Ice Magic;;;;;;;;;;;;;x
ice_cast_desc;The Battle continues, you take a breath and gather your thoughts, what will be your next move? You channel icy magic coursing through land to cast new spell, you prepare following spell:;;;;;;;;;;;;;x
# Generic
ice_lore_enemy_ok;Damned be the Witches!;;;;;;;;;;;;x
ice_lore_ok;Feel the Fury of Ancient Widow!;;;;;;;;;;;;x
ice_shardstorm_opt;Shardstorms to decimate enemy frontline;;;;;;;;;;;;;x
ice_freezing_blast_opt;Freeze battlefield for tactics advantage;;;;;;;;;;;;;x
ice_freezing_blast_tooltip;Slows enemy advance and decereases enemy chance for proper charge;;;;;;;;;;;;;x
spell_effect_permafrost;Battlefield: Permafrost;;;;;;;;;;;;;x
spell_effect_permafrost_desc;Whole battlefield is covered in ice! §RBattle only effect§!;;;;;;;;;;;;;
ice_biting_wind_opt;Summon the power Biting Winds;;;;;;;;;;;;;x
ice_biting_wind_tooltip;Freezing winds damages whole enemy army;;;;;;;;;;;;;x
ice_blizzard_opt;Summon Blizzard at enemy archers!;;;;;;;;;;;;;x
# Shardstorm description
ice_lore.10_title;Shardstorm;;;;;;;;;;;;x
ice_lore.10_desc;Amidst the heat of battle you spot an opportunity to unleash a series of powerful spells at enemy. You cast spell after spell, weaving icy magic into dozens of diamond-hard ice shards that decimate enemy frontline. [GetBattleCastingFinal];;;;;;;;;;;;x
ice_lore.10_enemy_desc;Enemy witch [From.GetBestName] unleashed freezing winds and shardstorms upon your army, supprised troops have no shelter against piercing cold, the weaker were killed in matter of minutes.;;;;;;;;;;;;x
# Permafrost
ice_lore.20_title;Permafrost;;;;;;;;;;;;x
ice_lore.20_desc;You channeled mighty flows of cold into the land. A heavy frost immediately crusts over every affected surface and kills those unweary. Movements of enemy army had become more difficult.;;;;;;;;;;;;x
frozen_tactic;Slowed by Permafrost;;;;;;;;;;;;x
# Blizzard 18 magic points
ice_lore.30_title;Invocation of the Ice Storm;;;;;;;;;;;;x
