#################
# MIXED ENTRIES #
#################
###ÄNSI
BRETCAPCHANGE_DESC;It's Long been customary to move the Court of the Royarch To one of his Dwellings to bolster the legitemacy of His Dukedom, so your newfound court has come to you with proposal to move the capital of the realm;;;;;;;;;;;;;x
IMPCAPCHANGE_DESC;Your Councilors have come with Proposal to change the Imperial capital to better administer the realm.;;;;;;;;;;;;;x
ASURCAPCHANGE_DESC;Your Councilors have come with Proposal to change the capital to better administer the realm.;;;;;;;;;;;;;x
BRTCAP_COUR;Couronne;;;;;;;;;;;;;x
BRTCAP_LANGL;L'anguille;;;;;;;;;;;;;x
BRTCAP_LYON;Lyonesse;;;;;;;;;;;;;x
BRTCAP_ARTO;Artois;;;;;;;;;;;;;x
BRTCAP_GISO;Gisoreux;;;;;;;;;;;;;x
BRTCAP_MOUSI;Dread city of Mousillon;;;;;;;;;;;;;x
BRTCAP_BORDEL;Bordeleaux;;;;;;;;;;;;;x
BRTCAP_BASTON;The Traditional Bastonne;;;;;;;;;;;;;x
BRTCAP_AQUIT;Aquitaine;;;;;;;;;;;;;x
BRTCAP_BRION;Brionne;;;;;;;;;;;;;x
BRTCAP_QUEN;Quenneles;;;;;;;;;;;;;x
BRTCAP_CARCAS;Carcassonne;;;;;;;;;;;;;x
BRTCAP_MONTF;Montfort;;;;;;;;;;;;;x
BRTCAP_PARRAV;Parravon;;;;;;;;;;;;;x
IMPCAP_ALTD;Traditional Altdorf of Reikland;;;;;;;;;;;;;x
IMPCAP_WISSEN;Nuln of Wissenland;;;;;;;;;;;;;x
IMPCAP_AVER;Averheim of Averland;;;;;;;;;;;;;x
IMPCAP_TALAB;Talabheim of Talabecland;;;;;;;;;;;;;x
IMPCAP_STIR;Wurtbad of Stirland;;;;;;;;;;;;;x
IMPCAP_MIDDEN;Middenheim of Middenland;;;;;;;;;;;;;x
IMPCAP_MARIEN;The Marienburg of wasteland;;;;;;;;;;;;;x
IMPCAP_NORD;Salzemund of Nordland;;;;;;;;;;;;;x
IMPCAP_OST;Wolfenburg of Ostland;;;;;;;;;;;;;x
IMPCAP_OSTER_2;Dread city of Mordheim;;;;;;;;;;;;;x
IMPCAP_OSTER;Bechafen of Ostermark;;;;;;;;;;;;;x
IMPCAP_SYLV;Drakenhof of Sylvania;;;;;;;;;;;;;x
ASURCAP_SAPH;Tower of Hoeth;;;;;;;;;;;;;x
ASURCAP_EAT;Lothern the Crown Jewel;;;;;;;;;;;;;x
ASURCAP_CALED;Glades of Summersong;;;;;;;;;;;;;x
ASURCAP_TIRA;Citadel of Anroc;;;;;;;;;;;;;x
ASURCAP_ELLYR;Citadel of Elyr;;;;;;;;;;;;;x
ASURCAP_AVELORN;Glades of Eversprings;;;;;;;;;;;;;x
ASURCAP_YVRE;Citadel of Yvraine;;;;;;;;;;;;;x
ASURCAP_NAGA;Dreaded Tor Anlec;;;;;;;;;;;;;x
