# LAST EDIT: 2020/09/16 - MITSU
########################
# MODIFIER DEFINITIONS #
########################
###ÄNSI
curse_cooldown_timer;Curse Cooldown;;;;;;;;;;;;;
drill_cooldown_timer;Drill Cooldown;;;;;;;;;;;;;
lost_in_the_stars;Lost in the Stars;;;;;;;;;;;;;
inviting_to_stargazing;Invited to Stargazing;;;;;;;;;;;;;
secret_buddhist_community;Secret Buddhist Community;;;;;;;;;;;;;
secret_hindu_community;Secret Hindu Community;;;;;;;;;;;;;
prosper_ambition_timer;Prosper Ambition;;;;;;;;;;;;;
resigned_in_anger;Resigned in Anger;;;;;;;;;;;;;
recently_relieved_shieldmaiden_timer;Recently Relieved Shieldmaiden;;;;;;;;;;;;;
grief_timer;Grief;;;;;;;;;;;;;
raiding_adventurer_nomad_timer;Raiding Nomad;;;;;;;;;;;;;
raiding_adventurer_tribal_timer;Raiding Tribes;;;;;;;;;;;;;
worshipped_ancestors_timer;Worshipped Ancestors;;;;;;;;;;;;;
peasants_subdued;Peasants Subdued;;;;;;;;;;;;;
wont_let_spouse_touch_me;Won't Let Spouse Touch Me;;;;;;;;;;;;;
hidden_extra_tribute;Hidden Tribute;;;;;;;;;;;;;
pillage_cooldown;Pillaged;;;;;;;;;;;;;
stop_burning_land;Stop Burning Land;;;;;;;;;;;;;
#
# ARMOUR ARTEFACTS DEFENSIVE BUFF
#
armour_defence_buff_1;This armour provides a 5% reduction in the chance of injury and death in battle.;;;;;;;;;;;;;x
armour_defence_buff_2;This armour provides a 10% reduction in the chance of injury and death in battle.;;;;;;;;;;;;;x
armour_defence_buff_3;This armour provides a 15% reduction in the chance of injury and death in battle.;;;;;;;;;;;;;x
armour_defence_buff_4;This armour provides a 20% reduction in the chance of injury and death in battle.;;;;;;;;;;;;;x
armour_defence_buff_5;This armour provides a 25% reduction in the chance of injury and death in battle.;;;;;;;;;;;;;x
armour_defence_buff_6;This armour provides a 30% reduction in the chance of injury and death in battle.;;;;;;;;;;;;;x
armour_defence_buff_7;This armour provides a 35% reduction in the chance of injury and death in battle.;;;;;;;;;;;;;x
armour_defence_buff_8;This armour provides a 40% reduction in the chance of injury and death in battle.;;;;;;;;;;;;;x
armour_defence_buff_9;This armour provides a 45% reduction in the chance of injury and death in battle.;;;;;;;;;;;;;x
armour_defence_buff_10;This armour provides a 50% reduction in the chance of injury and death in battle.;;;;;;;;;;;;;x
#
# ARMOURED CASTER BUFF
#
armoured_casting_buff;This artefact removes the penalty for using magic while wearing armour.;;;;;;;;;;;;;x
