# LAST EDIT: 22/08/2020 - MITSU
#######################
# PLEASURE/HAREM/RAPE #
#######################
###ÄNSI
#
# PLEASURE
#
hide_deformity_spells;Dissimulate Deformity;;;;;;;;;;;;;;
hide_deformity_spells_desc;Employ the Winds of Magic to remove whatever is tarnishing your beauty.;;;;;;;;;;;;;;
EVTDESCAspleasure90;For too long this deformity has disturbed your gracious looks. Once the proper rituals have been completed, you feel the Winds of Magic shrouding the touch of Chaos, leaving your body to look clean and pure as it was.;;;;;;;;;;;;;;
EVTDESCBspleasure90;Calling upon the Winds of Magic you weave the proper incantations to refill the gaps and cuts filling your face, shrouding the disfigurement which plagues it and leaving your skin again as a pristine surface.;;;;;;;;;;;;;;
EVTDESCCspleasure90;You can no longer stand to move around in a bloated formless body, luckily dark magic offers an easy solution and with a few gestures and words, you can sport once again nimble and tight limbs.;;;;;;;;;;;;;;
EVTDESCDspleasure90;You've grown tired of the pale and hollow look on your face and of your bones sticking out under your skin, luckily magic has many uses and, with a proper spell, you can show once more a healthy appearance.;;;;;;;;;;;;;;
EVTOPTAspleasure90;Finally.;;;;;;;;;;;;;;
EVTDESCAspleasure91;Something must have backfired in your spell. The woven incantation reshaping your appearance is falling apart, showing once more the consequences of your indulgence on your body.;;;;;;;;;;;;;;
EVTDESCBspleasure91;Something must have backfired in your spell. The woven incantation reshaping your appearance is falling apart, showing once more the consequences of your deprivation on your body.;;;;;;;;;;;;;;
EVTDESCCspleasure91;Something must have backfired in your spell. The woven incantation reshaping your appearance is falling apart, showing the disgusting disfigurement spoiling your features.;;;;;;;;;;;;;;
EVTDESCDspleasure91;Something must have backfired in your spell. The woven incantation hiding the mark of Chaos on your flesh is falling apart and cruel spines sprout once more from your skin.;;;;;;;;;;;;;;
EVTDESCEspleasure91;Something must have backfired in your spell. The woven incantation hiding the mark of Chaos on your flesh is falling apart and twisted horns sprout once more from your forehead.;;;;;;;;;;;;;;
EVTDESCFspleasure91;Something must have backfired in your spell. The woven incantation hiding the mark of Chaos on your flesh is falling apart and sharp scales cut their way over your skin once more.;;;;;;;;;;;;;;
EVTDESCGspleasure91;Something must have backfired in your spell. The woven incantation hiding the mark of Chaos on your flesh is falling apart and the third eye opens again on your forehead.;;;;;;;;;;;;;;
EVTDESCHspleasure91;Something must have backfired in your spell. The woven incantation hiding the mark of Chaos on your flesh is falling apart, you frantically try to speak as the long blackened tongue sprouts once more from your mouth.;;;;;;;;;;;;;;
EVTDESCIspleasure91;Something must have backfired in your spell. The woven incantation hiding the mark of Chaos on your flesh is falling apart and rough crests sprout once more to cover your head.;;;;;;;;;;;;;;
EVTOPTAspleasure91;Curses!;;;;;;;;;;;;;;
EVTDESCspleasure94;You've chosen to focus your delightful attention unto your [GetFromRelation] [From.GetFirstName]. What do you think would you be best to improve [From.GetHerHis] character?;;;;;;;;;;;;;;
EVTOPTAspleasure94;I don't like how [From.GetSheHe] looks.;;;;;;;;;;;;;;
EVTOPTBspleasure94;I don't like how [From.GetSheHe] behaves.;;;;;;;;;;;;;;
EVTOPTCspleasure94;I've changed my mind, [From.GetSheHe] bores me.;;;;;;;;;;;;;;
EVTDESCAspleasure97;[From.GetFirstName] is certainly a champion in excess and indulgence. There's little [From.GetSheHe] won't try for the sake of pleasure.;;;;;;;;;;;;;;
EVTDESCBspleasure97;[From.GetFirstName] is no stranger to the sublime search for pleasure, taking risks and frequently trying to reach new forms of excess.;;;;;;;;;;;;;;
EVTDESCCspleasure97;It can be argued [From.GetFirstName] has a few interesting quirks, but [From.GetSheHe] overall sports a dull character, still too shy to experience true pleasure.;;;;;;;;;;;;;;
EVTDESCDspleasure97;[From.GetFirstName] has to be one of the dullest persons in the world. Exceeding neither in vice nor in virtue, [From.GetSheHe] might certainly be in need for some improvement.;;;;;;;;;;;;;;
EVTDESCEspleasure97;[From.GetFirstName] is not known for any specific virtue, but [From.GetSheHe] appears to have no experience in the delights of excess, either. This seems to be little short of an average person.;;;;;;;;;;;;;;
EVTDESCFspleasure97;[From.GetFirstName] has certainly a reputation for intransigent behaviour and a prudish attitude. Someone really in need of dedicated attention.;;;;;;;;;;;;;;
EVTDESCGspleasure97;[From.GetFirstName] is a pure and kind soul, dull and prudish, unable to understand the joys of real life. It will take a lot of effort to pierce [From.GetHerHis] stuck up attitude.;;;;;;;;;;;;;;
EVTDESCHspleasure97;[From.GetFirstName] has such a plain and transparent reputation, it almost fascinates, in a way. This has to be one of the purest creatures in the entire world, well worthy of some retouching.;;;;;;;;;;;;;;
EVTOPTAspleasure97;*Flatter [From.GetHerHim]*;;;;;;;;;;;;;;
EVTOPTBspleasure97;*Shame [From.GetHerHim]*;;;;;;;;;;;;;;
EVTOPTCspleasure97;*Bash [From.GetHerHim]*;;;;;;;;;;;;;;
EVTOPTDspleasure97;*Tempt [From.GetHerHim]*;;;;;;;;;;;;;;
EVTOPTEspleasure97;*Trick [From.GetHerHim]*;;;;;;;;;;;;;;
EVTOPTFspleasure97;*Traumatize [From.GetHerHim]*;;;;;;;;;;;;;;
EVTDESCspleasure98;Your [GetFromRelation] [From.GetFirstName] has spent a lot of time in the past days praising your good looks, claiming your features are falling just short of perfection.;;;;;;;;;;;;;;
EVTOPTAspleasure98;Of course, that's how it is.;;;;;;;;;;;;;;
EVTOPTBspleasure98;I think you're overstating things.;;;;;;;;;;;;;;
EVTDESCspleasure98001;You could hardly believe what your heard when [GetFromRelation] [From.GetFirstName] questioned your appearance openly. Now it looks like it won't even be the last time [From.GetSheHe] spouts shrouded insults to your looks.;;;;;;;;;;;;;;
EVTOPTAspleasure98001;I cannot deny it, [From.GetSheHe]'s right.;;;;;;;;;;;;;;
EVTOPTBspleasure98001;How dare [From.GetSheHe]?;;;;;;;;;;;;;;
EVTDESCspleasure98002;Your [GetFromRelation] [From.GetFirstName] just summoned you and spent a good hour reprimanding you publicly, yelling your appearance is disgraceful and that you must do something to improve it.;;;;;;;;;;;;;;
EVTOPTAspleasure98002;Yes, I will!;;;;;;;;;;;;;;
EVTOPTBspleasure98002;I don't like your tone.;;;;;;;;;;;;;;
EVTDESCspleasure98003;Your [GetFromRelation] [From.GetFirstName] approached you in the last days, speaking about shared interests, but the more you are with [From.GetHerHim] the more [From.GetSheHe] seems to diverge to some unpleasant topics, as if [From.GetSheHe] were trying to encourage you to delve into such repulsive thoughts.;;;;;;;;;;;;;;
EVTOPTAspleasure98003;A little experimentation couldn't hurt.;;;;;;;;;;;;;;
EVTOPTBspleasure98003;That's disgusting. Keep it to yourself.;;;;;;;;;;;;;;
EVTDESCspleasure98004;You're not sure what your [GetFromRelation] [From.GetFirstName] is up to, but in the last days there have been some strange rumours running in the court, with people asking you strange questions about unclean business.;;;;;;;;;;;;;;
EVTOPTAspleasure98004;Tell me more.;;;;;;;;;;;;;;
EVTOPTBspleasure98004;I... have nothing to say on those matters.;;;;;;;;;;;;;;
EVTDESCspleasure98005;Your [GetFromRelation] [From.GetFirstName] caught you completely off guard in the night, hiding inside your chambers and springing out when you were about to sleep. You can barely think of what [From.GetSheHe] tried to do, it was so obscene.;;;;;;;;;;;;;;
EVTOPTAspleasure98005;I'll do anything, just stop!;;;;;;;;;;;;;;
EVTOPTBspleasure98005;Wh-?! Get out!;;;;;;;;;;;;;;
EVTDESCAspleasure99;Your [GetFromRelation] [From.GetFirstName] seems to be responsive to your flattery and, even better, [From.GetSheHe] has shown to accept there might be room for improvement on [From.GetHerHis] looks.;;;;;;;;;;;;;;
EVTDESCBspleasure99;Your [GetFromRelation] [From.GetFirstName] did not care much for flattery, keeping a humble and detached demeanour and giving no importance to the suggestions to improve [From.GetHerHis] looks.;;;;;;;;;;;;;;
EVTOPTAspleasure99;You're just too plain.;;;;;;;;;;;;;;
EVTOPTBspleasure99;You're just too thin.;;;;;;;;;;;;;;
EVTOPTCspleasure99;You're just too fat.;;;;;;;;;;;;;;
EVTDESCAspleasure99001;Your [GetFromRelation] [From.GetFirstName] seems to be finally aware of [From.GetHerHis] terrible state, thanks to your sharp comments and allusions made within [From.GetHerHis] earshot. More to the point, [From.GetSheHe] seems to be open to attempt some improvement.;;;;;;;;;;;;;;
EVTDESCBspleasure99001;Your [GetFromRelation] [From.GetFirstName] stubbornly refuses to listen to your precious suggestions about [From.GetHerHis] looks, regardless of how shameful you depict [From.GetHerHis] situation as.;;;;;;;;;;;;;;
EVTOPTAspleasure99001;You're just too plain.;;;;;;;;;;;;;;
EVTOPTBspleasure99001;You're just too thin.;;;;;;;;;;;;;;
EVTOPTCspleasure99001;You're just too fat.;;;;;;;;;;;;;;
EVTDESCAspleasure99002;Your scolding did good to [From.GetFirstName], [From.GetSheHe] finally understands how pitiful [From.GetHerHis] state is and seems eager to improve it.;;;;;;;;;;;;;;
EVTDESCBspleasure99002;You tried to bash your [GetFromRelation], but [From.GetFirstName] shamelessly rebuked your insults, ignoring all the valid points against [From.GetHerHis] looks you made.;;;;;;;;;;;;;;
EVTOPTAspleasure99002;You're just too plain.;;;;;;;;;;;;;;
EVTOPTBspleasure99002;You're just too thin.;;;;;;;;;;;;;;
EVTOPTCspleasure99002;You're just too fat.;;;;;;;;;;;;;;
