#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#################
# RETINUE UNITS #
#################
#
# IMPERIALS
#
RETTYPE_ST_SWORDSMEN;Swordsmen State Troop;;;;;;;;;;;;;x
RETTYPE_ST_SPEARMEN;Spearmen State Troop;;;;;;;;;;;;;x
RETTYPE_ST_HALBERDIERS;Halberdier State Troop;;;;;;;;;;;;;x
RETTYPE_ST_GREATSWORDS;Greatsword State Troop;;;;;;;;;;;;;x
RETTYPE_ST_ARCHERS;Archer State Troop;;;;;;;;;;;;;x
RETTYPE_ST_CROSSBOWS;Crossbow State Troop;;;;;;;;;;;;;x
RETTYPE_ST_OUTRIDER;Outrider State Troop;;;;;;;;;;;;;x
RETTYPE_ST_KNIGHTS;Imperial Knight;;;;;;;;;;;;;x
RETTYPE_ST_HANGUNNERS;Hangunner State Troop;;;;;;;;;;;;;x
RETTYPE_DEATHWATCH;Deathwatch;;;;;;;;;;;;;x
RETTYPE_NORDLANDERBESERKERS;Nordlander Beserkers;;;;;;;;;;;;;x
RETTYPE_BEASTHUNTERS;Beast Hunters Company;;;;;;;;;;;;;x
RETTYPE_AVERLANLANDSKNECHT;Averlander Landsknecht;;;;;;;;;;;;;x
RETTYPE_MIDDENLANDGREAT;Carroburg Greatsword Company;;;;;;;;;;;;;x
RETTYPE_FORLORNHOPE;Forlorn Hope Company;;;;;;;;;;;;;x
RETTYPE_SOLBLACKRIDER;Black Rider;;;;;;;;;;;;;x
RETTYPE_REIKSGUARD;Reiksguard Knight;;;;;;;;;;;;;x
RETTYPE_LONGRIFLES;Long Rifle Company;;;;;;;;;;;;;x
RETTYPE_OSTLANDEROGRES;Ogre Company;;;;;;;;;;;;;x
RETTYPE_PIKESQUARE;Pike-and-Shot Company;;;;;;;;;;;;;x
RETTYPE_WESTERLANDMARINES;Westerlander Marine Company;;;;;;;;;;;;;x
RETTYPE_WISSENGUN;Nuln Repeater;;;;;;;;;;;;;x
RETTYPE_WISSENARTY;Nuln Artillery;;;;;;;;;;;;;x
#
# RELIGIOUS
#
RETTYPE_SIGMARMONKS;Warrior Priests of Sigmar;;;;;;;;;;;;;x
RETTYPE_WOLFULRIC;Wolves of Ulric;;;;;;;;;;;;;x
RETTYPE_GREENHATS;Company of the Green Hat;;;;;;;;;;;;;x
RETTYPE_DRUIDS;Druids of the Secret Fire;;;;;;;;;;;;;x
RETTYPE_STORMGUARD;Stormguard;;;;;;;;;;;;;x
#
# SUDENBURG
#
RETTYPE_SUDINFBLOCK;Imperial Free Company;;;;;;;;;;;;;x
RETTYPE_SUDHEVINFBLOCK;Imperial Infantry Company;;;;;;;;;;;;;x
RETTYPE_SUDCAVBLOCK;Imperial Cavalry Company;;;;;;;;;;;;;x
RETTYPE_SUDGUNBLOCK;Imperial Gunner Company;;;;;;;;;;;;;x
RETTYPE_SUDARTYBLOCK;Imperial Artillery Company;;;;;;;;;;;;;x
RETTYPE_SUDELEPHANT;Imperial Elephant Company;;;;;;;;;;;;;x
#
# HALFLINGS
#
RETTYPE_HALFLINGCHEF;Crazy Chef;;;;;;;;;;;;x
RETTYPE_HALFLINGTRACKER;Halfling Tracker;;;;;;;;;;;;x
RETTYPE_HALFLINGPANTRY;Pantry Guard;;;;;;;;;;;;x
RETTYPE_HALFLINGWAR;War Sheep Rider;;;;;;;;;;;;x
RETTYPE_HALFLINGRAM;Battle Ram Rider;;;;;;;;;;;;x
RETTYPE_HALFLINGHOTPOT;Hot Pot Catapult;;;;;;;;;;;;x
