############
# RETINUES #
############
###ÄNSI
#
# AMAZON RETINUES
#
amazon_spearmaiden;Amazon Spear Maidens;;;;;;;;;;;;;x
amazon_beast_mistress;Amazon Beast Mistresses;;;;;;;;;;;;;x
amazon_temple_guards;Amazon Temple Guards;;;;;;;;;;;;;x
#
# ARABYAN RETINUES
#
RETTYPE_CUL_ARABY_4;Bel-Sheikk Cavalry;;;;;;;;;;;;;x
RETTYPE_CUL_ARABY_5;Flying Carpets;;;;;;;;;;;;;x
RETTYPE_CUL_ARABY6;Elite Jannisaries;;;;;;;;;;;;;x
RETTYPE_CUL_ARABY7;Phoenix Bombards;;;;;;;;;;;;;x
RETTYPE_CUL_ARABY8;Southland War Elephants;;;;;;;;;;;;;x
RETTYPE_CUL_ARABY9;Southlander Champion Shortbows;;;;;;;;;;;;;x
RETTYPE_CUL_ARABY10;Tirian Purple Shield-Bearers;;;;;;;;;;;;;x
#
# ASUR RETINUES
#
tiranocchariots;Tiranoc Chariots;;;;;;;;;;;;;x
lothernseaguard;Lothern Seaguard;;;;;;;;;;;;;x
dragonprinces;Dragon Princes of Caledor;;;;;;;;;;;;;x
shadowwarriors;Shadow Warriors;;;;;;;;;;;;;x
swordmasters;Swordmasters of Hoeth;;;;;;;;;;;;;x
whitelions;White Lions of Chrace;;;;;;;;;;;;;x
ellyrian_reavers;Ellyrian Reavers;;;;;;;;;;;;;x
elvenspearmen;Elven Spearmen;;;;;;;;;;;;;x
elvenarchers;Elven Archers;;;;;;;;;;;;;x
silverhelms;Silver Helm Knights;;;;;;;;;;;;;x
sistersofavelorn;Sisters Of Avelorn;;;;;;;;;;;;;x
#
# ASRAI RETINUES
#
RETTYPE_CUL_ASRAI1;Asrai Deepwood Scouts;;;;;;;;;;;;;x
RETTYPE_CUL_ASRAI2;Kithband Warriors;;;;;;;;;;;;;x
RETTYPE_CUL_ASRAI3;Kithband Riders;;;;;;;;;;;;x
RETTYPE_CUL_ASRAI4;Wildwood Rangers;;;;;;;;;;;;;x
RETTYPE_CUL_ASRAI5;Eternal Guard;;;;;;;;;;;;;x
RETTYPE_CUL_ASRAI6;Wardancers;;;;;;;;;;;;;x
RETTYPE_CUL_ASRAI7;Wild Riders;;;;;;;;;;;;;x
RETTYPE_CUL_ASRAI8;Sisters of Thorn;;;;;;;;;;;;;x
