# LAST EDIT: 22/08/2020 - MITSU
###################
# SARTOSAN/PIRATE #
###################
###ÄNSI
#
# SARTOSAN/PIRATE TRAITS
#
buccaneer;Buccaneer;;;;;;;;;;;;x
buccaneer_desc;This man has earned his reputation as a dreaded pirate and corsair.;;;;;;;;;;;;x
#
# SARTOSAN/PIRATE TRAITS DECISIONS
#
create_plunder_fleet;Create Plunder Fleet;;;;;;;;;;;;x
create_plunder_fleet_desc;You can finance [Root.GetFirstName], one of blaggards in your court and grant [Root.GetHerHim] command of a fleet to plunder in your name. While not vassalized, [Root.GetSheHe] will plunder nearby lands and send the booty back to you, this is, assuming [Root.GetSheHe] likes you well enough...;;;;;;;;;;;;x
#
# SARTOSAN/PIRATE TRAITS EVENTS
#
EVTDESC_DR_pirates_1;The plundering and looting undertaken by your fleets has earned you a reputation as a fearsome pirate. All along the seas of the world, mothers tucking their children in for the night warn that unless they behave, the terrible Captain [Root.GetFirstName], scourge of the seven seas, will come ashore with [Root.GetHerHis] dire seadogs and take them away.;Les pillages commis en votre nom vous ont valu une réputation de redoutable razzieur fer-né. Tout le long des côtes de Westeros, les mères bordent leurs enfants le soir en leur disant que s'ils ne sont pas sages, le terrible [Root.GetFirstName], le fléau des mers, débarquera avec ses guerriers morts-vivants pour les manger.;Das Brandschatzen und Plündern in Eurem Namen hat Euch den Ruf eines furchtlosen Wikinger-Räubers eingebracht. An allen Küsten Europas bringen Mütter ihre Kinder abends zu Bett und flüstern Warnungen, dass der Schrecken [Root.GetFirstName], die Geißel der Meere, mit seinen untoten Kriegern kommen und sie fressen wird, wenn sie sich nicht benehmen.;;El pillaje y el saqueo llevado a cabo en tu nombre te ha dado una reputación de temible asaltante Vikingo. A lo largo de las costas de Europa, las madres advierten a sus hijos cuando llega la noche que si no se comportan, el terrible [Root.GetFirstName], castigo de los mares, llegará a tierra con sus guerreros muertos vivientes y se los comerán.;;;;;;;;;;;;x
EVTOTPA_DR_pirates_1;Arrr, mateys!;;;;;;;;;;;;x
EVTDESC_DR_pirates_18;You were sailing the seas around [Root.Location.GetName], a location known to be targetted by pirates, when a small fleet of ships was spotted sailing for you. The crew quickly realise that is indeed a pirate fleet, but is too late. Your ship is captured, along with all of its crew, and you the biggest prize.;Vous naviguiez à proximité de [Root.Location.GetName], un endroit connu pour être infesté de pirates, lorsque vous avez aperçu une petite flotte de bateaux. L'équipe a très vite réalisé qu'il s'agissait de pirates, mais il était trop tard. Votre navire a été capturé, tout comme son équipage... et vousè-même. Vous êtes sûrement la prise qui a le plus de valeur.;;;;;;;;;;;;x
EVTOPTA_DR_pirates_18;I hope this [From.GetTitle] accepts a ransom;J'espère que [From.GetTitle] acceptera une rançon.;;;;;;;;;;;;x
EVTDESC_DR_pirates_19;A small flotilla commanded by one of your lesser captains was prowling the seas near [From.Location.GetName] when they came upon a lightly defended ship. The captain reports that the ship and crew were captured without much trouble, and that one particularly noble passenger was found. [From.GetSheHeCap] identifies [From.GetHerHim]self [From.GetTitledFirstName] [From.GetOnlyDynastyName].;Une petite flotille commandée par l'un de vos capitaines rôdait sur les mers près de [From.Location.GetName] lorsqu'elle a rencontré un navire légèrement défendu. Le capitaine dit que le navire et l'équipage ont été capturés sans grandes difficultés et qu'un passage noble s'y trouvait. [From.GetSheHeCap] dit être [From.GetTitledFirstName] [From.GetOnlyDynastyName].;;;;;;;;;;;;x
EVTOPTA_DR_pirates_19;Good work, a most valuable prisoner;Bien joué, une prise de valeur.;;;;;;;;;;;;x
EVTDESC_DR_pirates_20;We have had reports that a great misfortune has befallen to your [GetFromRelation] [From.GetTitledFirstName] [From.GetOnlyDynastyName]. [From.GetSheHeCap] had been sailing the seas near [From.Location.GetName] when they were attacked by a flotilla of pirates! [From.GetTitledFirstName] and the crew are now reportedly in the captivity of [FromFrom.GetTitledFirstName].;Nous avons reçu de mauvaises nouvelles concernant votre [GetFromRelation] [From.GetTitledFirstName] [From.GetOnlyDynastyName]. [From.GetSheHeCap] naviguait près de [From.Location.GetName] lorsque son navire a été attaqué par une flotille pirate ! [From.GetTitledFirstName] et son équipage sont aux mains de [FromFrom.GetTitledFirstName].;;;;;;;;;;;;x
EVTOPTA_DR_pirates_20;This [FromFrom.Culture.GetName] menace must be stopped;Cette menace [FromFrom.Culture.GetName] doit cessée.;;;;;;;;;;;;x
#
# SARTOSAN/PIRATE OPINION MODIFIERS
#
sartosan_group_opinion;Sartosan Opinion;;;;;;;;;;;;;x
pirate_opinon;Pirate Opinion;;;;;;;;;;;;;x
#
# SARTOSAN/PIRATE GOVERNMENTS
#
pirate_government;Pirate Fleet;;;;;;;;;;;;x
pirate_government_desc;Pirate fleets are alliances of multiple pirate crews banded together under a common flag and a single leader they have chosen to follow for strength of numbers, loyalty, or just a demonstrated ability of their elected leader to gather booty. The collection of crews within the fleet are of diverse nature, being seabound bandits, professional privateers working for the benefit of another, merchants deciding to pay in steel and shot instead of gold and silver, or even the military of a realm itself engaged in plundering their political rivals. The individual crews within the fleet are highly autonomous and come to the aid of their leader when called upon to put together a mightly piratical armada under the black flag.;;;;;;;;;;;;x
#
# SARTOSAN/PIRATE DUMP
#
DYNAMIC_PIRATE_PLUNDER_FLEET;[Root.GetFirstName]'s Plunder Fleet;;;;;;;;;;;;x
