##########
# SKAVEN #
##########
###ÄNSI
#Society
eshin_society;Clan Eshin;;;;;;;;;;;;;x
eshin_society_desc;This mysterious Clan has eyes and ears everywhere and its deadly operatives are scattered throughout the Under-Empire as well as secreted about within the cities and settlements of the surface dwellers. For the right price, the black-clad agents of Clan Eshin will steal any information, commit any act of ruthless sabotage or assassinate any rival with ruthless efficiency.;;;;;;;;;;;;;x
eshin_society_rank_4_male;Deathmaster;;;;;;;;;;;;;x
eshin_society_rank_3_male;Eshin Assassin;;;;;;;;;;;;;x
eshin_society_rank_2_male;Death Runner;;;;;;;;;;;;;x
eshin_society_rank_1_male;Gutter Runner;;;;;;;;;;;;;x
eshin_society_rank_4_female;Eshin Broodmother;;;;;;;;;;;;;x
eshin_society_rank_3_female;Eshin Broodmother;;;;;;;;;;;;;x
eshin_society_rank_2_female;Eshin Broodmother;;;;;;;;;;;;;x
eshin_society_rank_1_female;Eshin Broodmother;;;;;;;;;;;;;x
currency_name_eshin_society;Sneekyness;;;;;;;;;;;;;x
#
# SKAVEN TRAITS
#
creature_skaven;Skaven;;;;;;;;;;;;;x
creature_skaven_desc;This character is a Skaven. Skaven are verminous rat-men who wish to conquer the world.;;;;;;;;;;;;;x
white_skaven;White Skaven;;;;;;;;;;;;;x
white_skaven_desc;When a Skaven is born of the pure silvery hide of the Horned Rat, he must be taken away from his inferior siblings and dutifully trained to become one of the most noble and excellent Prophets of the Horned Rat: a Grey Seer.\n §C- Grey Seer Skreelin Thurntik§!\n;;;;;;;;;;;;;x
black_skaven;Black Skaven;;;;;;;;;;;;;x
black_skaven_desc;A Skaven born of black is a good omen, yes-yes! He'll grow strong and eager to maim-kill many things. These sort of Skaven are good to make Stormvermin and Assassins.\n §C- Grey Seer Skreelin Thurntik§!\n;;;;;;;;;;;;;x
warlock_engineer;Warlock Engineer - §GBattle Magic Pool([This.MagicPool.GetValue]/[This.MagicPoolMax.GetValue])§!;;;;;;;;;;;;;x
warlock_engineer_desc;The most ingenious engineers of Clan Skryre make-build great and powerful tecnology, much more powerful than stupid dwarf-things!\n §C- Grey Seer Skreelin Thurntik§!\n\n§GSummons Spell Units during battles§!;;;;;;;;;;;;;x
master_moulder;Master Moulder;;;;;;;;;;;;;x
master_moulder_desc;The Lords of Clan Moulder brew-spawn many beast-things for the glory of the Underempire: Rattogres, Giant Rats, and many more-more kill-things.\n §C- Grey Seer Skreelin Thurntik§!\n;;;;;;;;;;;;;x
plaguelord;Plaguelord;;;;;;;;;;;;;x
plaguelord_desc;Foolish Plaguelords don't know the true nature-being of the Horned Rat and make fun-mock of his MOST holy representatives on Earth: the Grey Seers. They shall soon-soon learn the price of their blasphemy, yes-yes!\n §C- Grey Seer Skreelin Thurntik§!\n;;;;;;;;;;;;;x
eshin_assassin;Assassin;;;;;;;;;;;;;
eshin_assassin_desc;Assassins are most precious tools for the great Council of Thirteen, they kill many stupid Skaven and many-many man-things for us, sneakily and quickly.\n §C- Grey Seer Skreelin Thurntik§!\n ;;;;;;;;;;;;;x
council_warlord;Grey Lord;;;;;;;;;;;;;x
council_warlord_desc;Thirteen seats build-make the great Council of the Underempire, twelve most powerful and most cunning Skaven sit in it, but only our true Master and Lord of Decay sits on the Thirteenth for ALL time-times!\n §C- Grey Seer Skreelin Thurntik§!\n;;;;;;;;;;;;;x
grey_seer;Grey Seer;;;;;;;;;;;;;x
grey_seer_desc;We are the Chosen Ones of our one True Master, marked on birth with His pure white mane and His most magnificent spiraling horns. We who are gifted with his dreadful magic, we who speak His Word-Word, we who hear His Thoughts, we who know His Will, we who enact His Plot-Plots... We TRULY are-are the most magnificent, most beautiful, most cunning, most marvelous, most powerful and intelligent amongst all Skaven, true paragons of all that the glorious Underempire stands for-for!\n §C- Grey Seer Skreelin Thurntik§!\n;;;;;;;;;;;;;x
skaven_breeder;Breeder;;;;;;;;;;;;;x
skaven_breeder_desc;There are no Skaven females, only Skaven breeders.\n §C- Grey Seer Skreelin Thurntik§!\n;;;;;;;;;;;;;x
elite_stormvermin;Elite Stormvermin;;;;;;;;;;;;;
elite_stormvermin_desc;Black of fur-fur, they are the Skaven chosen since birth to become the perfect warriors. Trained to fight and die for their masters, the Stormverimn are equipped with the best weapons and armours that the Lords of Decay can bestow unto them-them. On the battlefields they have no equal, for they are trained for unending war-war and to crave for the blood of their foes-foes.\n §C- Grey Seer Skreelin Thurntik§!\n;;;;;;;;;;;;;
lore_vermin;Verminlore - §GBattle Magic Pool([This.MagicPool.GetValue]/[This.MagicPoolMax.GetValue])§!;;;;;;;;;;;;;
lore_vermin_desc;The great power of the most holiest Horned Rat grants us chosen Seers the devastating energies of Plague and Ruin to plunge-plunge our enemies in utter despair-pair!\n §C- Grey Seer Skreelin Thurntik§!\n\n§GSummons Spell Units during battles§!;;;;;;;;;;;;;
#
# SKAVEN COATS OF ARMS
#
coa_plain_skaven;Plain;;;;;;;;;;;;;
#
# SKAVEN CHARACTER MODIFIERS
#
warpstone_frenzy;Warpstone Frenzy;;;;;;;;;;;;;
warpstone_frenzy_desc;The world is in this character's grasp! They can feel it! They will rule reality and squash their enemies with a mere flinch of the tips of their fingers!;;;;;;;;;;;;;
#
# SKAVEN PROVINCE MODIFIERS
#
skaven_burrows;Skaven Burrows;;;;;;;;;;;;x
skaven_burrows_desc;While this province's Skaven population is mostly leaderless and disorganized, they remain a threat, planning in their burrows for a chance to rise against the surfacers again. Marshal of this province's ruler will eventually try to organize an expedition to eradicate them.;;;;;;;;;;;;x
skaven_unoptimized_demesne;Congested Province;;;;;;;;;;;;;
skaven_unoptimized_demesne_desc;Aah! Too many Skaven, not enough Pawnleaders! Nobody knows what to do, great leader! Where are we going?! What are we supposed to eat-eat?!;;;;;;;;;;;;;
#
# SKAVEN CB TYPES
#
skaven_tributary_cb_desc;?Y$CLAIMANT$?! is the greatest Skaven ever! Foolish interlopers think they can steal the celebrated spot from him? Ah! He'll teach-kill them, for good! Then they'll be his servants, yes-yes!;;;;;;;;;;;;;
CB_NAME_SKAVEN_TRIBUTARY;Skaven Subjugation;;;;;;;;;;;;;
WAR_NAME_SKAVEN_TRIBUTARY;$ORDER$$FIRST_ADJ$ Skaven Subjugation of $OTHER_TITLE$;;;;;;;;;;;;;
skaven_county_conquest_desc;Skaven can freely conquer and vassalize counties held by other Skaven with little to no truce and no repercussions.;;;;;;;;;;;;;
skaven_foreignconquest_desc;Pitiful surfacers, manthings, dwarfthings, greenthings, elfthings... they will all become food and slaves for their Skaven masters one day!;;;;;;;;;;;;;
CB_NAME_DUCHY_SKAVEN;Surfacer Conquest of [Title.GetBaseName];;;;;;;;;;;;;
WAR_NAME_DUCHY_SKAVEN;$ORDER$$FIRST_ADJ$ Surfacing of $OTHER_TITLE$;;;;;;;;;;;;;
underempire;Underempire;;;;;;;;;;;;;
underempire_conquest_desc;The dark underground tunnels plagued by the ratmen are a narrow and dangerous place, almost inaccessible for any other creature.;;;;;;;;;;;;;
CB_NAME_UNDEREMPIRE_CONQUEST;Underground Expedition;;;;;;;;;;;;;
WAR_NAME_UNDEREMPIRE_CONQUEST;$ORDER$$FIRST_ADJ$ Underground Expedition of $OTHER_TITLE$;;;;;;;;;;;;;
#
# SKAVEN DECISIONS
#
cleanse_skaven_presence;Cleanse Skaven Presence;;;;;;;;;;;;x
cleanse_skaven_presence_desc;The verminous mark of the Skaven still remains in this province. With a little founding you could call for an expedition to eliminate them entirely from the area.;;;;;;;;;;;;x
skaven_flip_flopping;Flip Clan;;;;;;;;;;;;;x
skaven_flip_flopping_desc;Too dangerous to stand for a Clan that is not supported by the local Warlord, no-no.;;;;;;;;;;;;;x
acquire_warpstone;Acquire Warpstone Dust;;;;;;;;;;;;;x
acquire_warpstone_desc;Pay useless money to gain most precious warpstone and achieve your destiny!;;;;;;;;;;;;;x
skaven_demagogy;Intimidate subjects;;;;;;;;;;;;;x
skaven_demagogy_desc;What-what!?! Useless minions! Do you not know that my Clan is the greatest smartest most powerful in Skavendom? And that I'll have kill-killed whoever doesn't agree with me?;;;;;;;;;;;;;x
eat_warpstone;Eat Warpstone;;;;;;;;;;;;;x
eat_warpstone_desc;Consume the precious warpstone and gain the power to rule the world-world!;;;;;;;;;;;;;x
skaven_gain_claim;Project Claim;;;;;;;;;;;;;x
skaven_gain_claim_desc;Your Leader is your Leader, but shouldn't you really be the one in charge? Surely you are smarter, stronger, better in any way than that idiot you call Master. Surely you have every right-right to take his place...;;;;;;;;;;;;;x
snatch_breeder;Snatch Breeder;;;;;;;;;;;;;x
snatch_breeder_desc;All your Breeders are belong to us!;;;;;;;;;;;;;x
