#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
# Last Edit: 11.28.17 -Komioski
#########
# TRADE #
#########

silk_road_province_desc;Can only build §YSilk Road Trade Posts§! in certain Counties along the §YSilk Road§!\n   Open the §YTrade Zones Mapmode§! to see valid Counties;Peut seulement construire des §YComptoirs de la Route de la Soie§! dans certains comtés traversés par la §YRoute de la Soie§!\n   Ouvrir le mode carte §YZones marchandes§! pour voir les comtés valides;Kann §YSeidenstraßen-Handelsposten§! nur in bestimmten Grafschaften entlang der §YSeidenstraße§! errichten\n     Um gültige Grafschaften zu sehen, öffne den §YHandelszonen-Kartenmodus§!;;Solo se pueden construir §YPuestos comerciales de la Ruta de la Seda§! en ciertos condados a lo largo de la §YRuta de la Seda§!\nAbre el mapa de §YMapa de zonas comerciales§! para ver condados válidos;;;;;;;;;x


#TRADE ROUTES

empire_roads;Empire Trade Network;;;;;;;;;;;;;x
khyprian_road;Khyprian Road;;;;;;;;;;;;;x
silver_road;Silver Road;;;;;;;;;;;;;x
sea_of_claws;Sea of Claws;;;;;;;;;;;;;x
east_roads;Grimway;;;;;;;;;;;;;x
golden_sands;Golden Trail;;;;;;;;;;;;;x
coastal_routes;Spice Route;;;;;;;;;;;;;x
underway;Ungdrin Ankor;;;;;;;;;;;;;x
ulthuan_exterior;Outer Kingdoms;;;;;;;;;;;;;x
ulthuan_interior;Inner Kingdoms;;;;;;;;;;;;;x
lustrian_jungle;Jungle Paths;;;;;;;;;;;;;x
slave_road;The Chill Road;;;;;;;;;;;;;x

#TRADE BUILDINGS

tr_caravan_guard_1;Caravan Guard;;;;;;;;;;;;;x
tr_caravan_guard_2;Caravan Guard;;;;;;;;;;;;;x
tr_caravan_guard_1_desc;A mobile garrison accompanies the caravans from this outpost on their journey through Araby.;;;;;;;;;x
tr_slavepens_1;Slave Pens;;;;;;;;;;;;;x
tr_slavepens_2;Slave Pens;;;;;;;;;;;;;x
tr_slavepens_3;Slave Pens;;;;;;;;;;;;;x
tr_slavepens_1_desc;Here, slaves are corraled into various stocks and pens, awaiting their fates, weither it be to die toiling in mines, dying in battle, or worse yet, becoming another plaything for their new Druchii masters.;;;;;;;;;x
tr_mines_1;Slave Mines;;;;;;;;;;;;;x
tr_mines_2;Slave Mines;;;;;;;;;;;;;x
tr_mines_3;Slave Mines;;;;;;;;;;;;;x
tr_mines_1_desc;Here the slaves of Naggarond toil in the mines. They provide essential labor for their Druchii masters, extracting the resources they need to build their grand cities and temples.;;;;;;;;;x
tr_fields_1;Slave Fields;;;;;;;;;;;;;x
tr_fields_2;Slave Fields;;;;;;;;;;;;;x
tr_fields_3;Slave Fields;;;;;;;;;;;;;x
tr_fields_1_desc;Here the slaves of Naggarond toil in the fields. They provide essential labor for their Druchii masters, harvesting the food they need to survive.;;;;;;;;;x
tr_slaveport_1;Slave Wharf;;;;;;;;;;;;;x
tr_slaveport_2;Slave Harbour;;;;;;;;;;;;;x
tr_slaveport_3;Slave Port;;;;;;;;;;;;;x
tr_slaveport_1_desc;Home to the Black Ark Corsairs, these ports are bustiling with trade, but most of the trade that does go on is between slavers and their products.;;;;;;;;;x
tr_ritual_totems_1;Ritual Totems;;;;;;;;;;;;;x
tr_ritual_totems_2;Ritual Totems;;;;;;;;;;;;;x
tr_ritual_totems_3;Ritual Totems;;;;;;;;;;;;;x
tr_ritual_totems_1_desc;The magic of the old ones permeate the jungles of Lustria. The hidden trails of the lizardmen are marked by totems of this ancient power.;;;;;;;;;x
tr_guild_keep_1;Guild Keep;;;;;;;;;;;;;x
tr_guild_keep_2;Guild Stronghold;;;;;;;;;;;;;x
tr_guild_keep_3;Guild Fortress;;;;;;;;;;;;;x
tr_guild_keep_1_desc;A garrison of veteran warriors keep vigilance over the gates to the underway and the surrounding area. While small bands of scouts patrol the tunnels of the deep road.;;;;;;;;;x
tr_whaling_village_1;Whaling Village;;;;;;;;;;;;;x
tr_whaling_village_1_desc;Norscan Whalers are not just typical hunters, they are also well-abled warriors. Since whaling is an important trade for Norsca, Whalers are respected even among the warriors due to the extreme dangers of the waters surronding Norsca. Swimming through the dark currents of the Sea of Claws are massive whales, many of which bear strange markings, and odd colouration, twisted and warped as they are by the power of Chaos. These monsters can capsize ships and swallow hundreds of men in a single gulp. Thus, Whalers must be made of sterner stuff than ordinary fishermen;;;;;;;;;x
