# LAST EDIT: 2021/04/11 - SUPERNOVA
##########
# TRAITS #
##########
###ÄNSI
#
# CREATURE TRAITS
#
creature_human;Human;;;;;;;;;;;;;x
creature_human_desc;This character is a Human. Humans are extremely varied and can do almost anything, but are vulnerable to age, disease and mutation.;;;;;;;;;;;;;x
creature_elf;Elf;;;;;;;;;;;;;x
creature_elf_desc;This character is an Elf. Elfs are long-lived, potentially for thousands of years, and are fairly resistant to Chaos, but are still capable of being callous, cruel or destructive for other reasons.;;;;;;;;;;;;;x
creature_treekin;Tree Kin;;;;;;;;;;;;;
creature_treekin_desc;At the heart of every Tree Kin resides the soul of a dead elf, though this is not the fate of all. Only the strongest and most driven souls retain enough individuality to become such a creature.;;;;;;;;;;;;;
creature_toad;Toad;;;;;;;;;;;;;
creature_toad_desc;This toad once used to be a person.;;;;;;;;;;;;;
creature_pig;Pig;;;;;;;;;;;;;
creature_pig_desc;This pig used to be a person. Oink!;;;;;;;;;;;;;
creature_monster;Monster;;;;;;;;;;;;;
creature_monster_desc;This is a savage beast, devoid of intellect.;;;;;;;;;;;;;
#
# ESTALIAN/SARTOSAN/TILEAN TRAITS
#
myrmidia_incarnate;Myrmidia Incarnate;;;;;;;;;;;;x
myrmidia_incarnate_desc;This character has been recognized as Myrmidia Incarnate, and ruler of Her restored empire.;;;;;;;;;;;;x
#
# SLAANESHI TRAITS
#
pet_consort;Pet Consort;;;;;;;;;;;;;;
pet_consort_desc;This character has been captured and humiliatingly forced to be subjected to the twisted desires as part of someone's private harem.;;;;;;;;;;;;;;
#
# MOUNT TRAITS
#
mount_dragon;Dragon;;;;;;;;;;;;;x
mount_dragon_desc;This character possesses the services of a dragon.;;;;;;;;;;;;;x
mount_dragon_undead;Undead Dragon;;;;;;;;;;;;;x
mount_dragon_undead_desc;This character possesses the services of a Zombie Dragon.;;;;;;;;;;;;;x
mount_dragon_chaos;Chaos Dragon;;;;;;;;;;;;;x
mount_dragon_chaos_desc;This character possesses the services of a Chaos Dragon.;;;;;;;;;;;;;x
mount_pegasus;Pegasus;;;;;;;;;;;;;x
mount_pegasus_desc;This character possesses the services of a Pegasus.;;;;;;;;;;;;;x
mount_griffon;Griffon;;;;;;;;;;;;;x
mount_griffon_desc;This character possesses the services of a Griffon.;;;;;;;;;;;;;x
mount_unicorn;Unicorn;;;;;;;;;;;;;x
mount_unicorn_desc;This character possesses the services of a Unicorn.;;;;;;;;;;;;;x
mount_great_bear;Great Bear;;;;;;;;;;;;;x
mount_great_bear_desc;This character possesses the services of a Great Near.;;;;;;;;;;;;;x
mount_demigryph;Demigryph;;;;;;;;;;;;;x
mount_demigryph_desc;This character possesses the services of a Demigryph.;;;;;;;;;;;;;x
mount_wyvern;Wyvern;;;;;;;;;;;;;x
mount_wyvern_desc;This character possesses the services of a Wyvern.;;;;;;;;;;;;;x
mount_gigantic_spider;Gigantic Spider;;;;;;;;;;;;;x
mount_gigantic_spider_desc;This character possesses the services of a Gigantic Spider.;;;;;;;;;;;;;x
mount_gigantic_squig;Gigantic Squig;;;;;;;;;;;;;x
mount_gigantic_squig_desc;This character possesses the services of a Gigantic Squig.;;;;;;;;;;;;;x
mount_arachnarok;Arachnarok;;;;;;;;;;;;;x
mount_arachnarok_desc;This character possesses the services of a Arachnarok.;;;;;;;;;;;;;x
mount_hellsteed;Hellsteed;;;;;;;;;;;;;x
mount_hellsteed_desc;This character possesses the services of a Hellsteed.;;;;;;;;;;;;;x
mount_abyssal_terror;Abyssal Terror;;;;;;;;;;;;;x
mount_abyssal_terror_desc;This character possesses the services of a Abyssal Terror.;;;;;;;;;;;;;x
mount_terrorgheist;Terrorgheist;;;;;;;;;;;;;x
mount_terrorgheist_desc;This character possesses the services of a Terrorgheist.;;;;;;;;;;;;;x
mount_coven_engine;Coven Engine;;;;;;;;;;;;;x
mount_coven_engine_desc;This character possesses the services of a Coven Engine.;;;;;;;;;;;;;x
mount_mortis_engine;Mortis Engine;;;;;;;;;;;;;x
mount_mortis_engine_desc;This character possesses the services of a Mortis Engine.;;;;;;;;;;;;;x
mount_black_coach;Black Coach;;;;;;;;;;;;;x
mount_black_coach_desc;This character possesses the services of a Black Coach.;;;;;;;;;;;;;x
mount_war_altar;War Altar;;;;;;;;;;;;;x
mount_war_altar_desc;This character possesses the services of a War Altar.;;;;;;;;;;;;;x
mount_terradon;Terradon;;;;;;;;;;;;;x
mount_terradon_desc;This character possesses the services of a Terradon.;;;;;;;;;;;;;x
mount_stegadon;Stegadon;;;;;;;;;;;;;x
mount_stegadon_desc;This character possesses the services of a Stegadon.;;;;;;;;;;;;;x
mount_cold_one;Cold One;;;;;;;;;;;;;x
mount_cold_one_desc;This character possesses the services of a Cold One.;;;;;;;;;;;;;x
mount_eagle;Eagle;;;;;;;;;;;;;x
mount_eagle_desc;This character possesses the services of a Eagle.;;;;;;;;;;;;;x
mount_stag;Stag;;;;;;;;;;;;;x
mount_stag_desc;This character possesses the services of a Stag.;;;;;;;;;;;;;x
mount_manticore;Manticore;;;;;;;;;;;;;x
mount_manticore_desc;This character possesses the services of a Manticore.;;;;;;;;;;;;;x
mount_daemonic;Daemonic Mount;;;;;;;;;;;;;x
mount_daemonic_desc;This character possesses the services of a Daemonic Steed.;;;;;;;;;;;;;x
mount_juggernaut;Juggernaut;;;;;;;;;;;;;x
mount_juggernaut_desc;This character possesses the services of a Juggernaut.;;;;;;;;;;;;;x
mount_slaanesh_steed;Steed of Slaanesh;;;;;;;;;;;;;x
mount_slaanesh_steed_desc;This character possesses the services of a Beast of Slaanesh.;;;;;;;;;;;;;x
mount_plague_toad;Plague Toad;;;;;;;;;;;;;x
mount_plague_toad_desc;This character possesses the services of a Plague Toad.;;;;;;;;;;;;;x
mount_toad_dragon;Toad Dragon;;;;;;;;;;;;;x
mount_toad_dragon_desc;This character possesses the services of a Toad Dragon.;;;;;;;;;;;;;x
mount_tzeentch_disc;Tzeentch Disc;;;;;;;;;;;;;x
mount_tzeentch_disc_desc;This character possesses the services of a Disc of Tzeentch.;;;;;;;;;;;;;x
mount_war_sphinx;War Sphinx;;;;;;;;;;;;;x
mount_war_sphinx_desc;This character possesses the services of a War Sphinx.;;;;;;;;;;;;;x
mount_thundertusk;Thundertusk;;;;;;;;;;;;;x
mount_thundertusk_desc;This character possesses the services of a Thundertusk.;;;;;;;;;;;;;x
mount_stonehorn;Stonehorn;;;;;;;;;;;;;x
mount_stonehorn_desc;This character possesses the services of a Stonehorn.;;;;;;;;;;;;;x
#
# ARMOUR TRAITS
#
armour_chaos;Armour of Chaos;;;;;;;;;;;;;x
