# LAST EDIT: 2021/04/11 - SUPERNOVA
#############
# ARTIFACTS #
#############
###ÄNSI
#
# ASRAI ARTIFACTS
#
#
# ORION
#
hawks_talon;Hawk's Talon;;;;;;;;;;;;;x
hawks_talon_desc;Crafted from a single smooth span of rare wythelwood, Hawk's Talon is the pinnacle of the huntsman's craft. Of all the Elves, only Orion possesses the incredible strength to draw this weapon. This is as it should be, for as the forest's foremost hunter only he has the skill to wield Hawk's Talon to its fullest effect.;;;;;;;;;;;;;x
spear_of_kurnous;Spear of Kurnous;;;;;;;;;;;;;x
spear_of_kurnous_desc;This spear is a living weapon. It was crafted long ago from the bole of the glorious birch tree that grew in Isha's heavenly garden, and bound with enchantments to nurture and renew its bearer. The Spear of Kurnous is irrevocably bound to its a foe, which he does often. The King in the Woods holds that a true hunter can bring down any prey with a spear as easily as a bow, and ever seeks to prove the merit of his words. Of course, the Spear of Kurnous' colossal size gives him a substantial advantage over other preyseekers — when driven by his peerless might, it can disembowel a deepwood auroch as easily as it can a man.;;;;;;;;;;;;;x
cloak_of_isha;Cloak of Isha;;;;;;;;;;;;;x
cloak_of_isha_desc;This sacred garment is woven anew each spring by the Mage Queen Ariel herself. It is the only protection Orion wears in battle, and the only one that he needs. It is through the Cloak of Isha that Ariel grants her beloved a portion of her own strength, ensuring that the wounds he suffers are fleeting.;;;;;;;;;;;;;x
horn_of_wild_hunt;Horn of the Wild Hunt;;;;;;;;;;;;;x
horn_of_wild_hunt_desc;This horn is one of the oldest artifacts in all of Athel Loren. Legend tells it was a gift from Kurnous to his mortal children at the dawn of creation, a token of his favour that placed them above the myriad brutish beasts of the world. Now the Horn of the Wild Hunt has returned to its rightful master. In Orion's hands it is more than merely a symbol of a god's favour; it is the vessel of the Hunter God's savagery and determination, and imbues a portion of Kurnous' wildness in all who hear its blare.;;;;;;;;;;;;;x
#
# ARIEL
#
wand_of_wych_elm;Wand of Wych Elm;;;;;;;;;;;;;x
wand_of_wych_elm_desc;This is a long, twisted and gnarled staff cut from the rare and magical Wych Elm tree. This tree draws magical power out of the ground as it grows and stores it in its wood. Any wand cut from such a tree may have centuries of stored magical power locked within it. The only way to tap the power locked in the wood is to cut a wand from the tree and inscribe a spell on it. The spell can then be cast using the power of the wand instead of the Winds of Magic. Only a demi-god or a wizard of exceptional skill can unlock and use such power. When Ariel takes on the divine aspect of the goddess Isha she gains the ability to use the power stored in the Wych Elm. The wand is never drained of power during the battle - indeed, it will not be drained for perhaps a thousand years.;;;;;;;;;;;;;x
acorn_of_the_ages;Acorns of the Oak of Ages;;;;;;;;;;;;;x
acorn_of_the_ages_desc;These are shed by the tree each autumn and collected by Ariel because of their magical properties. When the acorns are scattered on the ground they instantly sprout into oak saplings which grow at a phenomenal pace to become trees in a moment.;;;;;;;;;;;;;x
dart_of_doom;Dart of Doom;;;;;;;;;;;;;x
dart_of_doom_desc;This dart was carved from a twig broken from the Tree of Woe. The tip of the dart is a thorn and the shaft is engraved with magical spiral designs. When hit, its victims see their energy drained away.;;;;;;;;;;;;;x
berry_wine;Berry Wine;;;;;;;;;;;;;x
berry_wine_desc;This is a magical and intoxicating brew made from the berries of magical trees. It is so potent that more than enough can be held in an acorn cup. Ariel uses it to invigorate herself or any injured allies.;;;;;;;;;;;;;x
heartstone_of_athel_loren;Heartstone of Athel Loren;;;;;;;;;;;;;x
heartstone_of_athel_loren_desc;A physical representation of the many ties that bind Ariel to the forest of Athel Loren, this gemstone protects her from the effects of hostile magics.;;;;;;;;;;;;;x
#
# THALANDOR DOOMSTAR
#
magic_war_paint;Magic War Paint;;;;;;;;;;;;;x
magic_war_paint_desc;Thalandor paints himself with magical designs before going into battle. These can magically deflect blows from weapons and missiles.;;;;;;;;;;;;;x
talisman_of_qwarr;Talisman of Qwarr;;;;;;;;;;;;;x
talisman_of_qwarr_desc;Qwarr was the mightiest of all the Great Eagles who ever lived and an ancestor of Gwandor himself. It was Qwarr who slew the ravenous dragon Grathgol when he came to steal eggs from his eyrie. Although the dragon plummeted to his doom, torn by Qwarr's talons, Qwarr himself also perished in the fight. Elves saw this terrible conflict in the air and preserved the mighty talons and beak of Qwarr as a powerful talisman.;;;;;;;;;;;;;x
spear_of_daith;Spear of Daith;;;;;;;;;;;;;x
spear_of_daith_desc;This spear was made by Daith, legendary master craftsman of Loren. He carved upon its shaft mystical spirals which give the weapon a will of its own. Upon the hardened copper spearhead are engraved eyes that allow the spear to see the blows of the enemy and intercept them with its unbreakable hardwood shaft.;;;;;;;;;;;;;x
#
# SCEOLAN
#
buckler_of_bronze;The Buckler of Bronze;;;;;;;;;;;;;x
buckler_of_bronze_desc;Sceolan carries a buckler instead of an ordinary shield. This is a small shield with a spiked bronze boss and many bronze studs arranged in an arcane pattern. Not only does this buckler parry the blows of the enemy, but it can be used to strike back at any opponent who is parried.;;;;;;;;;;;;;x
bow_of_loren;The Bow of Loren;;;;;;;;;;;;;x
bow_of_loren_desc;The Bow of Loren is strung with the hair of Elf maids and enchanted with potent charms for increased power.;;;;;;;;;;;;;x
#
# Sisters of Twilight
#
talon_dawn_naestra;Talon of Dawn;;;;;;;;;;;;;x
talon_dawn_naestra_desc;Naestra's bow fires no mortal shot, but bolts of blessed light that melt through armour to sear the flesh beneath. It is said that the souls reaped by this weapon yield their energies to undo the harms they have wrought against the wielder’s allies.;;;;;;;;;;;;;x
talon_dusk_arahan;Talon of Dusk;;;;;;;;;;;;;x
talon_dusk_arahan_desc;The arrows of Arahan’s bow are crafted from the spirit husks of the Wildwood’s bitterest Dryads. Once loosed, they splinter into scores of poisonous thorns that seek the flesh of Athel Loren’s enemies.;;;;;;;;;;;;;x
#
# ASUR ARTIFACTS
#
#
# IMRIK
#
star_lance;Star Lance;;;;;;;;;;;;;x
star_lance_desc;The tip of this weapon is forged from the heart of a fallen star. With a blade of such keenness no armour can protect Imrik's foes.;;;;;;;;;;;;;x
armour_of_caledor;Armour of Caledor;;;;;;;;;;;;;x
armour_of_caledor_desc;For well over four thousand years the masters of the house of Caledor have worn this armour in battle.;;;;;;;;;;;;;x
dragonhorn;Dragonhorn;;;;;;;;;;;;;x
dragonhorn_desc;This war horn is made from the horn of an ancient dragon, gifted to Imrik's distant ancestors in elder days. The dying fire drake summoned all his remaining power to enchant his remaining unbroken horn as he lay bleeding in the aftermath of the Battle of the Glade of Tears.;;;;;;;;;;;;;x
minaithnir;Minaithnir;;;;;;;;;;;;;x
minaithnir_desc;Imrik rides the majestic dragon Minaithnir. They have a mutual bond between them – the last of the true Dragon Princes, and one of the last dragons. Minaithnir is fanatically loyal to his master.;;;;;;;;;;;;;x
#
# FINUBAR
#
starmetal_scimitar;Starmetal Scimitar;;;;;;;;;;;;;x
starmetal_scimitar_desc;The Eleventh Phoenix King wields a sword of starmetal, its blade curved in the manner of Southland warriors and golden like the last arc of sunset. The blade had been a gift from one of the coastal potentates of Ind, a land of exotic spices and strange rituals. Finubar had saved the life of the king's daughter, and had received this wondrous blade in return. No smith trained in the Anvil of Vaul could unlock the mysteries of its creation, but the power of the magic worked into its blade was beyond question. When Finubar speaks the word of power, molten light erupts from the golden blade. During a battle against a hydra, he stabbed the blade into one of its mouths, activating his sword's magic to fill the monster's skull, golden fire streaming from its eyes before its head exploded in a welter of boiling blood and bone.;;;;;;;;;;;;;x
#
# AENARION
#
sunfang_aenarion;Sunfang;;;;;;;;;;;;;x
sunfang_aenarion_desc;This ancient sword, forged to slay Daemons in the earliest days of Aenarion's rule, burns with the captured fire of the sun.;;;;;;;;;;;;;x
dragon_armour_aenarion;Dragon Armor of Aenarion;;;;;;;;;;;;;x
dragon_armour_aenarion_desc;This mighty armor was forged on Vaul's Anvil long ago to protect Aenarion. Upon his death, the armour was thought lost for thousands of years until it was recovered by Tethlis the Slayer. Repaired by Arathion, it is among the most powerful protective artifacts ever made.;;;;;;;;;;;;;x
#
# TECLIS
#
sword_of_teclis;Sword of Teclis;;;;;;;;;;;;;x
sword_of_teclis_desc;This sword was forged by Teclis, a powerful weapon to protect himself as he began the perilous quest to rescue his brother Tyrion and the Everqueen. It is charged with crackling energy that rends apart those struck by its shining blade.;;;;;;;;;;;;;x
moon_staff_of_lileath_teclis;Moon Staff of Lileath;;;;;;;;;;;;;x
moon_staff_of_lileath_teclis_desc;The Moon Staff is imbued with the immortal power of the goddess Lileath, eternally youthful daughter of Isha, which flows through Teclis and invigorates his feeble frame. In times of great need, Teclis can call upon the full power of the staff. Doing so allows him to unleash a fearsome barrage of magical power, or else dissipate dangerous sorcerers energies before they spiral out of control, but also leaves Teclis himself badly weakened.;;;;;;;;;;;;;x
scroll_of_hoeth_teclis;Scroll of Hoeth;;;;;;;;;;;;;x
scroll_of_hoeth_teclis_desc;Though seemingly fragile, this well-worn heirloom has seen a thousand battles and will see many more.;;;;;;;;;;;;;x
war_crown_of_saphery;War Crown of Saphery;;;;;;;;;;;;;x
