# LAST EDIT: 2021/10/28 - DEADLIEST
##########
# TRAITS #
##########
###ÄNSI
#MoveOut to move out of this
own_10_provinces_in_norsca;Own 10 Provinces within Norsca;;;;;;;;;;;;x
own_10_tributaries_norsca;Have 10 tributaries within Norsca of Norscan Culture Group;;;;;;;;;;;;x
own_5_neighbour_tributaries_norsca;Have 5 neighbouring tributaries within Norsca of Norscan Culture Group;;;;;;;;;;;;x
buy_from_dwarfs;Buy Armaments from Dawi;;;;;;;;;;;;x
buy_from_dwarfs_desc;Buy Armaments from the skilled engineers and smiths of dawi.;;;;;;;;;;;;x
obj_norscan_tribe_become_stronghold;Become Norscan Overlord;;;;;;;;;;;;x
obj_norscan_tribe_become_stronghold_title;Become Norscan Overlord;;;;;;;;;;;;x
obj_norscan_tribe_become_stronghold_desc;Become an proper regional power within the norsca, fails should you fall below 100 prestige/Become Content;;;;;;;;;;;;x
special_char_throgg_desc;Throgg, the King of the Trolls, also once known as Wintertooth, is among the most unnaturally intelligent of his vile kind, intent on bringing the world under the rule of a new ice age with himself at its head.;;;;;;;;;;;;x
#
# AMAZON EVENTS
#
amazon5B;No, let these ones keep roaming free;;;;;;;;;;;;x
amazon8desc;Once each spring, it is allowed for all Amazons of any caste to mate with men so that new daughters can be born. Do you wish to host a fertility ritual, and put your captive male population to good use?;;;;;;;;;;;;x
amazon8A;Yes, let the ritual be prepared!;;;;;;;;;;;;x
amazon8B;No, maybe next year...;;;;;;;;;;;;x
amazon9desc;Rigg, Goddess of War and Battle does not normally tolerate men in her realm, but tonight her sister Serena will allow an exception. The drums beat, the pace of the dance increases, and as the wine flows, your ceremonial husband for one night is brought before you in chains along with many others for your gathered sisters. You may do as you wish with him and if he does not please you, the Snake-Goddess Serena will welcome his sacrifice after he has performed his final duty for the Amazon Sisterhood!;;;;;;;;;;;;x
amazon9A;Come with me, slave...;;;;;;;;;;;;x
amazon10desc;While lying in the prison cell you hear the drums beat, the pace of the dance increases, the laughter upstairs in the palace grow increasingly wild as the wine no doubt flows. Fierce Amazon spearmaidens soon arrive to put you in chains and drag up to the hall along with the others. You are soon brought before an Amazon Priestess, and she leads you towards her private quarters... you have heard rumours that men who displease them during the fertility rites are sacrificed, so your heart is pumping out of your chest...;;;;;;;;;;;;x
amazon10A;Must ... not... disappoint her!;;;;;;;;;;;;x
amazon11desc;You wake up with a smile on your face, sighing contentedly. The slave performed well last night, and you are inclined to let him live on. Yet on the other hand, Serena favours those who sacrifice in her name... especially things they place value on.;;;;;;;;;;;;x
amazon11A;Another time perhaps. For now, this one lives.;;;;;;;;;;;;x
amazon11B;A life for a life, Serena will have his blood!;;;;;;;;;;;;x
amazon12desc;You wake up with a sneer awoken by the slave's snoring, still tied to your bed. You remember his pathetic performance last night, and the blood lust begins to boil in your veins...;;;;;;;;;;;;x
amazon12A;No, I'm going to be merciful.;;;;;;;;;;;;x
amazon12B;At least I'll enjoy sacrificing this one, and hearing his screams.;;;;;;;;;;;;x
amazon13desc;You wake up tied to the Priestess's bed, and find her smiling down on you. 'Good slave,' she whispers, 'I hope the others let you live too, and I get you next year as well...';;;;;;;;;;;;x
amazon13A;Thank the gods, I'm going to live!;;;;;;;;;;;;x
amazon14desc;You wake up tied to the Priestess's bed, and find her sneering face looking down on you. Without a word, you are knocked unconscious by the hilt of a wicked looking dagger and when you come to... you are in the great hall, kneeling before the high priestess. Drums are beating, your head is pounding, Amazons are dancing and cheering behind you, and then a sharp cold pain is felt against your throat. You have no time to scream as the last things you see is a spray of blood pouring out on the ground from your throat!;;;;;;;;;;;;x
amazon14A;Ugghhhh!!!;;;;;;;;;;;;x
amazon15desc;The sacrifices to Serena are brought before the throne. These men have proven themselves worthless. The drums are beating, your sisters are dancing around them, and cheers emanate from the sides of the great hall. Finally you step down behind the slave you bedded last night, savour the look of terror on his face, and then swiftly draw the sacrificial dagger as you move behind him and spray his lifeblood all over the floor. The Creators be praised, let this sacrifice please the Snake-Goddess!;;;;;;;;;;;;x
amazon15A;Serena be praised!;;;;;;;;;;;;x
amazon17desc;In the eyes of the world, your child is a bastard, but in Amazon culture that is not so. Your child is your legitimate heir, no matter who the father is.;;;;;;;;;;;;x
amazon17A;That is the proper way of things.;;;;;;;;;;;;x
amazon18desc;You have been told previously that you are an exception, and do not have to be a slave in the Amazon hierarchy. Yet you find yourself in prison along with the others...;;;;;;;;;;;;x
amazon18A;I will appeal to my jailers!;;;;;;;;;;;;x
amazon19desc;You are asked to visit one of your captives in the dungeon. He looks at you appealingly: 'Please, I was promised that I was an exception and could roam freely... why am I locked up here with all the others?;;;;;;;;;;;;x
amazon19A;Ahh, that is correct my pet. Sisters, release this one!;;;;;;;;;;;;x
amazon19B;We lied. You will stay where you belong.;;;;;;;;;;;;x
amazon20desc;Your host comes down to your cell, and smiles at your predicament. 'You're right, pet, we did say you could walk freely. Sisters - release this one at once!';;;;;;;;;;;;x
amazon20A;Thank you!;;;;;;;;;;;;x
amazon21desc;Your host comes down to your cell, and smiles at your predicament. 'Remember when we said that you could walk freely amongst us? We lied.' With that, the Amazons laugh darkly and leave you alone once more.;;;;;;;;;;;;x
amazon21A;Wait, please, come back!;;;;;;;;;;;;x
amazon22desc;Your top liege is an Amazon, and in Amazon realms men are forbidden from holding or inheriting titles unless they are a very rare exception.;;;;;;;;;;;;x
amazon22A;Curse this unjust and purely socially constructed order!;;;;;;;;;;;;x
amazon23desc;Your top liege is no longer Amazon, so you can now inherit normally again.;;;;;;;;;;;;x
amazon23A;Gender equality at last!;;;;;;;;;;;;x
amazon0desc;As a member of the Amazon people, your succession must be enatic. Males cannot be allowed to threaten the ruling order by holding independent power.;;;;;;;;;;;;x
amazon5desc;One or more males are running around freely in your court. This cannot be allowed to stand. They must be sent to the guarded male dorms immediately and put to good use!;;;;;;;;;;;;x
amazon5A;Yes, immediately!;;;;;;;;;;;;x
amazon6desc;You have walked as a free man amongst the Amazons, but no more. A group of spear maidens seize you, and on orders of their mistress, drag you to the dungeons where a new life of slavery awaits you.;;;;;;;;;;;;x
amazon6A;Nooo!;;;;;;;;;;;;x
amazon7desc;You have given birth to a male child. By the laws of your people, he must either be prepared for sacrifice, or slavery.;;;;;;;;;;;;x
amazon7A;He will be sent to the dungeons and be a slave.;;;;;;;;;;;;x
amazon7B;This one will be sacrificed.;;;;;;;;;;;;x
amazon7C;I *am* the law! My sons will live free amongst us.;;;;;;;;;;;;x
EVTDESCAsamazonchild2001;You're finally old enough to start your Amazon training and you couldn't be more excited. You've heard a lot of the exploits of the older sisters of your tribe and can't wait to be a proper huntress.;;;;;;;;;;;;;;
EVTOPTAsamazonchild2001;Yes!;;;;;;;;;;;;;;
EVTDESCAsamazonchild2002;You're finally old enough to start your Amazon training, but, although you have good intentions, it seems you just can't manage to keep up with the tasks that are assigned to you. It's as if you're not strong enough to be a proper Amazon.;;;;;;;;;;;;;;
EVTOPTAsamazonchild2002;I must make it!;;;;;;;;;;;;;;
EVTDESCAsamazonchild2003;You've been battered with all this nonsense about female supremacy and Amazonian toughness and bravery from your entire childhood. Now you should start training to become like all the other brainwashed sisters, but the truth is, you've no intention to comply with any of this.;;;;;;;;;;;;;;
EVTOPTAsamazonchild2003;I'll find my own path!;;;;;;;;;;;;;;
EVTDESCAsamazonchild3001;Your [GetFromRelation] [From.GetFirstName] sure looks excited to start [From.GetHerHis] training and become a proper Amazon.;;;;;;;;;;;;;;
EVTOPTAsamazonchild3001;That's the spirit!;;;;;;;;;;;;;;
EVTOPTBsamazonchild3001;Then she can work it out on her own…;;;;;;;;;;;;;;
EVTDESCAsamazonchild3002;Your [GetFromRelation] [From.GetFirstName] should start to train as a proper Amazon, she's old enough to do it, but she really doesn't seem to have what it takes, regardless of her efforts.;;;;;;;;;;;;;;
EVTOPTAsamazonchild3002;We'll just have to try harder.;;;;;;;;;;;;;;
EVTOPTBsamazonchild3002;She's a lost cause.;;;;;;;;;;;;;;
EVTDESCAsamazonchild3003;Your [GetFromRelation] [From.GetFirstName] should start to train as a proper Amazon, but she seems to resist every attempt at teaching her the superior values of your culture, ignoring or criticizing anything her elders tell her.;;;;;;;;;;;;;;
EVTOPTAsamazonchild3003;I'll whip her in place.;;;;;;;;;;;;;;
EVTOPTBsamazonchild3003;She's a lost cause.;;;;;;;;;;;;;;
EVTDESCAsamazonchild4;You're finally out in the wilderness, following the your elder sisters in the hunts. The Jungle is a scary and dangerous place, but you're growing more confident at each expedition.;;;;;;;;;;;;;;
EVTOPTAsamazonchild4;I'm not scared of the dark trees!;;;;;;;;;;;;;;
EVTDESCAsamazonchild4001;You've started sending your [GetFromRelation] [From.GetFirstName] out with some of the huntresses, so that she may start learning how to stalk the easier game. The little Amazons seems to be going fine, growing confident in her skills.;;;;;;;;;;;;;;
EVTOPTAsamazonchild4001;*Encourage her*;;;;;;;;;;;;;;
EVTOPTBsamazonchild4001;*Berate her for her recklessness*;;;;;;;;;;;;;;
EVTOPTCsamazonchild4001;*Ignore her*;;;;;;;;;;;;;;
EVTDESCAsamazonchild4002;[From.GetFirstName] listened to your more recent experiences in the jungle with great interest and complimented you for your bravery in the face of the dangerous task you were part of.;;;;;;;;;;;;;;
EVTOPTAsamazonchild4002;I'll be the best Amazon ever!;;;;;;;;;;;;;;
EVTDESCAsamazonchild4003;[From.GetFirstName] listened to your more recent experiences in the jungle, but she didn't look very happy about it. She disciplined you for your recklessness, telling you an Amazon, even if without fear, shouldn't brazenly go against any danger without thinking.;;;;;;;;;;;;;;
EVTOPTAsamazonchild4003;But I thought..?;;;;;;;;;;;;;;
EVTDESCAsamazonchild4004;[From.GetFirstName] barely listened to your more recent experiences in the jungle. It seems your steady heart was not enough to obtain her approval.;;;;;;;;;;;;;;
EVTOPTAsamazonchild4004;What else can I do?;;;;;;;;;;;;;;
EVTDESCAsamazonchild4005;Your [GetFromRelation] was very excited of your praise and promised to keep pushing her limits more and more at every next expedition.;;;;;;;;;;;;;;
EVTOPTAsamazonchild4005;Good girl.;;;;;;;;;;;;;;
EVTDESCAsamazonchild4006;Your [GetFromRelation] was saddened by your disapproval. She has started to act more cautiously, sometimes even trying to aviod going out with the huntresses, but it's hard to say if it'll stick.;;;;;;;;;;;;;;
EVTOPTAsamazonchild4006;It better be.;;;;;;;;;;;;;;
EVTDESCAsamazonchild4007;Your [GetFromRelation] seemed to have interpreted your lack of interest as displeasure. She keeps going hunting with her elder sisters, but is growing more and more frustrated in her attempts to impress you.;;;;;;;;;;;;;;
EVTOPTAsamazonchild4007;That's good for her.;;;;;;;;;;;;;;
EVTDESCAsamazonchild5;Training alongside other girls, competing with each other, going out with the elders to learn how to hunt, everything is making you feel more open and included amongst your sisters. You might not be related by blood, but you share a kindred spirit and only together can you survive in the jungle.;;;;;;;;;;;;;;
EVTOPTAsamazonchild5;We're in this together.;;;;;;;;;;;;;;
EVTDESCAsamazonchild5001;Your [GetFromRelation] [From.GetFirstName] is growing more talkative and friendly. Spending a lot of time with other girls of her age, talking and training together has opened her and allowed her to find a place in the younger community.;;;;;;;;;;;;;;
EVTOPTAsamazonchild5001;*Encourage her*;;;;;;;;;;;;;;
EVTOPTBsamazonchild5001;*Berate her for not focusing on her training*;;;;;;;;;;;;;;
EVTOPTCsamazonchild5001;*Ignore her*;;;;;;;;;;;;;;
EVTDESCAsamazonchild5002;Your [GetFromRelation] seems very pleased of seeing you interact and make friends with the other young Amazons, teaching you about the importance of friendship and cohoperation amongst the daughters of Serena.;;;;;;;;;;;;;;
EVTOPTAsamazonchild5002;I'm glad to be a part of this.;;;;;;;;;;;;;;
EVTDESCAsamazonchild5003;Your [GetFromRelation] has disciplined you today for wasting so much time with your friends in useless activities, when you should have focused only on your training. You are training to become a strong ruler, the other girls are not your allies, they're in competition with you.;;;;;;;;;;;;;;
EVTOPTAsamazonchild5003;I.. I won't forget this.;;;;;;;;;;;;;;
EVTDESCAsamazonchild5004;Your [GetFromRelation] doesn't really seem to mind of your friends and the time you spend with them. You're not sure if this is a good or a bad sign. The other girls told you not to worry about it, but you're unsure what to make of it.;;;;;;;;;;;;;;
EVTOPTAsamazonchild5004;Is it.. good? Bad?;;;;;;;;;;;;;;
EVTDESCAsamazonchild5005;Your [GetFromRelation] was emboldened by your acceptance of her new friends and has started spending more and more time out, training, talking, becoming her own woman.;;;;;;;;;;;;;;
EVTOPTAsamazonchild5005;I'm proud of her.;;;;;;;;;;;;;;
EVTDESCAsamazonchild5006;Your [GetFromRelation] was confused at first by your complaints about her behavior, but has now slowly started to avoid her new friends, trying to focus entirely on her training.;;;;;;;;;;;;;;
EVTOPTAsamazonchild5006;She better keep at it.;;;;;;;;;;;;;;
EVTDESCAsamazonchild5007;Your [GetFromRelation] still spends a lot of time with her friends. With your lack in interest in her situation, she has started to rely on them to get her opinion from.;;;;;;;;;;;;;;
