# LAST EDIT: 2021/04/11 - SUPERNOVA
##########
# TRAITS #
##########
###ÄNSI
#
# ASRAI GOVERNMENTS
#
eternal_court_government;Eternal Court;;;;;;;;;;;;;
eternal_court_government_desc;The Asrai live in a harmonious co-existance with the denizers of Athel Loren, but are known for their frivolous and sometimes savage behavior. Their society revolves around the cycles of the forest, as determined by the Avatars of Ishtar and Kurnous, who rule over the High Lords of the Glades.;;;;;;;;;;;;;
#
# ASUR GOVERNMENTS
#
highborn_government;Highborn Concordate;;;;;;;;;;;;;
highborn_government_desc;The High Elves rely on a mild form of autocracy, centered on cities rather than fortresses. While the elven Princes are respected and obeyed and pass down their titles by blood, they are required to treat properly all their highborn subjects. Elven rulers cannot imprison any of their subjects without a proper reason and cannot revoke titles from their elven vassals, except in some extreme circumstances. In return, they have absolutely no obligations in regards of their inferior non-elven subjects.;;;;;;;;;;;;;
everqueen_government;Court of the Everqueen;;;;;;;;;;;;;
everqueen_government_desc;The court of the Everqueen moves through Avelorn from place to place like a great carnival, pitching silken pavilions of myriad colours wherever it halts. By day, silver laughter rings through the forest as the Elves make sport. By night, faery lights flicker in the darkness, drifting behind the Everqueen's courtiers and illuminating the revels and feasting. With its perfect weather, bountiful forests and beautiful near-immortal inhabitants Avelorn seems the sort of rustic paradise of which mortal men can only dream.;;;;;;;;;;;;;
#
# BEASTMAN GOVERNMENTS
#
beastman_government;Warherd;;;;;;;;;;;;;
beastman_government_desc;The Beastmen are anarchic and warmongering. Their herds never settle down in one place and as they migrate they destroy everything on their path. Each warherd is led by the strongest bull, who is often challenged for dominance by its subjects.;;;;;;;;;;;;;
#
# CHAOS GOVERNMENTS
#
chaos_horde_government;Chaos Horde;;;;;;;;;;;;;
chaos_horde_government_desc;The humans that live in the wastes are savages when compared to humans from the Old World. They tend to live in tribes that move from area to area. Each tribe has its own beliefs and customs, but all worship the four great gods of Chaos in some form.;;;;;;;;;;;;;
#
norscan_government;Norscan Tribes;;;;;;;;;;;;;
norscan_government_desc;Norsca is inhabited by a race of savage and ferocious Men; fur-clad warriors and berserkers of hairy brawn who sail the seas in fearsome longships in order to unleash their devastating fury upon the south. Warlike and cruel, the Norse are the very epitome of the Warriors of Chaos; fanatically devoted champions of the Dark Gods and the baneful scourge of their foes. Norsca is a savage and brutal land, plagued by lethal winters for more than half the year, and worse, lashed perpetually by raging gales of Chaos energies howling down from the ancient ruins of the fallen Warp Gate resting at the very heart of the northern Chaos Wastes.;;;;;;;;;;;;;
norscan_government_feudal;Tribal Baronys;;;;;;;;;;;;;x
