# LAST EDIT: 2021/04/11 - SUPERNOVA
##########
# TRAITS #
##########
###ÄNSI
#
# AMAZON OPINION MODIFIERS
#
amazon_group_opinion;Amazon Opinion;;;;;;;;;;;;;x
amazon_main_opinion;Amazon Opinion;;;;;;;;;;;;;x
#
# ARABYAN OPINION MODIFIERS
#
arabyan_group_opinion;Arabyan Opinion;;;;;;;;;;;;;x
cophic_opinion;Cophic Opinion;;;;;;;;;;;;;x
#
# ASRAI OPINION MODIFIERS
#
asrai_group_opinon;Asrai Opinion;;;;;;;;;;;;;x
opinion_spirit_angered;Angered;;;;;;;;;;;;;;
opinion_kidnapped_me;Kidnapped Me;;;;;;;;;;;;;
opinion_kidnapped_child;Kidnapped Child;;;;;;;;;;;;;
opinion_kidnapped_relative;Kidnapped Relative;;;;;;;;;;;;;
#
# ASUR OPINION MODIFIERS
#
asur_group_opinion;Asur Opinion;;;;;;;;;;;;;x
opinion_funded_colony;Funded Colony;;;;;;;;;;;;;;
opinion_abandoned_colony;Abandoned Colony;;;;;;;;;;;;;;
opinion_paid_for_colony;Paid for Colony;;;;;;;;;;;;;;
opinion_colonial_tribute;Colonial Tribute;;;;;;;;;;;;;;
opinion_witheld_tribute;Withheld Tribute;;;;;;;;;;;;;;
opinion_asked_assistance;Asked Assistance;;;;;;;;;;;;;;
opinion_colonial_war;Colonial War;;;;;;;;;;;;;;
opinion_joined_colony;Helped Colony;;;;;;;;;;;;;;
opinion_abandoned_colony_prince;Ignored Colony;;;;;;;;;;;;;;
opinion_forced_policy;Forced Policy;;;;;;;;;;;;;;
opinion_opened_borders;Opened Borders;;;;;;;;;;;;;;
opinion_fled_debate;Refused Debate;;;;;;;;;;;;;;
opinion_fought_debate;Debated;;;;;;;;;;;;;;
phoenix_king_opinion;Phoenix King Opinion;;;;;;;;;;;;;x
opinion_of_phoenix_king;Opinion of the Phoenix King;;;;;;;;;;;;;x
isolationist_elf_opinion;Isolationist Elf Opinion;;;;;;;;;;;;;x
opinion_of_isolationist_elf;Opinion of Isolationist Elf;;;;;;;;;;;;;x
interventionist_elf_opinion;Interventionist Elf Opinion;;;;;;;;;;;;;x
opinion_of_interventionist_elf;Opinion of Interventionist Elf;;;;;;;;;;;;;x
asur_colonial_opinion;[asur_colonial.GetName] Opinion;;;;;;;;;;;;;x
#
# BEASTMAN OPINION MODIFIERS
#
opinion_prey;Prey;;;;;;;;;;;;;
opinion_savage_invader;Savage Invader;;;;;;;;;;;;;
harboring_monster;Harbouring Turnskin;;;;;;;;;;;;;;
abandoned_turnskin;Abandoned Turnskin;;;;;;;;;;;;;;
#
# BRETONNIAN OPINION MODIFIERS
#
bretonnian_group_opinion;Bretonnian Opinion;;;;;;;;;;;;;x
tntch;Believed in Me;;;;;;;;;;;;x
opinion_queen_love_beauty;Queen of Love and Beauty;Reine d'amour et de beauté;;;Reina del amor y la belleza;;;;;;;;;x
opinion_queen_love_beauty_chosen;My Queen of Love and Beauty;Ma reine d'amour et de beauté;;;Elegir a la Reina del amor y la belleza;;;;;;;;;x
opinion_potential_tourny_rival;Potential Tourney Rival;Potentiel rival en tournoi;;;Rival potencial en el Torneo;;;;;;;;;x
opinion_spectating_tournament;Spectating Tournament;Spectateur du Tournoi;;;Espectador del Torneo;;;;;;;;;x
opinion_tournament_spectator;Attended Tourney;A assisé au Tournoi;;;Asistió a un Torneo;;;;;;;;;x
opinion_squire_honoured;Honoured Squire;Ecuyer honoré;;;Escudero honrado;;;;;;;;;x
opinion_squire_humiliated;Humiliated Squire;Ecuyer Humilié;;;Escudero humillado;;;;;;;;;x
#
# DRUCHII OPINION MODIFIERS
#
druchi_group_opinion;Druchii Opinion;;;;;;;;;;;;;x
opinion_cast_ghrond_vote;Supporting Me;;;;;;;;;;;;;
#
# DAWI OPINION MODIFIERS
#
dwarf_group_opinion;Dawi Opinion;;;;;;;;;;;;;x
dwarf_main_opinion;Dwarfs Opinion;;;;;;;;;;;;;x
dwarf_norse_opinion;Norse Dwarfs Opinion;;;;;;;;;;;;;x
