# LAST EDIT: 2021/04/11 - SUPERNOVA
##########
# TRAITS #
##########
###ÄNSI
#
# AMAZON TRAITS
#
creature_amazon;Amazon;;;;;;;;;;x
creature_amazon_desc;This person is from one of the Amazon tribes of Lustria. Not much is known about the Amazons, except that they are a strictly matriarchal society, and have some ties to the old ones. Being insular bordering on paranoid, it is unlikely that much more will be known about them any time soon. Most men who enter their domain are never heard from again.;;;;;;;;;;x
complacent;Complacent;;;;;;;;;;;;;
complacent_desc;This Amazon doesn't care about hunting and fighting, but rather spends her time slacking off in her palace, living of the prestige of her family rather than increase it. If she's kept around, she will increase the Complacency value of her dynasty, giving a bad name to all of her relatives.;;;;;;;;;;;;;
disinherited_amazon;Unworthy;;;;;;;;;;;;;
disinherited_amazon_desc;This character, due to being a male or a disgraced huntress, has been deemed unworthy by Amazonian society and is therefore not allowed to hold any position of power within it.;;;;;;;;;;;;;
#
# ASRAI TRAITS
#
avatar_kurnous;Avatar of Kurnous;;;;;;;;;;;;;
avatar_kurnous_desc;The King of Athel Loren is commonly believed to be the avatar of Kurnous, the Elven God of the Hunt. Each winter, the King dies, only to be reborn on spring. Each year, the King will lead a Wild Hunt to scour the sacred glades of the Asrai and any nearby lands, mercilessly rooting out any corruption found.;;;;;;;;;;;;;
avatar_isha;Avatar of Isha;;;;;;;;;;;;;
avatar_isha_desc;The Queen of Athel Loren is commonly believed to be the avatar of Isha, the Elven Goddess of Life. The Everqueen of Ulthuan claims such right as well, which has been the cause of contention between Asur and Asrai.;;;;;;;;;;;;;
asrai_spellsinger;Spellsinger;;;;;;;;;;;;;
asrai_spellsinger_desc;Rather than protecting themselves with rituals from the dangers of raw magic, the Asrai join their minds with the sleeping consciousness of Athel Loren, so that the forest's spirits themselves might help them in their efforts. Through this bond, some of them are able to reshape the forest itself to their whims.;;;;;;;;;;;;;
resting;Resting;;;;;;;;;;;;;
resting_desc;This character is currently trapped in a magical slumber.;;;;;;;;;;;;;
woodwalking;Treewalking;;;;;;;;;;;;;
woodwalking_desc;Walking through ethereal pathways, this commander leads their troops at an unnatural speed.;;;;;;;;;;;;;
#
# ASUR TRAITS
#
phoenix_king;Phoenix King of Ulthuan;;;;;;;;;;;;;x
phoenix_king_desc;The Phoenix King is chosen by election amongst the princes of Ulthuan, and is crowned after successfully passing through the flames of Asuryan as Aenarion did so many thousands of years ago. Though civil strife has torn through the Elves before, these days they are a united nation, with most old rivalries long settled and they generally are content to live under the rule of the Phoenix Kings, chosen from the best and wisest amongst their number.;;;;;;;;;;;;;x
asur_mage;Asur Mage;;;;;;;;;;;;;x
asur_mage_desc;Asur Mages are known as masters of their craft, capable of wielding high magic.;;;;;;;;;;;;;x
nagarythi_elf;Nagarythi;;;;;;;;;;;;;x
nagarythi_elf_desc;This Elf is from the Shadowlands, or Nagarythe. They are distrusted by other elves due to their relation to Dark Elves and their strange, isolated ways.;;;;;;;;;;;;;x
burnt_by_asuryan;Burnt by Asuryan;;;;;;;;;;;;;x
burnt_by_asuryan_desc;An Elf Prince is required to pass unscathed through the flames of Asuryan to prove his right to be Phoenix King. Being unable to do so is seen as a sign of wickedness in the eyes of the Gods.;;;;;;;;;;;;;x
everqueen_heir;Everchild;;;;;;;;;;;;;x
everqueen_heir_desc;This woman is the result of the ritual union between the Phoenix King and the Everqueen of the Asur. She's destined to become the future Everqueen.;;;;;;;;;;;;;x
everqueen;Everqueen;;;;;;;;;;;;;x
everqueen_desc;The Everqueen is one of the jointed rulers of Ulthuan along with the Phoenix King, but she's also a spiritual guide for all of her people.;;;;;;;;;;;;;x
isolationist_elf;Isolationist;;;;;;;;;;;;;x
isolationist_elf_desc;This character ascribes to the notion Asur should detach themselves from the wickedness of lesser races and never meddle directly in their affairs, lest they allow corruption to creep into Ulthuan. A line of thought held by many High Elves.;;;;;;;;;;;;;x
interventionist_elf;Interventionist;;;;;;;;;;;;;x
interventionist_elf_desc;This character ascribes to the notion Asur are the only protectors of an otherwise doomed world and that is their duty to lead the lesser races against Chaos and corruption.;;;;;;;;;;;;;x
asuryan_stain;Asuryan Stain;;;;;;;;;;;;;x
asuryan_stain_desc;Asuryan has cursed this bloodline by deeming one of their members unworthy of the Phoenix Crown and burning their flesh.;;;;;;;;;;;;;x
loremaster;Loremaster;;;;;;;;;;;;;x
loremaster_desc;Loremasters are the High Elven mages and scholars who reside in the Tower of Hoeth in Ulthuan. They study specific, elusive spells, most of which are unkown to the rest of the world.;;;;;;;;;;;;;x
blood_of_aenarion;The Blood of Aenarion;;;;;;;;;;;;;x
blood_of_aenarion_desc;The blood of Aenarion, the first Phoenix King of Ulthuan, flows through this character's veins.;;;;;;;;;;;;;x
elven_scion;Elven Scion;;;;;;;;;;;;;
elven_scion_desc;A promising young elf, yet to be considered mature by his elders. A few decades more and he shall be old enough to be considered an elegible adult.\n Elves can start courting to find their partner at 25, they are otherwise considered for regular marriages at 45.;;;;;;;;;;;;;
elven_maiden;Elven Maiden;;;;;;;;;;;;;
