#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
##########################
# HOLY FURY REPLACEMENTS #
##########################
################
# RECONQUISTA  #
################
CB_NAME_RECONQUISTA_ASTARIOS;Reconquest of Astarios;;;;;;;;;x
WAR_NAME_RECONQUISTA_ASTARIOS;$ORDER$Reconquest War for Astarios;;;;;;;;;x
reconquista_astarios_desc;§Y[Root.GetTitledName]§! start a war to oust the infidels from the region of §Y[k_astarios.GetBaseName]§!, and retake all provinces in the §Y[d_the_magritate.GetFullName]§!, §Y[d_garnata.GetFullName]§!, §Y[d_the_magritate.GetFullName]§! and §Y[d_tartantia.GetFullName]§! held by §Y$TARGET$§!.;;;;;;;;;;;;;x
CB_NAME_RECONQUISTA_CANTONIA;Reconquest of Cantonia;;;;;;;;;;;;;x
WAR_NAME_RECONQUISTA_CANTONIA;$ORDER$Reconquest War for Cantonia;;;;;;;;;;;;;x
reconquista_cantonia_desc;§Y[Root.GetTitledName]§! start a war to oust the infidels from the region of §Y[k_cantonia.GetBaseName]§!, and retake all provinces in the §Y[d_fierroso.GetFullName]§!, §Y[d_santoyo.GetFullName]§!, §Y[d_nacary_isles.GetFullName]§! and §Y[d_osborna.GetFullName]§! held by §Y$TARGET$§!.;;;;;;;;;;;;;x
CB_NAME_RECONQUISTA_OBREGON;Reconquest of Obregon;;;;;;;;;;;;;x
WAR_NAME_RECONQUISTA_OBREGON;$ORDER$Reconquest War for Obregon;;;;;;;;;;;;;x
reconquista_obregon_desc;§Y[Root.GetTitledName]§! start a war to oust the infidels from the region of §Y[k_obregon.GetBaseName]§!, and retake all provinces in the §Y[d_finterra.GetFullName]§!, §Y[d_diamenterra.GetFullName]§! and §Y[d_portua.GetFullName]§! held by §Y$TARGET$§!.;;;;;;;;;;;;;x
CB_NAME_RECONQUISTA_TIGARRE;Reconquest of Tigarre;;;;;;;;;;;;;x
WAR_NAME_RECONQUISTA_TIGARRE;$ORDER$Reconquest War for Tigarre;;;;;;;;;;;;;x
reconquista_tigarre_desc;§Y[Root.GetTitledName]§! start a war to oust the infidels from the region of §Y[k_tigarre.GetBaseName]§!, and retake all provinces in the §Y[d_bilbali.GetFullName]§!, §Y[d_barduila.GetFullName]§!, §Y[d_cantabrona.GetFullName]§!, §Y[d_gaula.GetFullName]§!, §Y[d_larra.GetFullName]§! and §Y[d_trastamara.GetFullName]§! held by §Y$TARGET$§!.;;;;;;;;;;;;;x
CB_NAME_RECONQUISTA_CASTILLONA;Reconquest of Castillona;;;;;;;;;;;;;x
WAR_NAME_RECONQUISTA_CASTILLONA;$ORDER$Reconquest War for Castillona;;;;;;;;;;;;;x
reconquista_castillona_desc;§Y[Root.GetTitledName]§! start a war to oust the infidels from the region of §Y[k_castillona.GetBaseName]§!, and retake all provinces in the §Y[d_las_marcas.GetFullName]§!, §Y[d_irrana.GetFullName]§!, §Y[d_navana.GetFullName]§! and §Y[d_piraneo.GetFullName]§! held by §Y$TARGET$§!.;;;;;;;;;;;;;x
CB_NAME_RECONQUISTA_TOBARO;Reconquest of Tobaro;;;;;;;;;;;;;x
WAR_NAME_RECONQUISTA_TOBARO;$ORDER$Reconquest War for Tobaro;;;;;;;;;;;;;x
reconquista_tobaro_desc;§Y[Root.GetTitledName]§! start a war to oust the infidels from the region §Y[k_tobaro.GetBaseName]§!, and retake all provinces in the §Y[d_tobaro.GetFullName]§! and §Y[d_siren_isles.GetFullName]§! held by §Y$TARGET$§!.;;;;;;;;;;;;;x
CB_NAME_RECONQUISTA_LUCCINI;Reconquest of Luccini;;;;;;;;;;;;;x
WAR_NAME_RECONQUISTA_LUCCINI;$ORDER$Reconquest War for Luccini;;;;;;;;;;;;;x
