

### Araby
#Cultures
hadmauti;Hadmauti;;;;;;;;x
#Titles
d_hadmaut_islands;Sorcerers Islands;;;;;;;;x


### Dwarfs
# Artifacts
gromril_armour_1;Gromril Armour;;;;;;;;;;;;x
gromril_armour_1_desc;A suit of Gromril Armour forged by a dwarf Runesmith;;;;;;;;;;;;x
gromril_armour_2;Royal Gromril Armour;;;;;;;;;;;;x
gromril_armour_2_desc;A suit of Gromril Armour forged for a King by a master Runesmith;;;;;;;;;;;;x
gromril_armour_3;Ancient Gromril Armour;;;;;;;;;;;;x
gromril_armour_3_desc;An ancient suit of Gromril Armour forged using Runes beyond the ken of today's Runesmiths;;;;;;;;;;;;x
#Buildings
ca_black_hold;Black Hold;;;;;;;;;;;;x

# Decisions
refit_duke_armour;Recommission a suit of Gromril Armour;;;;;;;;;;;;x
refit_duke_armour_desc;In your armory you have a number of fine suits of Gromril Armour. Although it will be expensive, you could hire a Runesmith to recommission one of them.;;;;;;;;;;;;x
refit_king_armour;Recommission a suit of Royal Gromril Armour;;;;;;;;;;;;x
refit_king_armour_desc;In your armory you have many suits of Gromril Armour, and some of them are exceptionally fine. If you're prepared to pay the cost, a Master Runesmith could recommission one of them for you.;;;;;;;;;;;;x
refit_emperor_armour;Refit a suit of Ancient Gromril Armour;;;;;;;;;;;;x
refit_emperor_armour_desc;In your vast arsenal even Gromril is abundant, but your smiths have discovered a truly miraculous suit of armour from a bygone age. How much longer will you go without protection befitting your station?;;;;;;;;;;;;x

### Engineers
found_imperial_engineer_school;Found the Imperial Engineers School;;;;;;;;;;;;x
found_imperial_engineer_school_desc;For centuries the Empire has relied on Dwarf engineering know-how. Certainly this arrangement has been profitable for both sides - but perhaps the time has come to set up a centre of learning for human engineers, similar to those found in Tilea?;;;;;;;;;;;;x
found_imperial_engineer_school_tt;For the cost of 1000 gold, we will hire an inventive genius and construct a school for his work.;;;;;;;;;;;;x
engineer_training;Become an Engineer;;;;;;;;;x
engineer_training_desc;Up until now, you've only been a dabbler, an observer in the Engineer's Guild. Are you prepared to become a true Engineer?;;;;;;;;;x
engineer_training_power_desc;Enables a decision for guild members to gain the Engineer trait.;;;;;;;;;x
dwarf_engineer_training;Become a Dwarf Engineer;;;;;;;;;x
dwarf_engineer_training_desc;Lad, you've been a good apprentice Engineer and could go far. So stop mucking around like a faithless Elf and apply yourself!;;;;;;;;;x
dwarf_engineer_training_power_desc;Enables a decision for dwarf engineers to gain the Dwarf Engineer trait.;;;;;;;;;x
dwarf_master_engineer_training;Become a Dwarf Master Engineer;;;;;;;;;x
dwarf_master_engineer_training_desc;You've served out five decades in good standing with the Guild, a fair time to earn the title of master. Time to become a true engineer!;;;;;;;;;x
dwarf_master_engineer_training_power_desc;Allows Dwarfs who have been members of the society for 50 years to gain the Dwarf Master Engineer trait.;;;;;;;;;x
deploy_war_machines;Deploy War Machines;;;;;;;;;x
