#CODE ENGLISH;;;;;;;;;;;;x

#The society nameb - Chaos Undivided
warband_of_chaos;Warband of Chaos Undivided;;;;;;;;;;;;x
string_warband_of_chaos;Warband of Chaos;;;;;;;;;;;;x
#The society description
warband_of_chaos_desc;Followers of Chaos Undivided who wish to bring glory to the Gods and themself, gather in mighty warbands, trying to prove their mettle and proves. Through skill, faith and dedication, they bring glory to chaos!;;;;;;;;;;;;x
#Leader description
warband_of_chaos_leader_desc;Mightiest chaos warrior that has proven to be worthy of Gods and warband leadership.;;;;;;;;;;;;x
#Name of the ranks
warband_of_chaos_rank_1_female;Chaos Warrior;;;;;;;;;;;;x
warband_of_chaos_rank_2_female;Chaos Knight;;;;;;;;;;;;x
warband_of_chaos_rank_3_female;Aspiring Champion;;;;;;;;;;;;x
warband_of_chaos_rank_4_female;Champion;;;;;;;;;;;;x
warband_of_chaos_rank_1_male;Chaos Warrior;;;;;;;;;;;;x
warband_of_chaos_rank_2_male;Chaos Knight;;;;;;;;;;;;x
warband_of_chaos_rank_3_male;Aspiring Champion;;;;;;;;;;;;x
warband_of_chaos_rank_4_male;Champion;;;;;;;;;;;;x
#Name of the currency
currency_name_warband_of_chaos;Faith;;;;;;;;;;;;x

#The society name -  Nurgle
warband_of_nurgle;Warband of Nurgle;;;;;;;;;;;;x
string_warband_of_nurgle;Warband of Nurgle;;;;;;;;;;;;x
#The society description
warband_of_nurgle_desc;Followers of Papa Nurgle who wish to spread the great plagues and bring forth uncleanness to the world, gather in mighty warbands. Dedicating their bodies to act as hosts for new gifts of the Great Unclean one.;;;;;;;;;;;;x
#Leader description
warband_of_nurgle_leader_desc;The most proven follower of the Lord of Pestilance, worthy of leading the smoldering warband of decay.;;;;;;;;;;;;x
#Name of the ranks
warband_of_nurgle_rank_1_female;Chaos Warrior;;;;;;;;;;;;x
warband_of_nurgle_rank_2_female;Chaos Knight;;;;;;;;;;;;x
warband_of_nurgle_rank_3_female;Aspiring Champion;;;;;;;;;;;;x
warband_of_nurgle_rank_4_female;Champion;;;;;;;;;;;;x
warband_of_nurgle_rank_1_male;Chaos Warrior;;;;;;;;;;;;x
warband_of_nurgle_rank_2_male;Chaos Knight;;;;;;;;;;;;x
warband_of_nurgle_rank_3_male;Aspiring Champion;;;;;;;;;;;;x
warband_of_nurgle_rank_4_male;Champion;;;;;;;;;;;;x
#Name of the currency
currency_name_warband_of_nurgle;Rot;;;;;;;;;;;;x

#The society name - Tzeentch
warband_of_tzeentch;Warband of Tzeentch;;;;;;;;;;;;x
string_warband_of_tzeentch;Warband of Tzeentch;;;;;;;;;;;;x
#The society description
warband_of_tzeentch_desc;Followers of The Raven God, ever wanting to bring change and their schemes to fruition, gather in mighty warbands. Dedicating themselfs to studying the ruinous powers and using their gained powers to bring change to the world.;;;;;;;;;;;;x
#Leader description
warband_of_tzeentch_leader_desc;The most proven follow of the Lord of Change, his scheming and power unmatched, worthy of warbands tricky leadership.;;;;;;;;;;;;x
#Name of the ranks
warband_of_tzeentch_rank_1_female;Maledictor;;;;;;;;;;;;x
warband_of_tzeentch_rank_2_female;Doomweaver;;;;;;;;;;;;x
warband_of_tzeentch_rank_3_female;Soulflayer;;;;;;;;;;;;x
warband_of_tzeentch_rank_4_female;Cataclysts;;;;;;;;;;;;x
warband_of_tzeentch_rank_1_male;Maledictor;;;;;;;;;;;;x
warband_of_tzeentch_rank_2_male;Doomweaver;;;;;;;;;;;;x
warband_of_tzeentch_rank_3_male;Soulflayer;;;;;;;;;;;;x
warband_of_tzeentch_rank_4_male;Cataclysts;;;;;;;;;;;;x
#Name of the currency
currency_name_warband_of_tzeentch;Whisper;;;;;;;;;;;;x

#The society name - Slaanesh
warband_of_slaanesh;Warband of Slaanesh;;;;;;;;;;;;x
string_warband_of_slaanesh;Warband of Slaanesh;;;;;;;;;;;;x
#The society description
warband_of_slaanesh_desc;Followers of the Dark Prince gather into mighty warbands to share and expand their decadency, and to seek out new forms of excess and pleasure. All in the name of The Prince.;;;;;;;;;;;;x
#Leader description
warband_of_slaanesh_leader_desc;Most dedicated follower to the Prince of Pleasure, that has tried every imaginary form of excess and still keeps finding new ways to bring themselfs new feelings.;;;;;;;;;;;;x
#Name of the ranks
warband_of_slaanesh_rank_1_female;Chaos Warrior;;;;;;;;;;;;x
warband_of_slaanesh_rank_2_female;Chaos Knight;;;;;;;;;;;;x
warband_of_slaanesh_rank_3_female;Aspiring Champion;;;;;;;;;;;;x
warband_of_slaanesh_rank_4_female;Champion;;;;;;;;;;;;x
warband_of_slaanesh_rank_1_male;Chaos Warrior;;;;;;;;;;;;x
warband_of_slaanesh_rank_2_male;Chaos Knight;;;;;;;;;;;;x
warband_of_slaanesh_rank_3_male;Aspiring Champion;;;;;;;;;;;;x
warband_of_slaanesh_rank_4_male;Champion;;;;;;;;;;;;x
#Name of the currency
currency_name_warband_of_slaanesh;Pleasure;;;;;;;;;;;x

#The society name - Khorne
