#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

#Society
handmaidens_of_the_lady;Handmaidens of the Lady;;;;;;;;;;;;;x
handmaidens_of_the_lady_desc;Grail Damsels, also known as Daughters of the Grail, Daughters of Bretonnia, Handmaidens of the Lady, and formally as Damsels of the Lady, are powerful, female Bretonnian magic-users and priestesses dedicated to the service of the Lady of the Lake. Grail Damsels are completely outside the laws of Bretonnia and equally outside its social customs. No one would dare to criticise one, even behind her back..;;;;;;;;;;;;;x
handmaidens_of_the_lady_rank_4_male;Fay Enchantress;;;;;;;;;;;;;x
handmaidens_of_the_lady_rank_3_male;Prophetesses;;;;;;;;;;;;;x
handmaidens_of_the_lady_rank_2_male;Damsel;;;;;;;;;;;;;x
handmaidens_of_the_lady_rank_1_male;Handmaiden;;;;;;;;;;;;;x
handmaidens_of_the_lady_rank_4_female;Fay Enchantress;;;;;;;;;;;;;x
handmaidens_of_the_lady_rank_3_female;Prophetesses;;;;;;;;;;;;;x
handmaidens_of_the_lady_rank_2_female;Damsel;;;;;;;;;;;;;x
handmaidens_of_the_lady_rank_1_female;Handmaiden;;;;;;;;;;;;;x
handmaidens_of_the_lady_leader_desc;Personal Representative of the Lady and leader of Damsels in earthly matters.;;;;;;;;;;;;;x
currency_name_handmaidens_of_the_lady;Grace;;;;;;;;;;;;;x #Rename?
knights_of_bretonnia;Knights of Bretonnia;;;;;;;;;;;;;x
knights_of_bretonnia_desc;The Knights of Bretonnia are a collection of feudal lords whose devotion to the Lady knows no bounds, and for their service they are greatly rewarded.;;;;;;;;;;;;;x
knights_of_bretonnia_leader_desc;The Head Knight of Bretonnia.;;;;;;;;;;;;;x
knights_of_bretonnia_rank_1_male;Knight Errant;;;;;;;;;;;;;x
knights_of_bretonnia_rank_2_male;Knight of the Realm;;;;;;;;;;;;;x
knights_of_bretonnia_rank_3_male;Questing Knight;;;;;;;;;;;;;x
knights_of_bretonnia_rank_4_male;Grail Knight;;;;;;;;;;;;;x
knights_of_bretonnia_rank_1_female;Warrior;;;;;;;;;;;;;x
knights_of_bretonnia_rank_2_female;Paragon;;;;;;;;;;;;;x
