### Events
###ÄNSI
# Fake Map Modes
EVTDESCfabcart.99;Your [Root.job_treasurer.GetJobTitle] has returned from his studies into cartography and is at your disposal again.;;;;;;;;;;;;;x
EVTOPTAfabcart.99;I see...;;;;;;;;;;;;;x
# Ponder Cartography - Event from player decision on self:
EVTDESCfabcart.1;Your [Root.job_treasurer.GetJobTitle] can produce a new map of the known world, but you must first select a category.;;;;;;;;;;;;;x
EVTOPTAfabcart.1;Province Characteristics;;;;;;;;;;;;;x
EVTOPTBfabcart.1;Vassals, Realms, and Regions;;;;;;;;;;;;;x
EVTOPTCfabcart.1;Technology;;;;;;;;;;;;;x
EVTOPTDfabcart.1;Forget it.;;;;;;;;;;;;;x
#EVTOPTDfabcart.1;Something else.;;;;;;;;;;;;;x
EVTDESCfabcart.11;Select a subcategory within "Province Characteristics";;;;;;;;;;;;;x
EVTOPTAfabcart.11;Geography and Climate;;;;;;;;;;;;;x
EVTOPTBfabcart.11;Province Settlements;;;;;;;;;;;;;x
EVTOPTCfabcart.11;Health and Wellbeing;;;;;;;;;;;;;x
EVTOPTDfabcart.11;Select a different category.;;;;;;;;;;;;;x
EVTDESCfabcart.111;Choose a map from the "Geography and Climate" subcategory.;;;;;;;;;;;;;x
EVTOPTAfabcart.111;Simple Terrain;;;;;;;;;;;;;x
EVTOPTBfabcart.111;Climate;;;;;;;;;;;;;x
EVTOPTCfabcart.111;Supply Limit;;;;;;;;;;;;;x
EVTOPTDfabcart.111;Select a different subcategory.;;;;;;;;;;;;;x
EVTDESCfabcart.112;Choose a map from the "Province Settlements" subcategory.;;;;;;;;;;;;;x
EVTOPTAfabcart.112;Number of Holdings;;;;;;;;;;;;;x
EVTOPTBfabcart.112;Number of Holding Slots;;;;;;;;;;;;;x
EVTOPTCfabcart.112;Number of Empty Holding Slots;;;;;;;;;;;;;x
EVTOPTDfabcart.112;Select a different subcategory.;;;;;;;;;;;;;x
EVTDESCfabcart.113;Choose a map from the "Health and Wellbeing" subcategory.;;;;;;;;;;;;;x
EVTOPTAfabcart.113;Prosperity and Depopulation;;;;;;;;;;;;;x
EVTOPTBfabcart.113;Hospital Level;;;;;;;;;;;;;x
EVTOPTCfabcart.113;Disease Resistance;;;;;;;;;;;;;x
EVTOPTDfabcart.113;Select a different subcategory.;;;;;;;;;;;;;x
EVTDESCfabcart.12;Select a subcategory within "Vassals, Realms, and Regions";;;;;;;;;;;;;x
EVTOPTAfabcart.12;Direct Vassals;;;;;;;;;;;;;x
EVTOPTBfabcart.12;Independent Realms;;;;;;;;;;;;;x
EVTOPTCfabcart.12;Regions and Control;;;;;;;;;;;;;x
EVTOPTDfabcart.12;Select a different category.;;;;;;;;;;;;;x
EVTDESCfabcart.121;Choose a map from the "Direct Vassals" subcategory.;;;;;;;;;;;;;x
EVTOPTAfabcart.121;Succession Law;;;;;;;;;;;;;x
EVTOPTBfabcart.121;Power Relative to Liege;;;;;;;;;;;;;x
EVTOPTCfabcart.121;Powerful Vassals;;;;;;;;;;;;;x
EVTOPTDfabcart.121;Select a different subcategory.;;;;;;;;;;;;;x
EVTDESCfabcart.122;Choose a map from the "Independent Realms" subcategory.;;;;;;;;;;;;;x
EVTOPTAfabcart.122;Succession Law;;;;;;;;;;;;;x
EVTOPTBfabcart.122;Relative Power as a Defender (Including Allies);;;;;;;;;;;;;x
EVTOPTCfabcart.122;Relative Power as an Attacker (Including Allies);;;;;;;;;;;;;x
EVTOPTDfabcart.122;Select a different subcategory.;;;;;;;;;;;;;x
EVTDESCfabcart.123;Choose a map from the "Regions and Control" subcategory.;;;;;;;;;;;;;x
EVTOPTAfabcart.123;Regions;;;;;;;;;;;;;x
EVTOPTBfabcart.123;Provinces Not Completely Controlled by Top Liege;;;;;;;;;;;;;x
EVTOPTCfabcart.123;Provinces Not Completely Controlled by Local Count;;;;;;;;;;;;;x
EVTOPTDfabcart.123;Select a different subcategory.;;;;;;;;;;;;;x
EVTDESCfabcart.13;Select a subcategory within "Winds of Magic, Chaos, Waaaagh;;;;;;;;;;;;;x
EVTOPTAfabcart.13;Winds of Magic;;;;;;;;;;;;;x
EVTOPTBfabcart.13;Chaos Corruption;;;;;;;;;;;;;x
EVTOPTCfabcart.13;Waaaaagh;;;;;;;;;;;;;x
EVTOPTDfabcart.13;Select a different category.;;;;;;;;;;;;;x
#EVTDESCfabcart.2;Your [Root.job_treasurer.GetJobTitle] can produce a new map of the known world, but you must first select a category.;;;;;;;;;;;;;x
#EVTOPTAfabcart.2;???;;;;;;;;;;;;;x
#EVTOPTBfabcart.2;???;;;;;;;;;;;;;x
#EVTOPTCfabcart.2;???;;;;;;;;;;;;;x
#EVTOPTDfabcart.2;Forget it.;;;;;;;;;;;;;x

## Decisions

# Fake Map Modes
choose_fake_map_mode;Ponder Cartography;;;;;;;;;;;;;x
choose_fake_map_mode_desc;Fires an event that allows you to decide which "Fake Map Mode" you want to see displayed via the "Fabricate Map" job action of your [Root.job_treasurer.GetJobTitle].;;;;;;;;;;;;;x

### Councilor Jobs

# Fake Map Modes
action_show_fake_map_mode;Fabricate Map;;;;;;;;;;;;;x
action_show_fake_map_mode_desc;Your [From.job_treasurer.GetJobTitle] will produce charts with useful information about the known world. To specify the nature of this map, you must decide first which information you want.\n(Use the decision "Ponder Cartography" on your player character to chose a map mode that this action will display.);;;;;;;;;;;;;x

### On-map tooltips

# Number of Holdings:
JOB_FAKE_MAP_MODE_Holdings_0;\nHoldings: §YNone§!\n;;;;;;;;;;;;;x
JOB_FAKE_MAP_MODE_Holdings_1;\nHoldings: §Y1§!\n;;;;;;;;;;;;;x
JOB_FAKE_MAP_MODE_Holdings_2;\nHoldings: §Y2§!\n;;;;;;;;;;;;;x
JOB_FAKE_MAP_MODE_Holdings_3;\nHoldings: §Y3§!\n;;;;;;;;;;;;;x
