#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
house_customizer;House Customiser;Grande Maison;;;Personalizador de Casas;;;;;;;;;x
house_customizer_desc;You can use this trait to enable your designed character to assume the name and arms of an any existing house, or from a selection of extinct houses. If you also choose the legitimised bastard trait then when you select your relationship to the target you can choose to be a cadet dynasty.\n\n§RIMPORTANT NOTE:§! Due to game engine limitations, §Ynomadic§! characters cannot be used with the house customiser trait.;Vous pouvez utiliser ce trait pour donner la possibilité à votre personnage de porter le nom et les armes d'une maison existante ou éteinte.;;;Podéis usar este rasgo para habilitar que vuestro personaje asuma el nombre y las armas de cualquier casa existente,  o de una selección de casas extintas (click derecho en interacción teniendo el rasgo). Si también eliges el rasgo bastardo legitimizado, cuando eliges tu relación con el objetivo puedes elegir ser una dinastía cadete.\n\n§RNOTA IMPORTANTE:§! Debido a las limitaciones del motor del juego, §Ynormalmente§! los caracteres no se pueden usar con el rasgo Personalizador de Casas.;;;;;;;;;x
EVTDESCCUSTOMIZERHOUSES1;With which house am I related?;A quelle maison suis-je lié ?;;;¿Con qué Casa estoy emparentado?;;;;;;;;;x
EVTDESCCUSTOMIZERHOUSES1B;Due to game engine limitations, nomadic characters cannot be used with the house customiser trait.;Actuellement, le jeu ne permets pas de jouer des personnages nomades avec le trait de maison customisée. ;;;Actualmente, el juego no permite jugar con personajes nómadas con el rasgo de casa personalizada. ;;;;;;;;;x
EVTOPTACUSTOMIZERHOUSES1;My House still exists;Ma maison existe toujours;;;Mi Casa aún existe;;;;;;;;;x
TOOLTIPhouse_customizerA;For 50 days, you can link [Root.GetTitledFirstName] to an exisitng house by selecting a character of that house by the diplomatic menu\n;Pendant 50 jours, vous pouvez lier [Root.GetTitledFirstName] à une maison existante en selectionnant un personnage de cette famille via le menu diplomatique\n;;;Durante 50 días, puedes emparentar a [Root.GetTitledFirstName] con una casa existente seleccionando un personaje de esa Casa en el menú diplomático\n;;;;;;;;;x
# EVTOPTBCUSTOMIZERHOUSES1;My House is not alive;Ma maison est éteinte;;;Mi Casa está extinta;;;;;;;;;x
# EVTDESCCUSTOMIZERHOUSES2;From which ancient lineage am I descended?;De quel ancien lignage suis-je le descendant ?;;;¿De qué antiguo linaje soy descendiente?;;;;;;;;;x
EVTDESCCUSTOMIZERHOUSES3;How am I related to [From.GetTitledFirstName]?;Quel est mon lien avec [From.GetTitledFirstName]?;;;¿Cómo estóy emparentado con [From.GetTitledFirstName]?;;;;;;;;;x
EVTOPTACUSTOMIZERHOUSES3;I am [From.GetHerHis] [Root.GetSonDaughter];Je suis son(a) [Root.GetSonDaughter];;;Soy su [Root.GetSonDaughter];;;;;;;;;x
EVTOPTBCUSTOMIZERHOUSES3;We are siblings;Nous sommes frères/sœurs;;;Somos hermanos;;;;;;;;;x
EVTOPTCCUSTOMIZERHOUSES3;I am [From.GetHerHis] uncle;Je suis son oncle;;;Soy su tío;;;;;;;;;x
EVTOPTCCUSTOMIZERHOUSES3AUNT;I am [From.GetHerHis] aunt;Je suis sa tante;;;Soy su tía;;;;;;;;;x
EVTOPTDCUSTOMIZERHOUSES3;I am [From.GetHerHis] great uncle;Je suis son grand oncle;;;Soy su tío abuelo;;;;;;;;;x
EVTOPTDCUSTOMIZERHOUSES3AUNT;I am [From.GetHerHis] great aunt;Je suis sa grande tante;;;Soy su tía abuela;;;;;;;;;x
EVTOPTECUSTOMIZERHOUSES3;We are only distant kin;Nous sommes seulement de lointains parents;;;Sólo somos parientes lejanos;;;;;;;;;x
TOOLTIPCUSTOMISERWARNING;§RWarning:§! Not linking the dynasty together may result in the dynasty tree not displaying correctly;§RAttention:§! Ne pas lier les dynasties peut provoquer des erreurs dans l'arbre généalogique;;;§RAtención:§! No vincular las dinastías puede resultar en que el árbol dinástico no se muestre correctamente;;;;;;;;;x
house_customiser_target;§YCustomiser:§! House [Root.GetOnlyDynastyName];§YCustomiser:§! Maison [Root.GetOnlyDynastyName];;;§YPersonalizar:§! Casa [Root.GetOnlyDynastyName];;;;;;;;;x
house_customiser_target_desc;Take the arms of House [Root.GetOnlyDynastyName];Prendre les armes de la maison [Root.GetOnlyDynastyName];;;Tomar las armas de la Casa [Root.GetOnlyDynastyName];;;;;;;;;x
TOOLTIPwh_custom_houses.3;You will be able to to select [Root.GetTitledFirstName], depending on age, either as your parent, sibling, nephew/niece or grand nephew/niece.;Vous pourrez désigner [Root.GetTitledFirstName], selon l'âge, comme votre parent, frère/sœur, neveu/nièce ou petit neveu/petite nièce.;;;Puedes designar a [Root.GetTitledFirstName], dependiendo de la edad, como tu padre/madre, hermano/hermana, sobrino/sobrina o sobrino-nieto/sobrino-nieta.;;;;;;;;;x
# EVTDESCCUSTOMIZERHOUSES1;You are a Targaryen of Old Valyria, the blood of the dragon, a descendant of King Aegon the Conqueror, who united the Seven Kingdoms and forged the Iron Throne.;Vous êtes un Targaryen de l'Antique Valyria, le sang du dragon, un descendant du Roi Aegon le Conquérant qui a unifié les Sept Couronnes et forgé le Trône de Fer.;;;Eres un Targaryen de la Antigua Valyria, sangre del dragón, un descendiente del rey Aegon el Conquistador, que unió a los Siete Reinos y forjó el Trono de Hierro.;;;;;;;;;x
# EVTOPTACUSTOMIZERHOUSES1;Fire and Blood;Feu et Sang;;;Sangre y Fuego;;;;;;;;;x
# EVTDESCCUSTOMIZERHOUSES2;You are a Stark of Winterfell, the Wardens of the North. You trace your descent to Brandon the Builder, the first King in the North, who built the Wall to keep the Long Night at bay.;Vous êtes un Stark de Winterfell, les Gouverneurs du Nord. Vous pouvez remonter votre lignée jusqu'à Brandon le Bâtisseur, le premier Roi du Nord qui bâtit le Mur après la Longue Nuit.;;;Eres un Stark de Invernalia, los Guardianes del Norte. Tu linaje se remonta hasta Brandon el Constructor, el primer Rey en el Norte, quien construyó el Muro tras la Larga Noche.;;;;;;;;;x
# EVTOPTACUSTOMIZERHOUSES2;Winter is Coming;L'hiver vient;;;Se acerca el invierno;;;;;;;;;x
# EVTDESCCUSTOMIZERHOUSES3;You are a Greyjoy of Pyke, the Lords of the Iron Islands. You trace your descent to the Grey King, the first King of the Iron Islands, who slew the sea dragon Nagga and built his hall from her fire.;Vous êtes un Greyjoy de Pyk, les Lords des Iles de Fer. Vous pouvez remontez votre lignée jusqu'au Roi Gris, le premier Roi du Sel et du Roc qui tua la dragonne des mers Nagga et se servit de son squelette pour construire sa demeure. ;;;Eres un Greyjoy de Pyke, los Señores de las Islas del Hierro. Remontas tu linaje hasta el Rey Gris, el primer rey de las Islas del Hierro, quién mató al dragón marino Nagga y construyó su trono con su mandíbula.;;;;;;;;;x
# EVTOPTACUSTOMIZERHOUSES3;We Do Not Sow;Nous ne semons pas;;;Nosotros no sembramos;;;;;;;;;x
# EVTDESCCUSTOMIZERHOUSES4;You are a Tully of Riverrun, the Lords Paramount of the Riverlands. Your family first rose to prominence under Lord Edmyn Tully, who betrayed King Harren the Black to fight for Aegon the Conqueror, and was awarded the Riverlands for his services.;Vous êtes un Tully de Vivesaigues, les Lords Suzerains du Conflans. Votre famille s'éleva avec Lord Edmyn Tully qui trahit le Roi Harren le Noir et se joignit à Aegon le Conquérant, recevant le Conflans en récompense. ;;;Eres un Tully de Aguasdulces, los Señores de las Tierras de los Ríos. Túufamilia se erige sobre el Señor Edmyn Tully, quién traicionó al rey Harren el Negro para luchar por Aegon el Conquistador, y fue recompensado con las Tierras de los Ríos por sus servicios.;;;;;;;;;x
# EVTOPTACUSTOMIZERHOUSES4;Family, Duty, Honor;Famille, Devoir, Honneur;;;Familia, Deber, Honor;;;;;;;;;x
EVTDESCHOUSECUSTOMIZER5;You're now a member of a cadet house of house [From.GetOnlyDynastyName].;Vous êtes maintenant un membre d'une maison cadette de la maison [From.GetOnlyDynastyName].;;;Ahora eres un miembro de una rama cadete de la Casa [From.GetOnlyDynastyName].;;;;;;;;;x
EVTOPTFCUSTOMIZERHOUSES3;I am his bastard sibling (cadet house);Je suis [Root.GetHerHis] frère/sœur bâtard(e) (branche cadette);;;Soy su hermano bastardo (rama cadete);;;;;;;;;x
EVTOPTGCUSTOMIZERHOUSES3;I am [From.GetHerHis] bastard [Root.GetSonDaughter] (cadet house);Je suis [Root.GetHerHis] [Root.GetSonDaughter] bâtard (branche cadette);;;Soy su [Root.GetSonDaughter] bastardo (rama cadete);;;;;;;;;x
CUSTOMISED_NOMAD_CLAN;[Root.GetOnlyDynastyName];[Root.GetOnlyDynastyName];;;[Root.GetOnlyDynastyName];;;;;;;;;x
