#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
###Morrian##
morrian;Morrian;;;;;;;;;;;;;x
LIBRO_DEI_MORTI;Libro Dei Morti;;;;;;;;;;;;;x
GOD_MORR;Morr;;;;;;;;;;;;;x
morrian_DESC;Morr is the God of the Dead, Dreams and Dreamers. He holds sway over illusions and all things that are not what they seem. A contemplative god, he guards the souls of the departed from Chaos and necromancers, just as his priests guard the corpses buried in the Gardens of Morr, and protects the dreams of the sleeping from Daemons that would pervert them. Morr and his devoted followers are the eternal enemies of the Undead, and guardians against grave and tomb robbers. The Cult of Morr is not a popular one, but is of singular importance in the religious life of the Old World, for all come to Morr’s gate eventually.;;;;;;;;;;;;;x
HIGH_AUGURY;High Augur;;;;;;;;;;;;;x
HIGH_AUGURY_FOA;The High Augury;;;;;;;;;;;;;x
###Temple###
temple_baron_morrian;Augur;;;;;;;;;;;;;x
temple_baron_female_morrian;Augur;;;;;;;;;;;;;x
temple_count_morrian;Arch Augur;;;;;;;;;;;;;x
temple_count_female_morrian;Arch Augur;;;;;;;;;;;;;x
temple_duke_morrian;Grand Augur;;;;;;;;;;;;;x
temple_duke_female_morrian;Grand Augur;;;;;;;;;;;;;x
temple_king_morrian;Prince-Augur;;;;;;;;;;;;;x
temple_king_female_morrian;Princess-Augur;;;;;;;;;;;;;x
temple_barony_of_morrian;Augury of;;;;;;;;;;;;;x
temple_county_of_morrian;Arch Augury of;;;;;;;;;;;;;x
temple_duchy_of_morrian;Grand Augury of;;;;;;;;;;;;;x
temple_kingdom_of_morrian;Prince-Augury of;;;;;;;;;;;;;x
###Barony###
baron_sylvanian;Baron;;;;;;;;;;;;;x
baron_female_sylvanian;Baroness;;;;;;;;;;;;;x
count_sylvanian;Lord;;;;;;;;;;;;;x
count_female_sylvanian;Lady;;;;;;;;;;;;;x
duke_sylvanian;Duke;;;;;;;;;;;;;x
duke_female_sylvanian;Duchess;;;;;;;;;;;;;x
king_sylvanian;Prince;;;;;;;;;;;;;x
king_female_sylvanian;Princess;;;;;;;;;;;;;x
emperor_sylvanian;King;;;;;;;;;;;;;x
emperor_female_sylvanian;Queen;;;;;;;;;;;;;x
barony_of_sylvanian;Barony of;;;;;;;;;;;;;x
